Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
building materials,building materials,Kec. Detukeli,"Kabupaten Ende, Nusa Tenggara Tim.","Kabupaten Ende, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-85.942.065,1.218.374.729,https://maps.google.com/?cid=0x0:0xad593d4b3f122c2b,
building materials,Pemasok Semen Ready-mix,PT. Adhimix RMC Indonesia Plant Sentul,"Jl. Raya Babakan Madang, Citaringgul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810","Citaringgul, Kec. Babakan Madang, Kabupaten Bogor",NUSA TENGGARA TIMUR,16810,Indonesia,211500636,,,-65.597.504,1.068.521.484,https://maps.google.com/?cid=0x0:0x61b348477f8e414d,
building materials,Perusahaan Konstruksi,Jayamix By SCG Plant Sentul 5,"Jl. Raya Citaringgul No.89-90, Citaringgul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810","Citaringgul, Kec. Babakan Madang, Kabupaten Bogor",NUSA TENGGARA TIMUR,16810,Indonesia,81977415555,,,-65.599.694,1.068.528.234,https://maps.google.com/?cid=0x0:0xcd32b8f71e6c34ff,
building materials,building materials,Detusoko,"Kabupaten Ende, Nusa Tenggara Tim.","Kabupaten Ende, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-87.318.869,1.217.423.434,https://maps.google.com/?cid=0x0:0x60914fd0358f6ba5,
building materials,Toko Bahan Bangunan,TOKO MUTIARA BANGUNAN,"JALAN R. W. MONGINSIDI Jl. Boanawa, Kel. Mbongawani, Kec. Ende Sel., Kabupaten Ende, Nusa Tenggara Tim. 86318","Kel. Mbongawani, Kec. Ende Sel., Kabupaten Ende",NUSA TENGGARA TIMUR,86318,Indonesia,82342055794,,,-88.505.091,121.649.829,https://maps.google.com/?cid=0x0:0xd3b67f3d4b660364,
building materials,Toko Bahan Bangunan,toko sinar bangunan (ende),"5J3V+MWW, Kel. Mbongawani, Kec. Ende Sel., Kabupaten Ende, Nusa Tenggara Tim.","Kabupaten Ende, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,38121454,,,-88.457.706,1.216.448.129,https://maps.google.com/?cid=0x0:0x286f8de860e51520,
building materials,Toko,UD. Pesantenan,"5M5F+337, Jl. Gatot Subroto, Kel. Mautapaga, Kec. Ende Tim., Kabupaten Ende, Nusa Tenggara Tim.","Kabupaten Ende, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,85239548048,,,-88.423.467,1.216.726.667,https://maps.google.com/?cid=0x0:0xbc9c0198a9e3d231,
building materials,Toko Bahan Bangunan,Toserba Kelimutu,"JL Gunung Kalimutu, Bokasape, Kec. Wolowaru, Kabupaten Ende, Nusa Tenggara Tim. 86372","Bokasape, Kec. Wolowaru, Kabupaten Ende",NUSA TENGGARA TIMUR,86372,Indonesia,82235718150,,,-8.784.798,1.218.850.125,https://maps.google.com/?cid=0x0:0x45a04744c6c3c63e,
building materials,Toko Bahan Bangunan,Toko Besi dan Bangunan Sumber Makmur ende,"Jl.sultan hasanudin wolowona, Kel. Rewarangga Sel., Kec. Ende Tim., Kabupaten Ende, Nusa Tenggara Tim. 86313","Kel. Rewarangga Sel., Kec. Ende Tim., Kabupaten Ende",NUSA TENGGARA TIMUR,86313,Indonesia,82247855103,,,-88.303.848,1.216.782.365,https://maps.google.com/?cid=0x0:0x15ce6a258a7277b9,
building materials,building materials,,,,NUSA TENGGARA TIMUR,,Indonesia,38121523,,,-244.565,1.178.888,https://maps.google.com/?cid=0x0:0xb2072e4609e21986,
