Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
perumahan,Komplek perumahan,Akrisna Laitabun,"Jl. Bokobati-Uiamlasi No.10, Uiboa, Kec. Semau Sel., Kabupaten Kupang, Nusa Tenggara Tim. 85353","Uiboa, Kec. Semau Sel., Kabupaten Kupang",NUSA TENGGARA TIMUR,85353.0,Indonesia,,,,-10.2389948,123.3313638,https://maps.google.com/?cid=0x0:0xb25aff5719ba5d5a,
perumahan,Komplek perumahan,Arefen Laitabum,"P8XV+M6J, Uiboa, Kec. Semau Sel., Kabupaten Kupang, Nusa Tenggara Tim.","Kabupaten Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-10.2507967,123.3430033,https://maps.google.com/?cid=0x0:0x516c93209be442f3,
perumahan,perumahan,Kec. Semau,"Kabupaten Kupang, Nusa Tenggara Tim.","Kabupaten Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-10.1913662,123.4129193,https://maps.google.com/?cid=0x0:0x81285b2e1209f61c,
perumahan,Komplek perumahan,Rumah BETRIS,"RC5X+R9J, Huilelot, Kec. Semau, Kabupaten Kupang, Nusa Tenggara Tim.","Kabupaten Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-10.1898198,123.4482924,https://maps.google.com/?cid=0x0:0x7c6c65e29c4c8862,
perumahan,perumahan,Semau.desa huilelot,"QCXV+48V, Huilelot, Kec. Semau, Kabupaten Kupang, Nusa Tenggara Tim.","Kabupaten Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-10.202558,123.442915,https://maps.google.com/?cid=0x0:0x1de6920bf5371375,
perumahan,Komplek perumahan,Onanbalu,"Q9H4+9FM, Bokonusan, Kec. Semau, Kabupaten Kupang, Nusa Tenggara Tim.","Kabupaten Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-10.2215293,123.3561668,https://maps.google.com/?cid=0x0:0xc97e4ce47562edff,
perumahan,Komplek perumahan,Ardy Naisono,"V93V+GJ3, Batuinan, Kec. Semau, Kabupaten Kupang, Nusa Tenggara Tim.","Kabupaten Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-10.1432399,123.3948983,https://maps.google.com/?cid=0x0:0x64a9bb99401e5ddf,
perumahan,Komplek perumahan,Rumah Yoret tale,"P9X2+H9, Uiboa, Kec. Semau Sel., Kabupaten Kupang, Nusa Tenggara Tim.","Kabupaten Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-10.2521705,123.3511686,https://maps.google.com/?cid=0x0:0x61ce6a8754d1c8c7,
perumahan,perumahan,".Huilelot, Kec. Semau, Kabupaten Kupang, Nusa Tenggara Tim.","QCWV+R9J, Huilelot, Kec. Semau, Kabupaten Kupang, Nusa Tenggara Tim.","Kabupaten Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-10.2029106,123.4433832,https://maps.google.com/?cid=0x0:0xb8cf7f061f2d3185,
perumahan,Komplek perumahan,Mardes Manu Olla,"RC89+XHG, Uitao, Kec. Semau, Kabupaten Kupang, Nusa Tenggara Tim.","Kabupaten Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-10.1825654,123.4189515,https://maps.google.com/?cid=0x0:0xee743b6636c78bdd,
perumahan,Komplek perumahan,Rumah nosan,"RC5V+MJ3, Huilelot, Kec. Semau, Kabupaten Kupang, Nusa Tenggara Tim.","Kabupaten Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-10.191784,123.443937,https://maps.google.com/?cid=0x0:0x9a32168dcb4c5174,
perumahan,Pembangunan Perumahan,Rumah Deki Snait,"Uiboa, Kec. Semau Sel., Kabupaten Kupang, Nusa Tenggara Tim.","Kabupaten Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-10.2600249,123.3498932,https://maps.google.com/?cid=0x0:0x24b044c409f9edaa,
perumahan,Komplek perumahan,Mumu Bolan,"V95W+V5, Batuinan, Kec. Semau, Kabupaten Kupang, Nusa Tenggara Tim.","Kabupaten Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-10.1403069,123.3954676,https://maps.google.com/?cid=0x0:0xbbaee1be0173c7c7,
perumahan,Gereja,Rumah Jabatan Gereja Eklesia Piaklain,"Q9QM+7GW, Bokonusan, Kec. Semau, Kabupaten Kupang, Nusa Tenggara Tim.","Kabupaten Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-10.2117737,123.3838239,https://maps.google.com/?cid=0x0:0xdff7d86fbb1716a2,
