Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Chendrick Homestay,"JCGP+R78, Lewoleba Tengah, Kec. Nubatukan, Kabupaten Lembata, Nusa Tenggara Tim.","Kabupaten Lembata, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,85238533010.0,,,-8.3729709,123.435693,https://maps.google.com/?cid=0x0:0xa85e3bffb5ef977f,
hotel,hotel,Kec. Atadei,"Kabupaten Lembata, Nusa Tenggara Tim.","Kabupaten Lembata, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.4349536,123.4678297,https://maps.google.com/?cid=0x0:0xfbbff0f263a15426,
hotel,hotel,Hotel Palm Indah,"J98W+HX6, Pasar Pada (Pasar Barat),, Lewoleba Utara, Kec. Nubatukan, Kabupaten Lembata, Nusa Tenggara Tim.","Kabupaten Lembata, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,82145948990.0,,,-8.3835888,123.3973962,https://maps.google.com/?cid=0x0:0xa6c9678692f440b5,
hotel,hotel,Mehara Hotel,"Jl. Mutiara Gg Tuna, RT.04/RW.02, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim.","Kabupaten Manggarai Barat, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,82147725594.0,,,-8.4898415,119.8776784,https://maps.google.com/?cid=0x0:0x35b1989fa2092ceb,
hotel,hotel,Hotel Lembata Iñdah,"JCF8+J9C, Jl. Berdikari, Lewoleba Utara, Kec. Nubatukan, Kabupaten Lembata, Nusa Tenggara Tim.","Kabupaten Lembata, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,3832580160.0,,,-8.3759253,123.4159057,https://maps.google.com/?cid=0x0:0x8aaca31ea014990f,
hotel,hotel,Hotel Olympic Lewoleba,"Jl. Trans Lembata Jl. Rayuan Klp., Lewoleba Tengah, Kec. Nubatukan, Kabupaten Lembata, Nusa Tenggara Tim.","Kabupaten Lembata, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.3720531,123.4133993,https://maps.google.com/?cid=0x0:0x80a12eaa3e9f122c,
hotel,hotel,Hotel Rejeki RedPartner,"Jl. Rayuan Klp., Lewoleba Utara, Kec. Nubatukan, Kabupaten Lembata, Nusa Tenggara Tim. 86612","Lewoleba Utara, Kec. Nubatukan, Kabupaten Lembata",NUSA TENGGARA TIMUR,86612.0,Indonesia,2180629666.0,,,-8.3718283,123.4149352,https://maps.google.com/?cid=0x0:0x118b6f9e653a0a99,
hotel,hotel,Puri Mutiara,"Jl. Trans Lembata, Lewoleba Tengah, Kec. Nubatukan, Kabupaten Lembata, Nusa Tenggara Tim. 86615","Lewoleba Tengah, Kec. Nubatukan, Kabupaten Lembata",NUSA TENGGARA TIMUR,86615.0,Indonesia,2180629666.0,,,-8.3716759,123.4253339,https://maps.google.com/?cid=0x0:0x2795880c9154adc8,
hotel,hotel,(nn) nuha nera Lodge - wena beach,"Lamatokan, Kec. Ile Ape Tim., Kabupaten Lembata, Nusa Tenggara Tim.","Kabupaten Lembata, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,81337100089.0,,,-8.2680359,123.5495837,https://maps.google.com/?cid=0x0:0xbd93792d37549aa8,
hotel,hotel,Abel Beding Homestay  Felmina Wisata Kote Kelema,"CCF8+MXH, Lamalera A, Kec. Wulandoni, Kabupaten Lembata, Nusa Tenggara Tim.","Kabupaten Lembata, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,82236311250.0,,,-8.5758123,123.4174969,https://maps.google.com/?cid=0x0:0x7f84f11cba05d2c5,
