Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"Kec. Wae Rii";"Kabupaten Manggarai, Nusa Tenggara Tim.";"Kabupaten Manggarai, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";"";"";"";"-8.5562437";"120.4448297";"https://maps.google.com/?cid=0x0:0x4b2946f12ae0d921";""
"hotel";"hotel";"Sun Rice Homestay";"CFG2+VHC, Unnamed Road, Bangka Kenda, Kec. Wae Rii, Kabupaten Manggarai, Nusa Tenggara Tim.";"Kabupaten Manggarai, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";" 082339736102";"";"";"-8.5728218";"120.4513925";"https://maps.google.com/?cid=0x0:0xd0093d47e38d7ffc";""
"hotel";"hotel";"Hotel Sindha";"Jl. Yos Sudarso No.24-26, Mbaumuku, Kec. Langke Rembong, Kabupaten Manggarai, Nusa Tenggara Tim. 86511";"Mbaumuku, Kec. Langke Rembong, Kabupaten Manggarai";"NUSA TENGGARA TIMUR";"86511";"Indonesia";" 038521197";"";"";"-8.6079311";"120.4668603";"https://maps.google.com/?cid=0x0:0xfdb2d3b5614172c1";""
"hotel";"hotel";"Ara Garden Inn";"Jalan Gewak 1, Nteer, Kelurahan Poco Mal, Tenda, Langke Rembong, Manggarai Regency, East Nusa Tenggara 86518";"Nteer, Kelurahan Poco Mal, Tenda, Langke Rembong, Manggarai Regency";"NUSA TENGGARA TIMUR";"86518";"Indonesia";" 085712971420";"";"";"-8.6166244";"120.4786394";"https://maps.google.com/?cid=0x0:0x21c2f53b1dc02aa3";""
"hotel";"hotel";"Victory Hotel Ruteng";"Jl. Kartini No.06, Lawir, Kec. Langke Rembong, Kabupaten Manggarai, Nusa Tenggara Tim. 86516";"Lawir, Kec. Langke Rembong, Kabupaten Manggarai";"NUSA TENGGARA TIMUR";"86516";"Indonesia";" 081236168888";"";"";"-8.6125186";"120.4627428";"https://maps.google.com/?cid=0x0:0x680628423ac64f05";""
"hotel";"Hostel";"Hotel FX 72 Ruteng";"Wali, Kec. Langke Rembong, Kabupaten Manggarai, Nusa Tenggara Tim.";"Kabupaten Manggarai, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";" 081225173148";"";"";"-8.5910064";"120.4614834";"https://maps.google.com/?cid=0x0:0x27aa5e70ae5495a7";""
"hotel";"hotel";"Chacha Homestay  Dormitory";"Jl. Diponegoro No.12, Watu, Flores, Kabupaten Manggarai, Nusa Tenggara Tim. 86511";"Watu, Flores, Kabupaten Manggarai";"NUSA TENGGARA TIMUR";"86511";"Indonesia";" 081236989009";"";"";"-8.6153409";"120.4653172";"https://maps.google.com/?cid=0x0:0x1f5ccf0f92f9bdb9";""
"hotel";"hotel";"Sky Flores Hotel";"Jl. Yos Sudarso No.34, Mbaumuku, Kec. Langke Rembong, Kabupaten Manggarai, Nusa Tenggara Tim.";"Kabupaten Manggarai, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";" 085215000808";"";"";"-8.6065375";"120.4669404";"https://maps.google.com/?cid=0x0:0x458b10bffcd31fbb";""
"hotel";"hotel";"D-Rima Homestay";"Mbaumuku, Kec. Langke Rembong, Kabupaten Manggarai, Nusa Tenggara Tim.";"Kabupaten Manggarai, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";" 081379581188";"";"";"-8.6053096";"120.4680183";"https://maps.google.com/?cid=0x0:0xb2e300d5998124c2";""
"hotel";"hotel";"Skipper House";"Jl. Ulumbu, Watu, Kec. Langke Rembong, Kabupaten Manggarai, Nusa Tenggara Tim. 86511";"Watu, Kec. Langke Rembong, Kabupaten Manggarai";"NUSA TENGGARA TIMUR";"86511";"Indonesia";" 081322014981";"";"";"-8.6211079";"120.4650825";"https://maps.google.com/?cid=0x0:0x9d33595864fd9cf3";""
