Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"Kec. Aesesa";"Kabupaten Nagekeo, Nusa Tenggara Tim.";"Kabupaten Nagekeo, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";"";"";"";"-8.5575585";"121.2692731";"https://maps.google.com/?cid=0x0:0x7382490e0d580d1";""
"hotel";"hotel";"Hotel Sinar Kasih";"Danga, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.";"Kabupaten Nagekeo, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";" 085847726157";"";"";"-8.5641222";"121.2707581";"https://maps.google.com/?cid=0x0:0x7ae0153a3fc8f36e";""
"hotel";"hotel";"Nirvana Bungalows RIUNG / Nirvana RIUNG";"Nirvana Road, Nangamese, Kec. Riung, Kabupaten Ngada, Nusa Tenggara Tim.";"Kabupaten Ngada, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";" 081338528529";"";"";"-8.4184645";"121.0292928";"https://maps.google.com/?cid=0x0:0xcecab3c11952c396";""
"hotel";"hotel";"Hotel Mandiri";"C7Q9+H3R, Unnamed Road, Danga, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.";"Kabupaten Nagekeo, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";"";"";"";"-8.5610095";"121.2676463";"https://maps.google.com/?cid=0x0:0x650aa005edec09bc";""
"hotel";"hotel";"Hotel Bintang Wisata Riung";"Pasar Riung, Nangamese, Ngada, Kabupaten Ngada, Nusa Tenggara Tim. 86413";"Nangamese, Ngada, Kabupaten Ngada";"NUSA TENGGARA TIMUR";"86413";"Indonesia";" 081246130831";"";"";"-8.4216979";"121.0276";"https://maps.google.com/?cid=0x0:0xb52401ae12d0c70e";""
"hotel";"hotel";"Lalong Terong Guest House";"H2FF+95M, Benteng Tengah, Kec. Riung, Kabupaten Ngada, Nusa Tenggara Tim.";"Kabupaten Ngada, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";" 081392260506";"";"";"-8.4265291";"121.0229223";"https://maps.google.com/?cid=0x0:0x57ec504013cc24e9";""
"hotel";"hotel";"Pondok SVD Riung";"H2HG+CWC Pondok SVD, Nangamese, Kec. Riung, Kabupaten Ngada, Nusa Tenggara Tim.";"Kabupaten Ngada, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";" 081339341572";"";"";"-8.4214305";"121.0272598";"https://maps.google.com/?cid=0x0:0xb912826d60152fe1";""
"hotel";"hotel";"Penginapan Tiga Empat Tujuh";"H2JG+3PC, Nangamese, Kec. Riung, Kabupaten Ngada, Nusa Tenggara Tim.";"Kabupaten Ngada, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";"";"";"";"-8.4198196";"121.026772";"https://maps.google.com/?cid=0x0:0x6c10cfa017ed05ce";""
"hotel";"hotel";"Hotel Silverin Bajawa";"Jl. Trans Flores Bajawa-Ende Km. 04, Bajawa, Kabupaten Ngada, Nusa Tenggara Tim. 86411";"Bajawa, Kabupaten Ngada";"NUSA TENGGARA TIMUR";"86411";"Indonesia";" 03842225506";"";"";"-8.8068765";"120.9768528";"https://maps.google.com/?cid=0x0:0xa57ca8b51e4d7ac3";""
"hotel";"hotel";"BERLIAN HOTEL";"Jl. Kelimutu No.7, Kel. Onekore, Kec. Ende Tengah, Kabupaten Ende, Nusa Tenggara Tim.";"Kabupaten Ende, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";" 081353390308";"";"";"-8.8424389";"121.650632";"https://maps.google.com/?cid=0x0:0xcb36d70d4e492c3";""
