Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
perumahan,Perhimpunan Pengembang Perumahan,"TEKNISI ALAT BERAT Aesesa Mbay, Kabupaten Nagekeo","DANGA, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,82242600151.0,,,-8.5285113,121.2798033,https://maps.google.com/?cid=0x0:0x34081ec136ad1b8d,
perumahan,perumahan,Kec. Aesesa,"Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.5575585,121.2692731,https://maps.google.com/?cid=0x0:0x7382490e0d580d1,
perumahan,Kantor Perusahaan,Tutubhada,"963F+R7, Langedhawe, Kec. Aesesa Sel., Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.6454562,121.2231382,https://maps.google.com/?cid=0x0:0x4786c2b9cac3e657,
perumahan,Rumah Makan,Rumah makan Mini indah 2,"mbay, flores, Danga, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,82140761534.0,,,-8.5598425,121.2687263,https://maps.google.com/?cid=0x0:0x53c55c0057367d36,
perumahan,Restoran,Rumah Makan Nusantara,"Jl. Soekarno Hatta, Danga, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,81389211627.0,,,-8.5671396,121.2693417,https://maps.google.com/?cid=0x0:0x85cb73af34ce2607,
perumahan,Indonesia,Rumah makan minang jaya,"Jl. Jenderal Soehart, Danga, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,81246720529.0,,,-8.5583238,121.2689577,https://maps.google.com/?cid=0x0:0x21b1259b8b4f605e,
perumahan,perumahan,Aesesa,"C7JR+55Q, Lape, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.5695358,121.2904784,https://maps.google.com/?cid=0x0:0x83e27806ffa9605c,
perumahan,perumahan,Aesesa,"C7R9+XPC, Danga, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.5575585,121.2692731,https://maps.google.com/?cid=0x0:0x9b6f18303bceb9e9,
perumahan,Komplek perumahan,Rumah Buyung Asgara,"C7F3+J6R, Nggolo Mbay, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.575687,121.253416,https://maps.google.com/?cid=0x0:0xf140cc0f14416897,
perumahan,Komplek perumahan,Rumah. RIS Do,"C7P7+G2G, Danga, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.5640362,121.2618163,https://maps.google.com/?cid=0x0:0xdb81940761990791,
perumahan,perumahan,RUMAH ENDINY,"C7V9+F3R, Mbay I, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim. 86472","Mbay I, Kec. Aesesa, Kabupaten Nagekeo",NUSA TENGGARA TIMUR,86472.0,Indonesia,,,,-8.5562778,121.2669722,https://maps.google.com/?cid=0x0:0xdd8ff7853dc951b5,
perumahan,Pembangunan Perumahan,Kampung baru,"C7J4+CQF, Nggolo Mbay, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.5693662,121.2567835,https://maps.google.com/?cid=0x0:0xa9b3c061684c69d6,
perumahan,Gedung Apartemen,Rumah Paul Sabu,"C6GX+4WF, Jl. Kendedes, Alobuu, Nggolo Mbay, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.574675,121.2492103,https://maps.google.com/?cid=0x0:0x9cf63d516f51b7b6,
perumahan,Komplek perumahan,Rumah Saya,"F72C+527, Mbay I, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.5495853,121.2700323,https://maps.google.com/?cid=0x0:0xae567093b26c2f82,
perumahan,Kantor Pemerintah,Desa lape,"C7MR+CGQ, Lape, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.5669153,121.2912783,https://maps.google.com/?cid=0x0:0x9c98aae15a2b513c,
perumahan,Komplek perumahan,Vian mallo,"Jl. Aeramo No.20, Lape, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim. 86472","Lape, Kec. Aesesa, Kabupaten Nagekeo",NUSA TENGGARA TIMUR,86472.0,Indonesia,,,,-8.573477,121.3060167,https://maps.google.com/?cid=0x0:0x6928faad593d513,
perumahan,Pembangunan Perumahan,Cadas.,"C7F3+QR7, Danga, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.5755757,121.2545413,https://maps.google.com/?cid=0x0:0x90dd39411d172dac,
perumahan,Komplek perumahan,Yanne Rangga Sa'o,"C7G2+8W3, Nggolo Mbay, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.5742279,121.2528151,https://maps.google.com/?cid=0x0:0xd73fdead800e2c5,
perumahan,perumahan,Rumah Hasbil rena,"C7R6+5F7, Mbay I, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.5583539,121.2611089,https://maps.google.com/?cid=0x0:0x8ac1a9364c5b1789,
perumahan,perumahan,Rumah Seren dan Putri,"C6CW+8WC, Dhawe, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.5783667,121.247094,https://maps.google.com/?cid=0x0:0xc898d1a26772f4a2,
perumahan,perumahan,Rumah Yanto,"C6CW+PR2, Dhawe, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.5782455,121.2470029,https://maps.google.com/?cid=0x0:0xab2c7586871d8be3,
perumahan,Perhimpunan Pengembang Perumahan,rumah Icha,"F739+C4M, Mbay I, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.546421,121.2677899,https://maps.google.com/?cid=0x0:0xcb4bb8aac08ac2b5,
perumahan,Komplek perumahan,Gunung batu,"C7GV+WCM, Lape, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.5723044,121.2945181,https://maps.google.com/?cid=0x0:0x84e21b09feb13d3a,
perumahan,Komplek perumahan,Kios 1 putri BOATIBA,"Jl. Masjid Baiturrahman, Mbay I, Kec. Aesesa, Kabupaten Nagekeo, Nusa Tenggara Tim.","Kabupaten Nagekeo, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-8.5555561,121.2691893,https://maps.google.com/?cid=0x0:0x204a7879a6972067,
