Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
perumahan,Komplek perumahan,Rumah Lexy,"42R2+QV9, Dolasi, Kec. Rote Bar. Daya, Kabupaten Rote Ndao, Nusa Tenggara Tim.","Kabupaten Rote Ndao, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-1.085.809,1.230.022.246,https://maps.google.com/?cid=0x0:0xaba226bdbc31b349,
perumahan,perumahan,Kec. Rote Bar. Daya,"Kabupaten Rote Ndao, Nusa Tenggara Tim.","Kabupaten Rote Ndao, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-108.599.138,1.230.152.055,https://maps.google.com/?cid=0x0:0xc8d7144834ab28c0,
perumahan,Perumahan,R.B.O,"5269+X93, Mbokak, Kec. Rote Bar. Daya, Kabupaten Rote Ndao, Nusa Tenggara Tim.","Kabupaten Rote Ndao, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-108.376.218,1.230.184.166,https://maps.google.com/?cid=0x0:0x1ae642508da0b6a0,
perumahan,Komplek perumahan,Mustafa Lahaya,"4XQP+PQ3, jln, Batutua, Kec. Rote Bar. Daya, Kabupaten Rote Ndao, Nusa Tenggara Tim.","Kabupaten Rote Ndao, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-108.607.411,1.229.871.975,https://maps.google.com/?cid=0x0:0x356b98b1e15c8542,
perumahan,Komplek perumahan,Handende,"522F+F5, Oelasin, Kec. Rote Bar. Daya, Kabupaten Rote Ndao, Nusa Tenggara Tim.","Kabupaten Rote Ndao, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-10.848.867,1.230.229.299,https://maps.google.com/?cid=0x0:0xdddd945413770b69,
perumahan,Pembangunan Perumahan,MilfanLangga,"42R7+5RM, Dolasi, Kec. Rote Bar. Daya, Kabupaten Rote Ndao, Nusa Tenggara Tim.","Kabupaten Rote Ndao, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-108.584.857,1.230.147.125,https://maps.google.com/?cid=0x0:0x943c9fd65557bdfd,
perumahan,Pembangunan Perumahan,Opa Deranitan,"42Q7+72R, Dolasi, Kec. Rote Bar. Daya, Kabupaten Rote Ndao, Nusa Tenggara Tim.","Kabupaten Rote Ndao, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-108.616.896,123.012.468,https://maps.google.com/?cid=0x0:0x15aa13b01e46efbb,
perumahan,Perhimpunan Pengembang Perumahan,Helena Ressie,"52Q5+VQM, Oebatu, Kec. Rote Bar. Daya, Kabupaten Rote Ndao, Nusa Tenggara Tim.","Kabupaten Rote Ndao, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-108.102.987,1.230.094.275,https://maps.google.com/?cid=0x0:0x71479af2ec6560ec,
perumahan,Pembangunan Perumahan,Oebatu,"52M4+F79, Oebatu, Kec. Rote Bar. Daya, Kabupaten Rote Ndao, Nusa Tenggara Tim.","Kabupaten Rote Ndao, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-108.163.426,1.230.057.261,https://maps.google.com/?cid=0x0:0x80f15ddd191d9b3a,
perumahan,Komplek perumahan,OEDALE Rumah tiga,"5XQX+H3, Oebaffok, Kec. Rote Bar. Daya, Kabupaten Rote Ndao, Nusa Tenggara Tim.","Kabupaten Rote Ndao, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-108.110.148,1.229.976.581,https://maps.google.com/?cid=0x0:0x5aba18b95f7fd0b9,
