Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"Kec. Sabu Bar.";"Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";"";"";"";"-10.4996566";"121.8400338";"https://maps.google.com/?cid=0x0:0xa5c2c568f439a950";""
"hotel";"Pondok";"Mana Home Stay";"FRXR+V4X, Jl. Simpang Tiga Tenihawu, Mebba, Kec. Sabu Bar., Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";" 082145266407";"";"";"-10.5002629";"121.8403467";"https://maps.google.com/?cid=0x0:0x3ed918cda4bb4fc9";""
"hotel";"Hotel";"Penginapan Komang";"RT.2/RW.3, Menia, Kec. Sabu Bar., Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";" 081266655755";"";"";"-10.4594207";"121.8680429";"https://maps.google.com/?cid=0x0:0x45249e6fdb96d379";""
"hotel";"Pondok";"Penginapan Maryo - Sabu Seba";"GR4Q+9P4, Mebba, Kec. Sabu Bar., Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";"";"";"";"-10.4941174";"121.8393404";"https://maps.google.com/?cid=0x0:0x7d59780c0e452657";""
"hotel";"Motel";"Elsa Homestay";"GRPX+VWV, Raemadia, Kec. Sabu Bar., Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";" 081337242665";"";"";"-10.4627704";"121.8498044";"https://maps.google.com/?cid=0x0:0x6128543384e00671";""
"hotel";"Hotel";"Penginapan Abdullah";"Jl. Masjid An'Nur Seba No.Depan, Mebba, Kec. Sabu Bar., Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";"";"";"";"-10.4935094";"121.8396694";"https://maps.google.com/?cid=0x0:0xc12533b0676894ce";""
"hotel";"Penginapan";"Jessica Hotel Sabu Raijua";"Mebba, Kec. Sabu Bar., Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";" 082146462942";"";"";"-10.492037";"121.8469376";"https://maps.google.com/?cid=0x0:0x9577cfbf15d997e3";""
"hotel";"Pondok";"Kaleb Djo Hotel";"GVR9+GWR, Menia, Kec. Sabu Bar., Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";"";"";"";"-10.458642";"121.8697771";"https://maps.google.com/?cid=0x0:0x2491cac09c08188f";""
"hotel";"Komplek perumahan";"Ronal Netu";"FRWV+QHF, Raeloro, Kec. Sabu Bar., Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";"";"";"";"-10.5034786";"121.8434939";"https://maps.google.com/?cid=0x0:0x137d9384ff5e796c";""
"hotel";"Hotel";"YanoLulu";"FQ55+X9H, Daieko, Kec. Hawu Mehara, Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";"";"";"";"-10.5400606";"121.758492";"https://maps.google.com/?cid=0x0:0x4342e26db4f38f9";""
"hotel";"Kantor Pemerintah";"Polres";"GVWH+V7R, Menia, Kec. Sabu Bar., Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";"";"";"";"-10.4527627";"121.8781312";"https://maps.google.com/?cid=0x0:0xa7a90597b076d363";""
"hotel";"Pondok";"Apryano(om ape)";"GVPC+V5C, Menia, Kec. Sabu Bar., Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";" 081339390526";"";"";"-10.4625208";"121.8704558";"https://maps.google.com/?cid=0x0:0x2e902682a991ed91";""
"hotel";"Hotel";"Ribka Manu Hunga";"GVVH+FVR, Menia, Kec. Sabu Bar., Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"Kabupaten Sabu Raijua, Nusa Tenggara Tim.";"NUSA TENGGARA TIMUR";"";"Indonesia";"";"";"";"-10.4562719";"121.8796537";"https://maps.google.com/?cid=0x0:0xb465e8fd580268a9";""
