Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Nusa Tenggara Tim. 86113,"Kota Uneng, Kec. Alok, Kabupaten Sikka, Nusa Tenggara Tim.","Kabupaten Sikka, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-86.167.643,1.222.178.482,https://maps.google.com/?cid=0x0:0xddb39f86610c6a42,
mall,Pusat Perbelanjaan,Mall Of Indonesia,"Jl. Boulevard Bar. Raya No.12, RT.18/RW.19, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240","RT.18/RW.19, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara",NUSA TENGGARA TIMUR,14240.0,Indonesia,2145867888,,,-61.514.549,1.068.918.949,https://maps.google.com/?cid=0x0:0x3431c7aaadd1f1b6,
mall,Vegetarian cafe and deli,Nusa Tenggara Timur,"83VH+2PX, Nginamanu, Kec. Wolomeze, Kabupaten Ngada, Nusa Tenggara Tim.","Kabupaten Ngada, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-86.573.819,1.210.793.705,https://maps.google.com/?cid=0x0:0x27af687c1dcf24cf,
mall,Toko Swalayan,AEON Mall Deltamas - Cikarang Bekasi,"Jl. Ganesha Boulevard, Kota Deltamas, Kec. Cikarang Pusat, Kabupaten Bekasi, Jawa Barat 17530","Kota Deltamas, Kec. Cikarang Pusat, Kabupaten Bekasi",NUSA TENGGARA TIMUR,17530.0,Indonesia,2138733333,,,-63.519.407,1.071.954.494,https://maps.google.com/?cid=0x0:0xa692ce22e7339115,
mall,Kios,Moke Manja,"Jl. W.J. Lalamentik, Oekefan, Kec. Kota Soe, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim. 85511","Oekefan, Kec. Kota Soe, Kabupaten Timor Tengah Selatan",NUSA TENGGARA TIMUR,85511.0,Indonesia,81338579698,,,-98.553.305,124.289.713,https://maps.google.com/?cid=0x0:0x7ef3cd550d011673,
mall,Kios,Mega Kios,"Jl. Waiwerang Sagu, Karinglamalouk, Kec. Adonara Tim., Kabupaten Flores Timur, Nusa Tenggara Tim.","Kabupaten Flores Timur, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-83.381.004,1.232.145.084,https://maps.google.com/?cid=0x0:0xf3ee3eab49c73db7,
mall,Pusat Perbelanjaan,Kios Momie Baraa Ozawa,"Unnamed Road, Air Nona, Kec. Kota Raja, Kota Kupang, Nusa Tenggara Tim.","Kota Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,81328327011,,,-101.806.899,1.235.829.869,https://maps.google.com/?cid=0x0:0xe91a83a29ca83329,
mall,Pusat Perbelanjaan,Minggus Mangi Djo,"QJV5+542, Jl. Oekalipi, Sikumana, Kec. Maulafa, Kota Kupang, Nusa Tenggara Tim.","Kota Kupang, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-102.071.097,1.236.077.675,https://maps.google.com/?cid=0x0:0xea814ffa08cadf09,
mall,Pusat Perbelanjaan,Poco Rejeng,"FF4P+3V5, Poco, Kec. Wae Rii, Kabupaten Manggarai, Nusa Tenggara Tim.","Kabupaten Manggarai, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,82236308320,,,-8.544.852,1.204.872.188,https://maps.google.com/?cid=0x0:0xdc09254e12df11af,
mall,Es Krim,Momoyo Ice cream  Fruit Tea,"Jl. Gajah Mada No.30, Madawat, Kec. Alok, Kabupaten Sikka, Nusa Tenggara Tim. 86112","Madawat, Kec. Alok, Kabupaten Sikka",NUSA TENGGARA TIMUR,86112.0,Indonesia,82266088922,,,-86.274.819,1.222.132.375,https://maps.google.com/?cid=0x0:0x91efa29218cd6806,
mall,Pusat Perbelanjaan,Barata Mall,"96FH+GQG, Nangameting, Kec. Alok Tim., Kabupaten Sikka, Nusa Tenggara Tim.","Kabupaten Sikka, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-86.261.985,1.222.294.497,https://maps.google.com/?cid=0x0:0xf0d867097bc1651,
mall,Pasar,Pasar Senja wuring,"Pasar wuring, Jl. Bengkunis, Wolomarang, Kec. Alok Bar., Kabupaten Sikka, Nusa Tenggara Tim.","Kabupaten Sikka, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,82299722618,,,-8.602.446,1.222.000.519,https://maps.google.com/?cid=0x0:0x5dce69dbed2a3ae7,
mall,Pusat Perbelanjaan,Mall Kelapa Gading,"Jl. Boulevard Raya, RT.13/RW.18, Klp. Gading Tim., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240","RT.13/RW.18, Klp. Gading Tim., Kec. Klp. Gading, Jkt Utara",NUSA TENGGARA TIMUR,14240.0,Indonesia,214531101,,,-61.577.957,1.069.084.998,https://maps.google.com/?cid=0x0:0xf81b02e78061a7af,
mall,Pusat Perbelanjaan,ASHTA District 8,"Jl. Senopati No.83, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190","Senayan, Kec. Kby. Baru, Kota Jakarta Selatan",NUSA TENGGARA TIMUR,12190.0,Indonesia,2150262888,,,-6.229.976,1.068.070.846,https://maps.google.com/?cid=0x0:0x1042cab307c13c5f,
mall,Toko Mebel,MAGGIO HOME CENTRE - BOGOR,"Jalan Vila Nusa Indah II Blok HH-1/7-8, Bojong Kulur, Gunung Putri, Bojong Kulur, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat 17424","Bojong Kulur, Gunung Putri, Bojong Kulur, Kec. Gn. Putri, Kabupaten Bogor",NUSA TENGGARA TIMUR,17424.0,Indonesia,2182400926,,,-63.205.726,1.069.695.934,https://maps.google.com/?cid=0x0:0x971722e53d106717,
