Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Kec. Kota Waingapu,"Kabupaten Sumba Timur, Nusa Tenggara Tim.","Kabupaten Sumba Timur, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-9.6646545,120.2498483,https://maps.google.com/?cid=0x0:0x6761d979d61c1bb4,
mall,Pusat Perbelanjaan,Erom Mart,"Jl. Matawai Amahu No.23, Kambajawa, Kec. Kota Waingapu, Kabupaten Sumba Timur, Nusa Tenggara Tim.","Kabupaten Sumba Timur, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,81236263379.0,,,-9.6632686,120.2486841,https://maps.google.com/?cid=0x0:0x451fd68bc249eb49,
mall,Toko Mebel,Miniso,"Jl. Ahmad Yani No.81, Kamalaputi, Kec. Kota Waingapu, Kabupaten Sumba Timur, Nusa Tenggara Tim.","Kabupaten Sumba Timur, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-9.6504784,120.2640298,https://maps.google.com/?cid=0x0:0xf15c5a3effe323c1,
mall,Toko Swalayan,Primadona,"86RX+H5W, Jl. Pulau Sumba, Kambajawa, Kec. Kota Waingapu, Kabupaten Sumba Timur, Nusa Tenggara Tim.","Kabupaten Sumba Timur, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-9.6585183,120.2479512,https://maps.google.com/?cid=0x0:0xbec028d35aa5a129,
mall,Pusat Perbelanjaan,VapeZone Waingapu,"86PV+HV6, Kambajawa, Kec. Kota Waingapu, Kabupaten Sumba Timur, Nusa Tenggara Tim.","Kabupaten Sumba Timur, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-9.6635909,120.2446503,https://maps.google.com/?cid=0x0:0x3c93cbaf2bc455e0,
mall,Pusat Perbelanjaan,Skretariat GMNI Cabang Waingapu,"87P9+92X, Unnamed Road, Wangga, Kec. Kambera, Kabupaten Sumba Timur, Nusa Tenggara Tim.","Kabupaten Sumba Timur, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-9.6640037,120.2676187,https://maps.google.com/?cid=0x0:0x964d8fa44a71b6c4,
mall,Pusat Perbelanjaan,Miranda Store,"Jl. Ikan Tembang, Kambajawa, Kec. Kota Waingapu, Kabupaten Sumba Timur, Nusa Tenggara Tim.","Kabupaten Sumba Timur, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,82144213663.0,,,-9.6620039,120.2455029,https://maps.google.com/?cid=0x0:0x28d3aec6312e00e,
mall,Toko bahan makanan,SAHABAT PASARAYA CENTER (SPC-WAINGAPU),"9727+365, Matawai, Kec. Kota Waingapu, Kabupaten Sumba Timur, Nusa Tenggara Tim.","Kabupaten Sumba Timur, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-9.649698,120.2629435,https://maps.google.com/?cid=0x0:0x9516ea8c05f77517,
mall,Pusat Perbelanjaan,Felicia Shop Waingapu,"Jl. Umbu Tipuk Marisi No.34, Matawai, Kec. Kota Waingapu, Kabupaten Sumba Timur, Nusa Tenggara Tim.","Kabupaten Sumba Timur, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-9.655608,120.2640426,https://maps.google.com/?cid=0x0:0x29667472a033468e,
mall,Pasar,Pasar Ikan Segar WGP,"9754+84W, Kamalaputi, Kec. Kota Waingapu, Kabupaten Sumba Timur, Nusa Tenggara Tim.","Kabupaten Sumba Timur, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-9.6416353,120.2553406,https://maps.google.com/?cid=0x0:0x5b07015af74c0c27,
mall,Toko,Toko Utama,"Jl. Jenderal Ahmad Yani No. 97 Kamalaputi Kambaniru Kambera, Kamalaputi, Kec. Kota Waingapu, Kabupaten Sumba Timur, Nusa Tenggara Tim.","Kabupaten Sumba Timur, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,81217319927.0,,,-9.6515491,120.2649025,https://maps.google.com/?cid=0x0:0xef3d7db16dadbb1a,
