Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
hotel;hotel;Kec. Miomaffo Tim.;Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.;Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;;;;-93.567.336;1.245.215.507;https://maps.google.com/?cid=0x0:0x36f1063e1ccfabd9;
hotel;hotel;Grand Royal Hotel;GFXH+C2R, Jl. Kartini, Kefamenanu Tengah, Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.;Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;;;;-94.513.804;1.244.775.146;https://maps.google.com/?cid=0x0:0x837ce9a7754ba357;
hotel;hotel;Livero hotel kefamenanu;Jl. Eltari No.km. 3, Kefamenanu Sel., Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara, Nusa Tenggara Tim. 85613;Kefamenanu Sel., Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara;NUSA TENGGARA TIMUR;85613;Indonesia;81238000788;;;-94.670.265;124.480.962;https://maps.google.com/?cid=0x0:0x81cd79dd2f5242b4;
hotel;hotel;Ariesta Hotel;JL. Jenderal Basuki Rachmad, No. 29, Kefamenanu Tengah, Kefamenanu Tengah, Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara, Nusa Tenggara Tim. 85612;No. 29, Kefamenanu Tengah, Kefamenanu Tengah, Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara;NUSA TENGGARA TIMUR;85612;Indonesia;38831007;;;-94.509.288;1.244.751.228;https://maps.google.com/?cid=0x0:0x9c091b327822f9b3;
hotel;hotel;Frawijaya Hotel;HF2H+QRF, Jl. Sonbai, Kefamenanu Tengah, Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara, Nusa Tenggara Tim. 85612;Jl. Sonbai, Kefamenanu Tengah, Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara;NUSA TENGGARA TIMUR;85612;Indonesia;38831697;;;-94.480.728;1.244.795.537;https://maps.google.com/?cid=0x0:0x53e59b606a0e2a27;
hotel;hotel;Hotel Victory Kefamenanu;HF2H+77J, Kefamenanu Tengah, Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.;Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;3882430090;;;-94.492.911;1.244.781.399;https://maps.google.com/?cid=0x0:0xd91725223654d3c8;
hotel;hotel;Hotel Cendana Kefamennanu;GFVJ+RXR, Jl. Sonbay, Kefamenanu Sel., Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.;Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;;;;-94.553.848;1.244.824.043;https://maps.google.com/?cid=0x0:0x429cc53f237349c;
hotel;hotel;HOTEL SETANGKAI;HF3H+6J5, Jl. Sonbay, Kefamenanu Tengah, Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.;Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;81318296512;;;-94.469.929;1.244.790.976;https://maps.google.com/?cid=0x0:0x4edc29bab99ae812;
hotel;hotel;Hotel Victory 1;GFVG+VX8, Jl. Soedirman, Benpasi, Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.;Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;;;;-94.553.423;124.477.462;https://maps.google.com/?cid=0x0:0x79af0f3d356222dd;
hotel;Tujuan Wisata;Semburan Lumpur - NAPAN;J9MQ+C7, Napan, Kec. Bikomi Utara, Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.;Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.;NUSA TENGGARA TIMUR;;Indonesia;;;;-93.667.185;1.243.867.822;https://maps.google.com/?cid=0x0:0xa187f8581667db8a;
