Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
perumahan,perumahan,Kec. Miomaffo Tim.,"Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.","Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-93.567.336,1.245.215.507,https://maps.google.com/?cid=0x0:0x36f1063e1ccfabd9,
perumahan,Kantor Pemerintah,Polsek Miomaffo Timur,"HFP9+FQ8 Tobe Puna, jln, Oesena, Miomafo Timur, North Central Timor Regency, East Nusa Tenggara","Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-94.138.299,12.446.944,https://maps.google.com/?cid=0x0:0xc265d266a0cb0349,
perumahan,Komplek perumahan,Biinmaffo Residence Kefamenanu,"GGP8+MVH, Tubuhue, Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.","Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,82144789744,,,-94.633.129,1.245.172.305,https://maps.google.com/?cid=0x0:0x31a47e0667d0a3f9,
perumahan,Pembangunan Perumahan,Perumahan Sasi Permai,"FFWP+GJJ, Sasi, Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.","Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,81298678478,,,-95.036.688,1.244.865.251,https://maps.google.com/?cid=0x0:0x780eb6c2719f7370,
perumahan,Pembangunan Perumahan,Beba,"GF3J+G22, Oelami, Kec. Kota Kefamenanu, Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.","Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-9.496.127,124.481.372,https://maps.google.com/?cid=0x0:0xb1839c5c539a3579,
perumahan,Komplek perumahan,Rumah Glen Manek,"HFGH+JM9, Oesena, Kec. Miomaffo Tim., Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.","Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-94.234.904,1.244.792.337,https://maps.google.com/?cid=0x0:0x6f20ea5271a7ce4c,
perumahan,perumahan,RUMAH GU,"JGQ8+2Q8, Jak, Kec. Miomaffo Tim., Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.","Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-93.624.561,1.245.169.449,https://maps.google.com/?cid=0x0:0xc0237eba0edee781,
perumahan,perumahan,ILA,"JGR9+7G8, Jak, Kec. Miomaffo Tim., Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.","Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-93.593.328,1.245.188.281,https://maps.google.com/?cid=0x0:0x801b1906be035b33,
perumahan,Komplek perumahan,Oesena,"HFM9+6F, Oesena, Kec. Miomaffo Tim., Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.","Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-94.169.538,1.244.686.895,https://maps.google.com/?cid=0x0:0xb5e3c3d66981c50a,
perumahan,Komplek perumahan,Jak,"JGQ9+CX, Jak, Kec. Miomaffo Tim., Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.","Kabupaten Timor Tengah Utara, Nusa Tenggara Tim.",NUSA TENGGARA TIMUR,,Indonesia,,,,-93.626.087,1.245.199.939,https://maps.google.com/?cid=0x0:0x8e141776bfa32c56,
