Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
perumahan,Komplek perumahan,Sangiang desa nipa kecamatan Ambalawi,"MQP9+PX7, Sagiang, Nipa, Kec. Ambalawi, Kabupaten Bima, Nusa Tenggara Bar. 84153","Sagiang, Nipa, Kec. Ambalawi, Kabupaten Bima",NUSA TENGGARA BARAT,84153.0,Indonesia,,,,-83.132.125,1.187.699.219,https://maps.google.com/?cid=0x0:0x798decb0f299424c,
perumahan,perumahan,Nusa Tenggara Bar. 84153,"Kabupaten Bima, Nusa Tenggara Bar.","Kabupaten Bima, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,,,,-83.598.638,1.188.363.756,https://maps.google.com/?cid=0x0:0xbc080e790f4fc92e,
perumahan,Komplek perumahan,Keli rite ambalawi,"Kandang Kambing Makmur, Rite, Kec. Ambalawi, Kabupaten Bima, Nusa Tenggara Bar. 84153","Rite, Kec. Ambalawi, Kabupaten Bima",NUSA TENGGARA BARAT,84153.0,Indonesia,,,,-83.894.652,1.187.722.699,https://maps.google.com/?cid=0x0:0x25ad2cb86702e369,
perumahan,perumahan,"Ndanonae,e","HR6W+9FG, Ntobo, Kec. Raba, Kab. Bima, Nusa Tenggara Bar. 84119","Ntobo, Kec. Raba, Kab. Bima",NUSA TENGGARA BARAT,84119.0,Indonesia,,,,-84.390.682,1.188.462.145,https://maps.google.com/?cid=0x0:0xd7dd56a74ab288bb,
perumahan,Komplek perumahan,Comp Tolotui Garden,"MQ9J+XF7, Nipa, Kec. Ambalawi, Kabupaten Bima, Nusa Tenggara Bar. 84153","Nipa, Kec. Ambalawi, Kabupaten Bima",NUSA TENGGARA BARAT,84153.0,Indonesia,85205994222,,,-83.300.816,1.187.811.759,https://maps.google.com/?cid=0x0:0xf1ffd85052172c44,
perumahan,Perumahan,Hajrika Tengge keli,"JQ5X+GRR, Jl. Lintas Bima-Wera, Rite, Kec. Ambalawi, Kabupaten Bima, Nusa Tenggara Bar. 84153","Jl. Lintas Bima-Wera, Rite, Kec. Ambalawi, Kabupaten Bima",NUSA TENGGARA BARAT,84153.0,Indonesia,,,,-83.914.538,1.187.990.767,https://maps.google.com/?cid=0x0:0xfb7bde23d0ac9137,
perumahan,Komplek perumahan,Dusun ujung kelate kecamatan Ambalawi kabupaten bima,"MQH7+H24, Nipa, Kec. Ambalawi, Kabupaten Bima, Nusa Tenggara Bar. 84153","Nipa, Kec. Ambalawi, Kabupaten Bima",NUSA TENGGARA BARAT,84153.0,Indonesia,,,,-83.211.125,1.187.625.781,https://maps.google.com/?cid=0x0:0xb4206656f8502b9,
perumahan,Perhimpunan Pengembang Perumahan,Fanjul,"MQP9+PW6, Sagiang, Nipa, Kec. Ambalawi, Kabupaten Bima, Nusa Tenggara Bar. 84153","Sagiang, Nipa, Kec. Ambalawi, Kabupaten Bima",NUSA TENGGARA BARAT,84153.0,Indonesia,,,,-8.313.006,118.769.468,https://maps.google.com/?cid=0x0:0xb01c621f4ff90619,
perumahan,Komplek perumahan,Rumah alfin,"MQQC+PJX, Jl. Lintas Ambalawi, Nipa, Kec. Ambalawi, Kabupaten Bima, Nusa Tenggara Bar. 84153","Jl. Lintas Ambalawi, Nipa, Kec. Ambalawi, Kabupaten Bima",NUSA TENGGARA BARAT,84153.0,Indonesia,,,,-83.106.351,1.187.716.027,https://maps.google.com/?cid=0x0:0x700d9bf06f11d9f,
perumahan,Komplek perumahan,WISMOYO HOME,"JQGW+H8Q, Rite, Kec. Ambalawi, Kabupaten Bima, Nusa Tenggara Bar. 84153","Rite, Kec. Ambalawi, Kabupaten Bima",NUSA TENGGARA BARAT,84153.0,Indonesia,,,,-83.735.523,1.187.958.862,https://maps.google.com/?cid=0x0:0x2c4cea966d061742,
