Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
perumahan,perumahan,Nusa Tenggara Bar. 84211,"Kareke, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar.","Kabupaten Dompu, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,,,,-85.486.112,1.184.717.975,https://maps.google.com/?cid=0x0:0x19504ec7d1952ed4,
perumahan,Komplek perumahan,RUMAH FUAD,"FF6C+R5F, Bada, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84211","Bada, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84211.0,Indonesia,,,,-85.373.449,1.184.699.914,https://maps.google.com/?cid=0x0:0xd38634e7ba32abda,
perumahan,Komplek perumahan,Rumah radi,"Jl. Gajah Mada No.1, Bada, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84211","Bada, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84211.0,Indonesia,,,,-85.397.556,1.184.643.751,https://maps.google.com/?cid=0x0:0x269c21428256b6a5,
perumahan,Pembangunan Perumahan,Rumah Lyla,"FF6C+R5F, Bada, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84211","Bada, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84211.0,Indonesia,,,,-85.375.899,1.184.708.172,https://maps.google.com/?cid=0x0:0xc59c5fec48b9f5b0,
perumahan,Komplek perumahan,Perumahan Pesona Dompu,"Jl. Lintas Mbawi No.88, Kandai Satu, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84219","Kandai Satu, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84219.0,Indonesia,82141365587,,,-8.548.826,1.184.590.869,https://maps.google.com/?cid=0x0:0x8f33c7b836ed2d5e,
perumahan,Pembangunan Perumahan,Doro ngguni,"CFWG+W6W, Jl. Lintas Lakey, Kareke, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84211","Jl. Lintas Lakey, Kareke, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84211.0,Indonesia,,,,-8.552.662,118.476.084,https://maps.google.com/?cid=0x0:0xa0b6060d35c3b82c,
perumahan,Komplek perumahan,RATO OMPU,"FF2F+25J, Jl. Lintas Lakey, Kareke, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar.","Kabupaten Dompu, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,,,,-85.499.108,1.184.728.825,https://maps.google.com/?cid=0x0:0xd5388fa1a806df46,
perumahan,Komplek perumahan,Rumah drh. Vera,"FF69+MQV, Jl. Raya Pelita, Bada, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84211","Jl. Raya Pelita, Bada, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84211.0,Indonesia,,,,-85.386.824,1.184.693.475,https://maps.google.com/?cid=0x0:0x93efd5751e26ccc3,
perumahan,Komplek perumahan,Doro toi,"FF89+R4X, Jl. Soekarno-Hatta, Dorotangga, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84212","Jl. Soekarno-Hatta, Dorotangga, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84212.0,Indonesia,,,,-85.302.013,1.184.673.759,https://maps.google.com/?cid=0x0:0xd1bd1a9be8778e6c,
perumahan,Pembangunan Perumahan,BONEK DOMPU,"FF78+H2R, Dorotangga, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84213","Dorotangga, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84213.0,Indonesia,,,,-85.360.165,1.184.650.126,https://maps.google.com/?cid=0x0:0x71759ea8f22dc085,
perumahan,Pondok,KOS IBU SALMA DOMPU PELITA,"FF69+MQV, Jl. Raya Pelita, Bada, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84211","Jl. Raya Pelita, Bada, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84211.0,Indonesia,85342812318,,,-85.382.666,1.184.694.251,https://maps.google.com/?cid=0x0:0x1ce3ac2837d3ae7,
perumahan,Komplek perumahan,TEMPAT ACARA,"Jl. Kesehatan No.1, Bada, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84211","Bada, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84211.0,Indonesia,,,,-85.406.656,1.184.649.095,https://maps.google.com/?cid=0x0:0x405d49c8ca6e9b44,
perumahan,Pembangunan Perumahan,Andra's House,"FF79+C76, Kampo Tolo, Dorotangga, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84213","Kampo Tolo, Dorotangga, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84213.0,Indonesia,,,,-85.364.729,1.184.681.541,https://maps.google.com/?cid=0x0:0x41152652ec049592,
perumahan,Komplek perumahan,Denny's Farm,"FF6C+RJM, Dorotangga, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84212","Dorotangga, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84212.0,Indonesia,,,,-85.372.981,1.184.722.609,https://maps.google.com/?cid=0x0:0x490e76e9e277da8d,
perumahan,Komplek perumahan,Burhan,"Jl. Lintas Lakey No.117, Potu, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84211","Potu, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84211.0,Indonesia,,,,-85.440.521,1.184.654.937,https://maps.google.com/?cid=0x0:0xb7912b2bf6fdabe0,
perumahan,Pembangunan Perumahan,Dae,"CFWG+GFP, Kareke, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar.","Kabupaten Dompu, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,,,,-85.536.676,1.184.762.007,https://maps.google.com/?cid=0x0:0xd4e0221cc5f0f7e4,
perumahan,Komplek perumahan,YatiHilmiSyakir,"FF7C+936 gang mitra terop doro wila, Jl. Baru Pelita, Bada, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84211","Jl. Baru Pelita, Bada, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84211.0,Indonesia,,,,-85.365.853,1.184.701.526,https://maps.google.com/?cid=0x0:0xf67f31d1223d5b6f,
perumahan,Komplek perumahan,Rumah ka ian,"Jl. Jend. Ahmad Yani No.23, Dorotangga, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84212","Dorotangga, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84212.0,Indonesia,,,,-85.358.612,1.184.666.904,https://maps.google.com/?cid=0x0:0x1f1726e0093bd6a2,
perumahan,Komplek perumahan,Rumah pak kamaludin,"FF44+4M5, Kandai Satu, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84217","Kandai Satu, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84217.0,Indonesia,,,,-85.449.011,1.184.570.588,https://maps.google.com/?cid=0x0:0x18850bb9e64e2c8,
perumahan,Komplek perumahan,Bale egar,"Gang lapangan bola pelita, Bada, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar.","Kabupaten Dompu, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,,,,-85.373.808,1.184.694.566,https://maps.google.com/?cid=0x0:0xdf2da4047eaa8f4f,
perumahan,Kantor Pemerintah,Dinas Perumahan dan Kawasan Permukiman,"Jl. Mahoni No.32, Dorotangga, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84213","Dorotangga, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84213.0,Indonesia,3732723287,,,-8.534.153,1.184.659.463,https://maps.google.com/?cid=0x0:0x2988e56ba77e94d8,
perumahan,Perhimpunan Pengembang Perumahan,Wawan Anggarana,"Jl. Jend. Ahmad Yani No.23, Dorotangga, Kec. Dompu, Kabupaten Dompu, Nusa Tenggara Bar. 84212","Dorotangga, Kec. Dompu, Kabupaten Dompu",NUSA TENGGARA BARAT,84212.0,Indonesia,,,,-85.358.421,1.184.666.499,https://maps.google.com/?cid=0x0:0x914bea97a605fb23,
