Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Kec. Batukliang,"Kabupaten Lombok Tengah, Nusa Tenggara Bar.","Kabupaten Lombok Tengah, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,,,,-8.6156971,116.3136728,https://maps.google.com/?cid=0x0:0xfea45f036987e96,
hotel,hotel,Bujak Permai,"Bujak Permai Kopang, Bujak, Kec. Batukliang, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83553","Bujak, Kec. Batukliang, Kabupaten Lombok Tengah",NUSA TENGGARA BARAT,83553.0,Indonesia, 081805778742,,,-8.6305292,116.3411905,https://maps.google.com/?cid=0x0:0xda2dfd9cc38b212d,
hotel,hotel,Villa Kangkung Bujak Permai,"Bujak, Kec. Batukliang, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83553","Kec. Batukliang, Kabupaten Lombok Tengah",NUSA TENGGARA BARAT,83553.0,Indonesia, 0818543296,,,-8.6308614,116.3414916,https://maps.google.com/?cid=0x0:0x1d1694c21a54479d,
hotel,hotel,OYO Life 92846 Kost Putra Griya Eka,"Jalan Lingk. Irigasi No.16, Kekalik Jaya, Kopang, Lombok, West Nusa Tenggara 83215","Kekalik Jaya, Kopang, Lombok",NUSA TENGGARA BARAT,83215.0,Indonesia, 0817788016,,,-8.650979,116.324943,https://maps.google.com/?cid=0x0:0xc0a195cd6207adf3,
hotel,hotel,Novia Guest House Lombok-Tetebatu,"Jl. H. Moh. Amin, Kembang Kuning, Kec, Kec. Sikur, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83662","Kembang Kuning, Kec, Kec. Sikur, Kabupaten Lombok Timur",NUSA TENGGARA BARAT,83662.0,Indonesia, 082341723573,,,-8.5569757,116.4267086,https://maps.google.com/?cid=0x0:0xac7946745bc6c180,
hotel,hotel,OYO Life 93255 Kosan Teratai Jaya,"01, Jl. Raya Tj Sokong, Kec. Tj, Kabupate, Janapria, West Nusa Tenggara 83351","Jl. Raya Tj Sokong, Kec. Tj, Kabupate, Janapria",NUSA TENGGARA BARAT,83351.0,Indonesia, 0817788016,,,-8.650979,116.324943,https://maps.google.com/?cid=0x0:0xbcd74831d44f0a7,
hotel,hotel,OYO Life 92829 Kos Insan Madani,"01, Tanak Awu, Lombok Tengah, Nusa, Lombok, West Nusa Tenggara 83572","Tanak Awu, Lombok Tengah, Nusa, Lombok",NUSA TENGGARA BARAT,83572.0,Indonesia, 0817788016,,,-8.650979,116.324943,https://maps.google.com/?cid=0x0:0x9aef7ba6c9a1b9f2,
hotel,hotel,The Alam Tetebatu Bungalow  Restaurant,"Oronggrisak, Tetebatu, Kec. Sikur, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83662","Tetebatu, Kec. Sikur, Kabupaten Lombok Timur",NUSA TENGGARA BARAT,83662.0,Indonesia, 087864443468,,,-8.5380586,116.4199378,https://maps.google.com/?cid=0x0:0xa9b2e38d6462ed8c,
hotel,hotel,Bale Bangket Bungalow,"99C3+55Q, Jl. Purbaya, sempur, Kec. Kopang, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83553","Jl. Purbaya, sempur, Kec. Kopang, Kabupaten Lombok Tengah",NUSA TENGGARA BARAT,83553.0,Indonesia, 087765222212,,,-8.6295278,116.3529762,https://maps.google.com/?cid=0x0:0x8262403d9f0ff5d2,
hotel,hotel,HOTEL PENGINAPAN ARTHA PRAYA LOMBOK TENGAH,"Jl. Pahlawan Depan Makam Pahlawan No.Kelurahan, Praya, Kec. Praya, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83514","Praya, Kec. Praya, Kabupaten Lombok Tengah",NUSA TENGGARA BARAT,83514.0,Indonesia, 0818542624,,,-8.69851,116.2761386,https://maps.google.com/?cid=0x0:0xa3703b4f47470b50,
