Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
hotel;hotel;Ombe villa;Omba, Mamben Daya, Kec. Wanasaba, Mataram, Nusa Tenggara Bar. 83635;Mamben Daya, Kec. Wanasaba, Mataram;NUSA TENGGARA BARAT;83635;Indonesia;87865092323;;;-85.717.731;1.165.571.756;https://maps.google.com/?cid=0x0:0x303509f0004da613;
hotel;hotel;Aikmel Bar.;Kec. Aikmel, Kabupaten Lombok Timur, Nusa Tenggara Bar.;Kabupaten Lombok Timur, Nusa Tenggara Bar.;NUSA TENGGARA BARAT;;Indonesia;;;;-85.728.618;1.165.182.208;https://maps.google.com/?cid=0x0:0x204a7368e328e6fe;
hotel;hotel;D' Carasti Bungalow;Jl. Raya Penakak Masbagik Timur, Masbagik Tim., Kec. Masbagik, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83661;Masbagik Tim., Kec. Masbagik, Kabupaten Lombok Timur;NUSA TENGGARA BARAT;83661;Indonesia;81266613335;;;-86.187.221;1.164.898.505;https://maps.google.com/?cid=0x0:0x34257927aa482c3d;
hotel;hotel;D' La Calma Guest House;Gubuk Luah, Masbagik Tim., Kec. Masbagik, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83661;Masbagik Tim., Kec. Masbagik, Kabupaten Lombok Timur;NUSA TENGGARA BARAT;83661;Indonesia;87823409233;;;-86.184.901;1.164.905.088;https://maps.google.com/?cid=0x0:0x41aedf880c21087b;
hotel;hotel;Novia Guest House Lombok-Tetebatu;Jl. H. Moh. Amin, Kembang Kuning, Kec, Kec. Sikur, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83662;Kembang Kuning, Kec, Kec. Sikur, Kabupaten Lombok Timur;NUSA TENGGARA BARAT;83662;Indonesia;82341723573;;;-85.569.757;1.164.267.086;https://maps.google.com/?cid=0x0:0xac7946745bc6c180;
hotel;hotel;Syariah Lombok Hotel;Jl. P.Diponegoro No.9, Pancor, Kec. Selong, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83611;Pancor, Kec. Selong, Kabupaten Lombok Timur;NUSA TENGGARA BARAT;83611;Indonesia;87857775000;;;-86.479.266;1.165.184.123;https://maps.google.com/?cid=0x0:0x5c9c85f2399116de;
hotel;hotel;The Alam Tetebatu Bungalow  Restaurant;Oronggrisak, Tetebatu, Kec. Sikur, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83662;Tetebatu, Kec. Sikur, Kabupaten Lombok Timur;NUSA TENGGARA BARAT;83662;Indonesia;87864443468;;;-85.380.586;1.164.199.378;https://maps.google.com/?cid=0x0:0xa9b2e38d6462ed8c;
hotel;hotel;Syariah Lombok Hotel;Jl. P.Diponegoro No.9, Pancor, Kec. Selong, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83611;Pancor, Kec. Selong, Kabupaten Lombok Timur;NUSA TENGGARA BARAT;83611;Indonesia;87857775000;;;-86.478.702;1.165.186.043;https://maps.google.com/?cid=0x0:0x44faa18bf09018a4;
hotel;hotel;Aislah Edotel;Jln Soekarno Hatta, Palung, Suangi, Timur, Sakra, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83671;Palung, Suangi, Timur, Sakra, Kabupaten Lombok Timur;NUSA TENGGARA BARAT;83671;Indonesia;81918306462;;;-86.925.086;1.164.561.359;https://maps.google.com/?cid=0x0:0x20b1c6623098f3f8;
hotel;hotel;Aryasuta Bungalow;Unnamed Road, Kembang Kuning, Kec. Sikur, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83662;Kembang Kuning, Kec. Sikur, Kabupaten Lombok Timur;NUSA TENGGARA BARAT;83662;Indonesia;87864828383;;;-85.457.159;1.164.288.175;https://maps.google.com/?cid=0x0:0xa556b4eab78f0f87;
hotel;hotel;D'Liwatan Bungalow;Jl. Veteran, Pringgasela, Kec. Pringgasela, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83661;Pringgasela, Kec. Pringgasela, Kabupaten Lombok Timur;NUSA TENGGARA BARAT;83661;Indonesia;87750009111;;;-85.840.912;1.164.853.898;https://maps.google.com/?cid=0x0:0x9f12bb99927c1027;
hotel;hotel;Akila Hotel Lombok;Jl. Nakula No.8, Cilinaya, Kec. Cakranegara, Kota Mataram, Nusa Tenggara Bar. 83239;Cilinaya, Kec. Cakranegara, Kota Mataram;NUSA TENGGARA BARAT;83239;Indonesia;3707509717;;;-85.903.783;1.161.222.523;https://maps.google.com/?cid=0x0:0xfdcb8231fb09f603;
hotel;hotel;Ellen Hotel;Pertokoan Senggigi Square, Jl. Senggigi Square No.10 Blok B, Senggigi, Kec. Batu Layar, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83355;Jl. Senggigi Square No.10 Blok B, Senggigi, Kec. Batu Layar, Kabupaten Lombok Barat;NUSA TENGGARA BARAT;83355;Indonesia;370693077;;;-84.977.906;1.160.494.852;https://maps.google.com/?cid=0x0:0x85e58aa7e6cc221f;
hotel;hotel;Elim Hotel;Jl. Taman Wisata Suranadi Jl. Golf No.10, Suranadi, Kec. Narmada, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83371;Suranadi, Kec. Narmada, Kabupaten Lombok Barat;NUSA TENGGARA BARAT;83371;Indonesia;817385758;;;-85.744.317;116.233.604;https://maps.google.com/?cid=0x0:0xe57374fe16f1f42d;
hotel;hotel;OYO 1835 Surya Mandalika Hotel;Tetebatu, Kec. Sikur, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83663;Kec. Sikur, Kabupaten Lombok Timur;NUSA TENGGARA BARAT;83663;Indonesia;2129707601;;;-85.550.774;1.164.196.612;https://maps.google.com/?cid=0x0:0xe0f7ddcdc5f5f5e;
hotel;hotel;Telone Bungalows had been OYO;5GCF+V76, Sekaroh, Jerowaru, Kabupaten Lombok Timur, Nusa Tenggara Bar.;Kabupaten Lombok Timur, Nusa Tenggara Bar.;NUSA TENGGARA BARAT;;Indonesia;;;;-88.280.974;1.165.232.469;https://maps.google.com/?cid=0x0:0x31218c6a68515bd0;
hotel;hotel;Green House Lombok;Jl. Rinjani Gajah Mada 7B, Karang Majelo, Masbagik, Lombok Timur, Masbagik Utara Baru, Tetebatu, Masbagik Utara Baru, Kec. Masbagik, East Lombok, Nusa Tenggara Bar. 83661;Karang Majelo, Masbagik, Lombok Timur, Masbagik Utara Baru, Tetebatu, Masbagik Utara Baru, Kec. Masbagik, East Lombok;NUSA TENGGARA BARAT;83661;Indonesia;81805773686;;;-8.619.444;1.164.754.402;https://maps.google.com/?cid=0x0:0xffb14c1b93aa5de5;
hotel;hotel;maylani bungalow;Tetebatu, selong, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83662;selong, Kabupaten Lombok Timur;NUSA TENGGARA BARAT;83662;Indonesia;87853929214;;;-85.596.145;1.164.197.727;https://maps.google.com/?cid=0x0:0x7b3c87572ec10907;
hotel;hotel;Aik Leong;FF93+GW7, Desa Timbanuh, Pengadangan, Kec. Pringgasela, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83661;Desa Timbanuh, Pengadangan, Kec. Pringgasela, Kabupaten Lombok Timur;NUSA TENGGARA BARAT;83661;Indonesia;85237988344;;;-85.312.132;1.164.547.962;https://maps.google.com/?cid=0x0:0xc5d954af4e637ff6;
