Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
building materials,Toko Bahan Bangunan,"UD Sederhana (Toko Bangunan Bayan, Baja Ringan, Alat  Mesin)","PCPG+QC8, Karang Bajo, Kec. Bayan, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83354","Karang Bajo, Kec. Bayan, Kabupaten Lombok Utara",NUSA TENGGARA BARAT,83354.0,Indonesia, 085253770532,,,-8.2630846,116.4260278,https://maps.google.com/?cid=0x0:0x6b482226a9019bc3,
building materials,Toko Bahan Bangunan,UD Rizki Bangunan,"Q9M7+5PJ, Jalan Raya, Akar Akar, Bayan, North Lombok Regency, West Nusa Tenggara 83354","Jalan Raya, Akar Akar, Bayan, North Lombok Regency",NUSA TENGGARA BARAT,83354.0,Indonesia, 085935328050,,,-8.2170391,116.3642711,https://maps.google.com/?cid=0x0:0xdb48af30073e0b82,
building materials,Toko Bahan Bangunan,TB.UN NUFUS,"Mumbul Sari, Kec. Bayan, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83353","Kec. Bayan, Kabupaten Lombok Utara",NUSA TENGGARA BARAT,83353.0,Indonesia,,,,-8.2258526,116.3251524,https://maps.google.com/?cid=0x0:0xecfa7303d6b22231,
building materials,Toko Bahan Bangunan,TB.UN NUFUS,"Mumbul Sari, Kec. Bayan, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83353","Kec. Bayan, Kabupaten Lombok Utara",NUSA TENGGARA BARAT,83353.0,Indonesia,,,,-8.2258526,116.3251524,https://maps.google.com/?cid=0x0:0xecfa7303d6b22231,
building materials,Toko Bahan Bangunan,"UD Sederhana (Toko Bangunan Bayan, Baja Ringan, Alat  Mesin)","PCPG+QC8, Karang Bajo, Kec. Bayan, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83354","Karang Bajo, Kec. Bayan, Kabupaten Lombok Utara",NUSA TENGGARA BARAT,83354.0,Indonesia, 085253770532,,,-8.2630846,116.4260278,https://maps.google.com/?cid=0x0:0x6b482226a9019bc3,
building materials,Toko Bahan Bangunan,UD Rizki Bangunan,"Q9M7+5PJ, Jalan Raya, Akar Akar, Bayan, North Lombok Regency, West Nusa Tenggara 83354","Jalan Raya, Akar Akar, Bayan, North Lombok Regency",NUSA TENGGARA BARAT,83354.0,Indonesia, 085935328050,,,-8.2170391,116.3642711,https://maps.google.com/?cid=0x0:0xdb48af30073e0b82,
building materials,Perusahaan Pertambangan,PT. Bayan Resources Tbk,"Office 8 Building, Jl. Senopati No.8B 29th Floor, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190","Jl. Senopati No.8B 29th Floor, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan",NUSA TENGGARA BARAT,12190.0,Indonesia, 02129356888,,,-6.2295204,106.8056904,https://maps.google.com/?cid=0x0:0x9bef64b16475843e,
building materials,,PT Vale Indonesia TBK,"Sequis Center, Senayan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia 20th Floor, Unit 6  7, Jl. Jenderal Sudirman No.Kav. 71, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190","Senayan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia 20th Floor, Unit 6  7, Jl. Jenderal Sudirman No.Kav. 71, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan",NUSA TENGGARA BARAT,12190.0,Indonesia, 0215249000,,,-6.2256755,106.8072509,https://maps.google.com/?cid=0x0:0x8881e767e7f55aa4,
building materials,Agen Persewaan Ruang Kantor,Office 8 @ Senopati,"Jl. Senopati No.8B, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190","Senayan, Kec. Kby. Baru, Kota Jakarta Selatan",NUSA TENGGARA BARAT,12190.0,Indonesia,,,,-6.2297348,106.8054738,https://maps.google.com/?cid=0x0:0xcbae36e958f80d6a,
building materials,Toko Bahan Bangunan,"UD Sederhana (Toko Bangunan Bayan, Baja Ringan, Alat  Mesin)","PCPG+QC8, Karang Bajo, Kec. Bayan, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83354","Karang Bajo, Kec. Bayan, Kabupaten Lombok Utara",NUSA TENGGARA BARAT,83354.0,Indonesia, 085253770532,,,-8.2630846,116.4260278,https://maps.google.com/?cid=0x0:0x6b482226a9019bc3,
