Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,Pusat Perbelanjaan,Bu Evi Mart,"Jl. Pariwisata, Bayan, Kec. Bayan, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83354","Bayan, Kec. Bayan, Kabupaten Lombok Utara",NUSA TENGGARA BARAT,83354.0,Indonesia, 087864144635,,,-8.2909955,116.41154,https://maps.google.com/?cid=0x0:0x73805830ffb58ccc,
mall,mall,Bayan,"Obel Obel, Sambelia, Kabupaten Lombok Timur, Nusa Tenggara Bar.","Kabupaten Lombok Timur, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,,,,-8.263952,116.497299,https://maps.google.com/?cid=0x0:0xbc5dd41f89000b0,
mall,Toko Swalayan,Bambu Mart,"JGMP+6VH, Sembalun Lawang, Kec. Sembalun, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83656","Sembalun Lawang, Kec. Sembalun, Kabupaten Lombok Timur",NUSA TENGGARA BARAT,83656.0,Indonesia, 082340235481,,,-8.3669269,116.5372224,https://maps.google.com/?cid=0x0:0x5fe40f85377b4bed,
mall,Pusat Perbelanjaan,Loloan,"PC2P+WRP, Loloan, Kec. Bayan, Kabupaten Lombok Utara, Nusa Tenggara Bar. 83354","Loloan, Kec. Bayan, Kabupaten Lombok Utara",NUSA TENGGARA BARAT,83354.0,Indonesia,,,,-8.297662,116.4370933,https://maps.google.com/?cid=0x0:0xf3181aa0ad1097e5,
mall,mall,Jawa Tengah 54222,"Kec. Bayan, Kabupaten Purworejo, Jawa Tengah","Kabupaten Purworejo, Jawa Tengah",NUSA TENGGARA BARAT,,Indonesia,,,,-7.7184513,109.9273566,https://maps.google.com/?cid=0x0:0x34bfa81995b63cec,
mall,Toko Pakaian Luar,PERMATA MART,"Jl. Besole No.42, RT.01/RW.02, Dusun II, Besole, Kec. Bayan, Kabupaten Purworejo, Jawa Tengah 54223","RT.01/RW.02, Dusun II, Besole, Kec. Bayan, Kabupaten Purworejo",NUSA TENGGARA BARAT,54223.0,Indonesia, 081328737270,,,-7.7226911,109.9299338,https://maps.google.com/?cid=0x0:0xa9ce164a9c8ff7c0,
mall,Toko Swalayan,LARIS Toserba  Swalayan Kutoarjo,"Jl. Gajah Mada, Krajan, Bandung Kidul, Kec. Bayan, Kabupaten Purworejo, Jawa Tengah 54224","Krajan, Bandung Kidul, Kec. Bayan, Kabupaten Purworejo",NUSA TENGGARA BARAT,54224.0,Indonesia,,,,-7.7193571,109.9221286,https://maps.google.com/?cid=0x0:0xf4fe5bd6abd27802,
mall,Toko,Nadhifa Herbal Pusat,"7WMF+6CH, Subur, Bandung Kidul, Kec. Bayan, Kabupaten Purworejo, Jawa Tengah 54224","Subur, Bandung Kidul, Kec. Bayan, Kabupaten Purworejo",NUSA TENGGARA BARAT,54224.0,Indonesia, 081228447736,,,-7.7169372,109.9235981,https://maps.google.com/?cid=0x0:0xc55364e113cb423a,
mall,Toko Aksesori Pakaian,Din's Accesories,"7WJJ+3RF, Dusun I, Besole, Kec. Bayan, Kabupaten Purworejo, Jawa Tengah 54223","Dusun I, Besole, Kec. Bayan, Kabupaten Purworejo",NUSA TENGGARA BARAT,54223.0,Indonesia, 082220547171,,,-7.7198026,109.9320364,https://maps.google.com/?cid=0x0:0x56a32f3e779d029e,
mall,Pusat Perbelanjaan,Faheeda Store,"Rt.02 / Rw.02 Bayan, Bayan, Dusun I, Bayan, Kec. Bayan, Kabupaten Purworejo, Jawa Tengah 54224","Bayan, Dusun I, Bayan, Kec. Bayan, Kabupaten Purworejo",NUSA TENGGARA BARAT,54224.0,Indonesia, 085799007091,,,-7.71905,109.9367205,https://maps.google.com/?cid=0x0:0xbdd5e2548ae8b1da,
