Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
building materials;building materials;Gorontalo 96214;"Kabupaten Gorontalo, Gorontalo";"Kabupaten Gorontalo, Gorontalo";GORONTALO;;Indonesia;;;;0.779426;1.225.598.994;https://maps.google.com/?cid=0x0:0x3c5feea9df1208a4;
building materials;Toko Bahan Bangunan;UD. Asyifa Bangunan;"JXQR+8GV, Jalan Kolonel Rauf Mo'o, Dutulanaa, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96214";"Jalan Kolonel Rauf Mo'o, Dutulanaa, Kec. Limboto, Kabupaten Gorontalo";GORONTALO;96214;Indonesia;085394273465;;;0.6383511;122.991.311;https://maps.google.com/?cid=0x0:0x1523021682a55823;
building materials;Kantor Perusahaan;GIAS Gorontalo (GNET) | Distributor Bahan Bangunan;"Jl. Adam Hoesa, Pentadio Bar., Kec. Telaga Biru, Kabupaten Gorontalo, Gorontalo 96183";"Pentadio Bar., Kec. Telaga Biru, Kabupaten Gorontalo";GORONTALO;96183;Indonesia;081241222881;;;0.6268397;1.230.102.406;https://maps.google.com/?cid=0x0:0xfd7868e719b7c2f;
building materials;Toko Bahan Bangunan;Toko Prasetya;"JXQV+69C, Dutulanaa, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96214";"Dutulanaa, Kec. Limboto, Kabupaten Gorontalo";GORONTALO;96214;Indonesia;082346755556;;;0.6380501;1.229.933.951;https://maps.google.com/?cid=0x0:0xff1e85db1760839f;
building materials;Toko Bahan Bangunan;TOKO BANGUNAN SETIA MANDIRI;"JWQ9+C94, Jl. Trans-Sulawesi, Yosonegoro, Kec. Limboto Bar., Kabupaten Gorontalo, Gorontalo 96218";"Jl. Trans-Sulawesi, Yosonegoro, Kec. Limboto Bar., Kabupaten Gorontalo";GORONTALO;96218;Indonesia;;;;0.6385094;1.229.184.596;https://maps.google.com/?cid=0x0:0x749368d304051a8b;
building materials;building materials;King depo;"Unnamed Road, Sukamakmur, Kec. Tolangohula, Kabupaten Gorontalo, Gorontalo 96264";"Sukamakmur, Kec. Tolangohula, Kabupaten Gorontalo";GORONTALO;96264;Indonesia;;;;0.7001209;1.225.611.492;https://maps.google.com/?cid=0x0:0xb790658136a6bd54;
building materials;Pemasok Bahan Bangunan;Toko Bangunan Barokah;"JXHC+33G, Bolihuangga, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96214";"Bolihuangga, Kec. Limboto, Kabupaten Gorontalo";GORONTALO;96214;Indonesia;;;;0.6276891;1.229.702.014;https://maps.google.com/?cid=0x0:0x3563ae7225023892;
building materials;Toko Perlengkapan Rumah;Toko Bangunan Rizky Abadi;"Jln.pg. unit, Gandasari, Kec. Tolangohula, Kabupaten Gorontalo, Gorontalo 96222";"Gandasari, Kec. Tolangohula, Kabupaten Gorontalo";GORONTALO;96222;Indonesia;085212121212;;;0.6945203;1.225.792.775;https://maps.google.com/?cid=0x0:0xa84ac1b3b1cf1f76;
building materials;Pemasok Bahan Bangunan;Toko Bahan Bangunan Sari Agung;"Bulila, Kec. Telaga, Kabupaten Gorontalo, Gorontalo 96138";"Kec. Telaga, Kabupaten Gorontalo";GORONTALO;96138;Indonesia;082196031500;;;0.5765609;1.230.449.069;https://maps.google.com/?cid=0x0:0x1ec016b864d215a6;
building materials;Kantor Perusahaan;Nurhayati Roster;"MHX7+VJW, Jl. Margomulyo, Sukamakmur, Kec. Tolangohula, Kabupaten Gorontalo, Gorontalo 96264";"Jl. Margomulyo, Sukamakmur, Kec. Tolangohula, Kabupaten Gorontalo";GORONTALO;96264;Indonesia;085240908117;;;0.6997337;1.225.640.905;https://maps.google.com/?cid=0x0:0xf614b32abf01deef;
