Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Gorontalo 96525,"Kec. Anggrek, Kabupaten Gorontalo Utara, Gorontalo","Kabupaten Gorontalo Utara, Gorontalo",GORONTALO,,Indonesia,,,,0.8425794,122.695547,https://maps.google.com/?cid=0x0:0xc910c3a3b1bab734,
mall,Otoritas Pelabuhan,KPBU Pelabuhan Anggrek,"Pelabuhan, Ilangata, Kec. Anggrek, Kabupaten Gorontalo Utara, Gorontalo 96525","Ilangata, Kec. Anggrek, Kabupaten Gorontalo Utara",GORONTALO,96525.0,Indonesia,81341812348.0,,,0.8586546,122.7942525,https://maps.google.com/?cid=0x0:0x47d029b6ad02975a,
mall,Pasar,Pasar TOLANGO,"VQ44+6MG, Tolango, Kec. Anggrek, Kabupaten Gorontalo Utara, Gorontalo 96525","Tolango, Kec. Anggrek, Kabupaten Gorontalo Utara",GORONTALO,96525.0,Indonesia,,,,0.8555658,122.7567019,https://maps.google.com/?cid=0x0:0x84b4e390ee8dc5da,
mall,Pusat Perbelanjaan,Nelfi,"QRP6+C95, Helumo, Kec. Anggrek, Kabupaten Gorontalo Utara, Gorontalo 96525","Helumo, Kec. Anggrek, Kabupaten Gorontalo Utara",GORONTALO,96525.0,Indonesia,82349170339.0,,,0.78601,122.8109807,https://maps.google.com/?cid=0x0:0x3e40326384a49139,
mall,Minimarket,alfamart monano,"Tudi, Kec. Anggrek, Kabupaten Gorontalo Utara, Gorontalo 96525","Kec. Anggrek, Kabupaten Gorontalo Utara",GORONTALO,96525.0,Indonesia,,,,0.8686715,122.6964846,https://maps.google.com/?cid=0x0:0x2a1dbca8e79026f2,
mall,Kios,Kios Ajen,"WJRQ+6V4, Dunu, Kec. Anggrek, Kabupaten Gorontalo Utara, Gorontalo 96525","Dunu, Kec. Anggrek, Kabupaten Gorontalo Utara",GORONTALO,96525.0,Indonesia,,,,0.9405196,122.6397059,https://maps.google.com/?cid=0x0:0x3c714bdf7a9edaf3,
mall,Toko,SEKON Sport,"RR7J+C93, Tolongio, Kec. Anggrek, Kabupaten Gorontalo Utara, Gorontalo 96252","Tolongio, Kec. Anggrek, Kabupaten Gorontalo Utara",GORONTALO,96252.0,Indonesia,81354898789.0,,,0.8129576,122.8310637,https://maps.google.com/?cid=0x0:0xd28b0458c0ff2ccb,
mall,Toko,TOKO IQBAL,"VQ33+6VH, Tolango, Kec. Anggrek, Kabupaten Gorontalo Utara, Gorontalo","Kabupaten Gorontalo Utara, Gorontalo",GORONTALO,,Indonesia,,,,0.8530669,122.7547249,https://maps.google.com/?cid=0x0:0x9af59761f45cac22,
mall,Bar,STAP RICA REAL,"QV85+FQ9 Atas, Pontolo, Kec. Kwandang, Kabupaten Gorontalo Utara, Gorontalo 96252","Pontolo, Kec. Kwandang, Kabupaten Gorontalo Utara",GORONTALO,96252.0,Indonesia,,,,0.7661742,122.8594962,https://maps.google.com/?cid=0x0:0x1b10312fa8a5d85f,
mall,Toko Pakaian,SALSA NATSYA SHOP,"Jl. Trans Labanu, Motilango, Kec. Anggrek, Kabupaten Gorontalo Utara, Gorontalo 96252","Motilango, Kec. Anggrek, Kabupaten Gorontalo Utara",GORONTALO,96252.0,Indonesia,,,,0.7838489,122.8219131,https://maps.google.com/?cid=0x0:0xcf90ea8a1cac8fb,
mall,Toko Pakaian,AFM Store,"QVVG+V3R, Mootinelo, Kec. Kwandang, Kabupaten Gorontalo Utara, Gorontalo 96252","Mootinelo, Kec. Kwandang, Kabupaten Gorontalo Utara",GORONTALO,96252.0,Indonesia,82336498306.0,,,0.7947495,122.8751395,https://maps.google.com/?cid=0x0:0xb03fd80e4db8477d,
mall,Pusat Perbelanjaan,Fitriyanti agulu OL shop,"QJPQ+PJ7, Dusun pilomalula, Payu, Kec. Mootilango, Kabupaten Gorontalo, Gorontalo 96264","Dusun pilomalula, Payu, Kec. Mootilango, Kabupaten Gorontalo",GORONTALO,96264.0,Indonesia,,,,0.786778,122.6390489,https://maps.google.com/?cid=0x0:0xcb1ac3d4d29b9bc8,
mall,Pusat Perbelanjaan,Kecamatan Mootilango Kab. Gorontalo,"PJGV+C4, Helumo, Kec. Mootilango, Kabupaten Gorontalo, Gorontalo","Kabupaten Gorontalo, Gorontalo",GORONTALO,,Indonesia,,,,0.7261093,122.6428145,https://maps.google.com/?cid=0x0:0x3192bcca6a9359e0,
mall,Penyedia Layanan Telekomunikasi,simPATI Cell. Desa Pontolo Kwandang Kab Gorontalo Utara,"QVJ7+JCC, Pontolo, Kec. Kwandang, Kabupaten Gorontalo Utara, Gorontalo 96252","Pontolo, Kec. Kwandang, Kabupaten Gorontalo Utara",GORONTALO,96252.0,Indonesia,813402500.0,,,0.7815741,122.8635061,https://maps.google.com/?cid=0x0:0x97e30d0ea8fd15c,
mall,mall,Aydra,"QRP6+67W, Helumo, Kec. Anggrek, Kabupaten Gorontalo Utara, Gorontalo 96525","Helumo, Kec. Anggrek, Kabupaten Gorontalo Utara",GORONTALO,96525.0,Indonesia,,,,0.7856072,122.810838,https://maps.google.com/?cid=0x0:0x2f378c2979cb7311,
mall,Otoritas Pelabuhan,AGIT ( ANGGREK INTERNASIONAL TERMINAL ),"VQ5V+VCV, Ilangata, Kec. Anggrek, Kabupaten Gorontalo Utara, Gorontalo 96525","Ilangata, Kec. Anggrek, Kabupaten Gorontalo Utara",GORONTALO,96525.0,Indonesia,,,,0.8597375,122.7935469,https://maps.google.com/?cid=0x0:0xac8277772edcf901,
mall,mall,Toko Meykelling,"RR79+2JX, Tolongio, Kec. Anggrek, Kabupaten Gorontalo Utara, Gorontalo 96525","Tolongio, Kec. Anggrek, Kabupaten Gorontalo Utara",GORONTALO,96525.0,Indonesia,,,,0.8126097,122.8190991,https://maps.google.com/?cid=0x0:0xfa96f341811df8e,
mall,Pusat Perbelanjaan,Mall Taman Anggrek,"Jl. Letjen S. Parman, RT.12/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","RT.12/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat",GORONTALO,11470.0,Indonesia,215643777.0,,,-6.1782936,106.7924023,https://maps.google.com/?cid=0x0:0xb287bf108f4ef441,
mall,Perhentian bus,Taman Anggrek Mall,"Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta","Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",GORONTALO,,Indonesia,,,,-6.17787,106.79453,https://maps.google.com/?cid=0x0:0xa33e94e347c2894d,
mall,mall,Gorontalo 96253,"Kabupaten Gorontalo Utara, Gorontalo","Kabupaten Gorontalo Utara, Gorontalo",GORONTALO,,Indonesia,,,,0.8707926,123.1014056,https://maps.google.com/?cid=0x0:0xfa82e81a2bd61d81,
mall,Pusat Perbelanjaan,Citimall Gorontalo,"Jl. Sultan Botutihe No.68, Heledulaa Sel., Kec. Kota Tim., Kota Gorontalo, Gorontalo 96134","Heledulaa Sel., Kec. Kota Tim., Kota Gorontalo",GORONTALO,96134.0,Indonesia,,,,0.5377284,123.0620043,https://maps.google.com/?cid=0x0:0x79e25905adc0f87,
