Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
building materials,building materials,Gorontalo 96266,"Kabupaten Pohuwato, Gorontalo","Kabupaten Pohuwato, Gorontalo",GORONTALO,,Indonesia,,,,0.6235288,1.218.790.306,https://maps.google.com/?cid=0x0:0x6e323a18714b4718,
building materials,Toko Bahan Bangunan,TOKO CAHAYA BANGUNAN,"FWGJ+WW4, Sipatana, Kec. Buntulia, Kabupaten Pohuwato, Gorontalo 96466","Sipatana, Kec. Buntulia, Kabupaten Pohuwato",GORONTALO,96466.0,Indonesia,85185536567.0,,,0.4772533,1.219.323.384,https://maps.google.com/?cid=0x0:0x36941efbe6f07e4a,
building materials,Pemasok Bahan Bangunan,Toko Maju Bangunan keramik,"FWFJ+WRX, Jl. Trans-Sulawesi, Buntulia Jaya, Kec. Duhiadaa, Kabupaten Pohuwato, Gorontalo 96466","Jl. Trans-Sulawesi, Buntulia Jaya, Kec. Duhiadaa, Kabupaten Pohuwato",GORONTALO,96466.0,Indonesia,,,,0.4748649,1.219.321.084,https://maps.google.com/?cid=0x0:0x7ad93aa3e08e18d7,
building materials,Toko Bahan Bangunan,UD.BAROKAH,"JVQ7+828, Tirto Asri, Kec. Taluditi, Kabupaten Pohuwato, Gorontalo","Kabupaten Pohuwato, Gorontalo",GORONTALO,,Indonesia,85298075542.0,,,0.6382335,1.218.639.125,https://maps.google.com/?cid=0x0:0x5458b28b9450e361,
building materials,Toko Bahan Bangunan,Mentari Jaya Bangunan Marisa,"FWJP+C4W, Sipatana, Kec. Buntulia, Kabupaten Pohuwato, Gorontalo 96466","Sipatana, Kec. Buntulia, Kabupaten Pohuwato",GORONTALO,96466.0,Indonesia,81234324364.0,,,0.4813082,1.219.353.609,https://maps.google.com/?cid=0x0:0x8ed5b3563f67e921,
building materials,Toko Perlengkapan Rumah,Tk Tosora Indah,"Jl. Trans-Sulawesi No.196, Buntulia Utara, Kec. Buntulia, Kabupaten Pohuwato, Gorontalo 96466","Buntulia Utara, Kec. Buntulia, Kabupaten Pohuwato",GORONTALO,96466.0,Indonesia,,,,0.4981508,1.219.341.003,https://maps.google.com/?cid=0x0:0x8d55dd6d54051320,
building materials,building materials,INDO MAKMUR bangunan,"FWRM+G8G, Jl. Trans-Sulawesi Dusun, Buntulia Tengah, Kec. Duhiadaa, Kabupaten Pohuwato, Gorontalo","Kabupaten Pohuwato, Gorontalo",GORONTALO,,Indonesia,,,,0.4913085,1.219.333.332,https://maps.google.com/?cid=0x0:0x91cb18c9e64c064,
building materials,building materials,Toko Indo Makmur Bangunan,"FWFJ+3JR, Buntulia Sel., Kec. Duhiadaa, Kabupaten Pohuwato, Gorontalo","Kabupaten Pohuwato, Gorontalo",GORONTALO,,Indonesia,,,,0.4727377,1.219.315.092,https://maps.google.com/?cid=0x0:0xf09e90b4f1cca912,
building materials,Toko,PT. Havana Tunas Gemilang,"FW4Q+RVX, Jl. Diponegoro, Marisa Sel., Kec. Marisa, Kabupaten Pohuwato, Gorontalo 96265","Jl. Diponegoro, Marisa Sel., Kec. Marisa, Kabupaten Pohuwato",GORONTALO,96265.0,Indonesia,81248728949.0,,,0.4571104,1.219.397.397,https://maps.google.com/?cid=0x0:0x5dcedf50da2c866,
building materials,Toko Bahan Bangunan,TOKO R2 BANGUNAN,"Jl. Trans-Sulawesi No.196, Buntulia Tengah, Kec. Buntulia, Kabupaten Pohuwato, Gorontalo 96466","Buntulia Tengah, Kec. Buntulia, Kabupaten Pohuwato",GORONTALO,96466.0,Indonesia,,,,0.486066,1.219.350.154,https://maps.google.com/?cid=0x0:0x6429c15481fce075,
building materials,Toko Bahan Bangunan,TOKO RANDY,"JVQ6+R48, Tirto Asri, Kec. Taluditi, Kabupaten Pohuwato, Gorontalo 96266","Tirto Asri, Kec. Taluditi, Kabupaten Pohuwato",GORONTALO,96266.0,Indonesia,87873964625.0,,,0.6395403,1.218.603.388,https://maps.google.com/?cid=0x0:0x142454996efe93fc,
building materials,Toko Bahan Bangunan,Toko Berkat Abadi Bangunan,"Buntulia Tengah, Kec. Marisa, Kabupaten Pohuwato, Gorontalo 96466","Kec. Marisa, Kabupaten Pohuwato",GORONTALO,96466.0,Indonesia,,,,0.4792673,1.219.336.516,https://maps.google.com/?cid=0x0:0x12996b428582795b,
building materials,Toko,MR. DIY,"Jl. Trans-Sulawesi, Buntulia Sel., Kec. Duhiadaa, Kabupaten Pohuwato, Gorontalo 96266","Buntulia Sel., Kec. Duhiadaa, Kabupaten Pohuwato",GORONTALO,96266.0,Indonesia,,,,0.4711451,1.219.311.952,https://maps.google.com/?cid=0x0:0x69a796084d575125,
building materials,Toko Bahan Bangunan,Toko Sumber Bangunan Taluditi .pangkalan LPG .ahmadagusalim,"JRMC+G43, Unnamed Road, Panca Karsa II, Kec. Taluditi, Kabupaten Pohuwato, Gorontalo 96469","Unnamed Road, Panca Karsa II, Kec. Taluditi, Kabupaten Pohuwato",GORONTALO,96469.0,Indonesia,,,,0.6337585,1.218.202.861,https://maps.google.com/?cid=0x0:0xfd3f43d10d637df9,
building materials,Toko,Toko rahmat bangunan marisa,"FWHR+2PG, Jl. Sultan Amai, Botubilotahu Indah, Kec. Marisa, Kabupaten Pohuwato, Gorontalo 96266","Jl. Sultan Amai, Botubilotahu Indah, Kec. Marisa, Kabupaten Pohuwato",GORONTALO,96266.0,Indonesia,85335589920.0,,,0.4775509,1.219.418.261,https://maps.google.com/?cid=0x0:0xa2bb3be578970397,
building materials,Toko Bahan Bangunan,TOKO JAGO BANGUNAN,"Jl. Diponegoro, Pohuwato Tim., Kec. Marisa, Kabupaten Pohuwato, Gorontalo 96265","Pohuwato Tim., Kec. Marisa, Kabupaten Pohuwato",GORONTALO,96265.0,Indonesia,85397810927.0,,,0.4574067,121.936.869,https://maps.google.com/?cid=0x0:0x43dd264c205c1b79,
building materials,Toko Bahan Bangunan,Toko Asy Bangunan,"Sipatana, Kec. Buntulia, Kabupaten Pohuwato, Gorontalo","Kabupaten Pohuwato, Gorontalo",GORONTALO,,Indonesia,,,,0.4816032,1.219.251.878,https://maps.google.com/?cid=0x0:0x5221518e0391d42e,
building materials,Toko Bahan Bangunan,UD. Sinar Palu,"FWGP+GP9, Botubilotahu Indah, Kec. Marisa, Kabupaten Pohuwato, Gorontalo 96265","Botubilotahu Indah, Kec. Marisa, Kabupaten Pohuwato",GORONTALO,96265.0,Indonesia,,,,0.4762925,121.936.847,https://maps.google.com/?cid=0x0:0xe27725c866839d2d,
building materials,building materials,Anugerah Bangunan,"FWJG+5M, Sipatana, Kec. Buntulia, Kabupaten Pohuwato, Gorontalo 96466","Sipatana, Kec. Buntulia, Kabupaten Pohuwato",GORONTALO,96466.0,Indonesia,,,,0.4804776,1.219.267.084,https://maps.google.com/?cid=0x0:0xaa41d1dfbf37147c,
building materials,,UD. PUTRA HUYULA,"Huyula, Kec. Randangan, Kabupaten Pohuwato, Gorontalo 96469","Kec. Randangan, Kabupaten Pohuwato",GORONTALO,96469.0,Indonesia,82226666966.0,,,0.5077318,1.218.117.379,https://maps.google.com/?cid=0x0:0x66f3cfc85c3725a,
building materials,building materials,Gorontalo 96265,"Kabupaten Pohuwato, Gorontalo","Kabupaten Pohuwato, Gorontalo",GORONTALO,,Indonesia,,,,0.6708114,1.220.382.856,https://maps.google.com/?cid=0x0:0xc7ddf273e46e561,
building materials,Toko,PT. Havana Tunas Gemilang,"FW4Q+RVX, Jl. Diponegoro, Marisa Sel., Kec. Marisa, Kabupaten Pohuwato, Gorontalo 96265","Jl. Diponegoro, Marisa Sel., Kec. Marisa, Kabupaten Pohuwato",GORONTALO,96265.0,Indonesia,81248728949.0,,,0.4571104,1.219.397.397,https://maps.google.com/?cid=0x0:0x5dcedf50da2c866,
building materials,Toko Bahan Bangunan,TOKO JAGO BANGUNAN,"Jl. Diponegoro, Pohuwato Tim., Kec. Marisa, Kabupaten Pohuwato, Gorontalo 96265","Pohuwato Tim., Kec. Marisa, Kabupaten Pohuwato",GORONTALO,96265.0,Indonesia,85397810927.0,,,0.4574067,121.936.869,https://maps.google.com/?cid=0x0:0x43dd264c205c1b79,
