Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Gorontalo 96266,"Kabupaten Pohuwato, Gorontalo","Kabupaten Pohuwato, Gorontalo",GORONTALO,,Indonesia,,,,0.6235288,1.218.790.306,https://maps.google.com/?cid=0x0:0x6e323a18714b4718,
mall,Kantor Perusahaan,STARMEDIA FC,"Buntulia Bar., Kec. Duhiadaa, Kabupaten Pohuwato, Gorontalo 96266","Kec. Duhiadaa, Kabupaten Pohuwato",GORONTALO,96266.0,Indonesia,4432215567.0,,,0.4852762,121.920.728,https://maps.google.com/?cid=0x0:0x8cbe4b71f74a607a,
mall,Toko Aksesori Ponsel,ULFA CELL,"FWQG+9X2, Buntulia Tengah, Kec. Buntulia, Kabupaten Pohuwato, Gorontalo 96466","Buntulia Tengah, Kec. Buntulia, Kabupaten Pohuwato",GORONTALO,96466.0,Indonesia,81354505807.0,,,0.4883891,1.219.274.003,https://maps.google.com/?cid=0x0:0x13f67305b007b997,
mall,Toko Pakaian,"Lapak NUN"" Outlet M-150""","FWGJ+8RP, Jl. Trans-Sulawesi, Buntulia Jaya, Kec. Duhiadaa, Kabupaten Pohuwato, Gorontalo 96466","Jl. Trans-Sulawesi, Buntulia Jaya, Kec. Duhiadaa, Kabupaten Pohuwato",GORONTALO,96466.0,Indonesia,85340604002.0,,,0.4758356,121.932.086,https://maps.google.com/?cid=0x0:0x7bddd1c6a8175d6c,
mall,Pusat Perbelanjaan,Citimall Gorontalo,"Jl. Sultan Botutihe No.68, Heledulaa Sel., Kec. Kota Tim., Kota Gorontalo, Gorontalo 96134","Heledulaa Sel., Kec. Kota Tim., Kota Gorontalo",GORONTALO,96134.0,Indonesia,,,,0.5377284,1.230.620.043,https://maps.google.com/?cid=0x0:0x79e25905adc0f87,
mall,Toko Pakaian,Jalan Trans Sulawesi Buntulia Utara Kec Buntulia Kab Pohuwato Prov Gorontalo,"Jl. Trans-Sulawesi No.196, Buntulia Utara, Kec. Buntulia, Kabupaten Pohuwato, Gorontalo 96466","Buntulia Utara, Kec. Buntulia, Kabupaten Pohuwato",GORONTALO,96466.0,Indonesia,82293507036.0,,,0.4925407,1.219.332.578,https://maps.google.com/?cid=0x0:0xa78a73058c1506a1,
mall,Toko Lampu,Paana led,"FWMV+36V, Unnamed Road, Botubilotahu Indah, Kec. Marisa, Kabupaten Pohuwato, Gorontalo 96265","Unnamed Road, Botubilotahu Indah, Kec. Marisa, Kabupaten Pohuwato",GORONTALO,96265.0,Indonesia,82247111727.0,,,0.4827456,1.219.430.357,https://maps.google.com/?cid=0x0:0x164a8d8607382e78,
mall,Hidangan Laut,Mawar Sharon Propertindo,"FW8W+6W6, Palopo, Kec. Marisa, Kabupaten Pohuwato, Gorontalo 96265","Palopo, Kec. Marisa, Kabupaten Pohuwato",GORONTALO,96265.0,Indonesia,,,,0.4655399,1.219.472.769,https://maps.google.com/?cid=0x0:0x4611b55ce6bdb636,
mall,Toko,Put Ollshop,"FW4P+JQ3, Jl. Diponegoro, Pohuwato Tim., Kec. Marisa, Kabupaten Pohuwato, Gorontalo 96265","Jl. Diponegoro, Pohuwato Tim., Kec. Marisa, Kabupaten Pohuwato",GORONTALO,96265.0,Indonesia,82291706214.0,,,0.4565219,1.219.369.256,https://maps.google.com/?cid=0x0:0xed69d9b9ce3992e5,
mall,Toko Kosmetik,PLAZA CENTER,"FW7W+5MJ, Palopo, Kec. Marisa, Kabupaten Pohuwato, Gorontalo","Kabupaten Pohuwato, Gorontalo",GORONTALO,,Indonesia,,,,0.4629701,1.219.466.415,https://maps.google.com/?cid=0x0:0xe31983a61100e7a9,
mall,Pusat Perbelanjaan,NN GROUP,"CWXR+RPJ, Unnamed Road, Pohuwato Tim., Kec. Marisa, Kabupaten Pohuwato, Gorontalo","Kabupaten Pohuwato, Gorontalo",GORONTALO,,Indonesia,82396030190.0,,,0.449599,121.941.774,https://maps.google.com/?cid=0x0:0x5783d68c01528499,
mall,Toko Pakaian,minccos Qz,"Jl. Trans-Sulawesi, Taluduyunu, Kec. Buntulia, Kabupaten Pohuwato, Gorontalo 96266","Taluduyunu, Kec. Buntulia, Kabupaten Pohuwato",GORONTALO,96266.0,Indonesia,,,,0.5012051,1.219.341.925,https://maps.google.com/?cid=0x0:0x11805c85b84371c0,
mall,Pusat Perbelanjaan,Kios Yulin,"FWM7+JM9, Duhiadaa, Kec. Duhiadaa, Kabupaten Pohuwato, Gorontalo 96466","Duhiadaa, Kec. Duhiadaa, Kabupaten Pohuwato",GORONTALO,96466.0,Indonesia,,,,0.4840355,1.219.142.193,https://maps.google.com/?cid=0x0:0x144b9281dff20ccd,
mall,Toko bahan makanan,Sri Wahyuni Bagu,"Unnamed Road, Botubilotahu Indah, Kec. Marisa, Kabupaten Pohuwato, Gorontalo 96265","Botubilotahu Indah, Kec. Marisa, Kabupaten Pohuwato",GORONTALO,96265.0,Indonesia,85145332437.0,,,0.4850717,1.219.434.017,https://maps.google.com/?cid=0x0:0xae62ddb196afd6c9,
mall,Toko umum,Metro Bangunan  Vape stor,"GV37+FR9, Unnamed Road, Dulomo, Kec. Patilanggio, Kabupaten Pohuwato, Gorontalo 96266","Unnamed Road, Dulomo, Kec. Patilanggio, Kabupaten Pohuwato",GORONTALO,96266.0,Indonesia,82189016969.0,,,0.5036567,1.218.646,https://maps.google.com/?cid=0x0:0x1d409e11972eb60f,
mall,Komplek perumahan,LUKMAN PERDANA CELLULER,"GRJX+8X3, Unnamed Road, Suka Makmur, Kec. Patilanggio, Kabupaten Pohuwato, Gorontalo 96266","Unnamed Road, Suka Makmur, Kec. Patilanggio, Kabupaten Pohuwato",GORONTALO,96266.0,Indonesia,81241677556.0,,,0.5307733,1.218.499.278,https://maps.google.com/?cid=0x0:0x9e5de8b382e7314c,
mall,Pusat Perbelanjaan,Toko Tia Randangan,"GRRG+MXF, Ayula, Kec. Randangan, Kabupaten Pohuwato, Gorontalo 96266","Ayula, Kec. Randangan, Kabupaten Pohuwato",GORONTALO,96266.0,Indonesia,,,,0.5416927,1.218.274.089,https://maps.google.com/?cid=0x0:0x59f8906d4dd1ec15,
