Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,Kantor Perusahaan,Maleo Town Square,"Jl. Yos Sudarso No.37, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,81280867009.0,,,-2.6692803,118.8916841,https://maps.google.com/?cid=0x0:0x87dbaf62ffc34e7c,
mall,Toko umum,Toko Indah,"F878+M9X, Bonehau, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat 91562","Bonehau, Kec. Bonehau, Kabupaten Mamuju",SULAWESI BARAT,91562.0,Indonesia,,,,-2.5351638,119.3158743,https://maps.google.com/?cid=0x0:0xf930e047f490c75c,
mall,mall,Kios Bella,"G9FM+2PP, Mappu, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat","Kabupaten Mamuju, Sulawesi Barat",SULAWESI BARAT,,Indonesia,,,,-2.4774161,119.3843399,https://maps.google.com/?cid=0x0:0x383032fdab9f4af1,
mall,mall,Kios Feby,"G9CM+QGR, Lumika, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat","Kabupaten Mamuju, Sulawesi Barat",SULAWESI BARAT,,Indonesia,,,,-2.478004,119.383762,https://maps.google.com/?cid=0x0:0x8c7e58868fe248da,
mall,Toko,Launa Graha Kalukku,"C3X6+7XR, Kalukku, Kec. Kalukku, Kabupaten Mamuju, Sulawesi Barat 91561","Kalukku, Kec. Kalukku, Kabupaten Mamuju",SULAWESI BARAT,91561.0,Indonesia,,,,-2.5517665,119.0623816,https://maps.google.com/?cid=0x0:0x7387dbf8fde5e989,
mall,Pusat Perbelanjaan,Berapusi Mall Mamuju,"92R5+XR7, Bebanga, Kec. Kalukku, Kabupaten Mamuju, Sulawesi Barat 91561","Bebanga, Kec. Kalukku, Kabupaten Mamuju",SULAWESI BARAT,91561.0,Indonesia,426402735.0,,,-2.6075959,119.0095516,https://maps.google.com/?cid=0x0:0x54eda637542161a6,
mall,Kantor Perusahaan,Maleo Town Square,"Jl. Yos Sudarso No.37, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,81280867009.0,,,-2.6692803,118.8916841,https://maps.google.com/?cid=0x0:0x87dbaf62ffc34e7c,
mall,Toko Ponsel,SULIA CELL,"C27M+W24, Sinyonyoi, Kec. Kalukku, Kabupaten Mamuju, Sulawesi Barat 91561","Sinyonyoi, Kec. Kalukku, Kabupaten Mamuju",SULAWESI BARAT,91561.0,Indonesia,82195551987.0,,,-2.5852336,119.0325662,https://maps.google.com/?cid=0x0:0x3c68ee8d3e03c857,
mall,Toko,Toko Babalalang,"F335+383, Kalukku Bar., Kec. Kalukku, Kabupaten Mamuju, Sulawesi Barat 91561","Kalukku Bar., Kec. Kalukku, Kabupaten Mamuju",SULAWESI BARAT,91561.0,Indonesia,81247500355.0,,,-2.547359,119.058289,https://maps.google.com/?cid=0x0:0x9b68d1c9437fdc76,
mall,Pusat Perbelanjaan,Pabrik Tahu Kaluku,"F374+89Q, Kalukku Bar., Kec. Kalukku, Kabupaten Mamuju, Sulawesi Barat 91561","Kalukku Bar., Kec. Kalukku, Kabupaten Mamuju",SULAWESI BARAT,91561.0,Indonesia,85394554174.0,,,-2.5366654,119.0559769,https://maps.google.com/?cid=0x0:0xb3cb54461de74df4,
