Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,komplek housing,Bonehau,"Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat","Kabupaten Mamuju, Sulawesi Barat",SULAWESI BARAT,,Indonesia,,,,-2.4841521,119.2901829,https://maps.google.com/?cid=0x0:0x6f09a241cdc4138a,
komplek housing,komplek housing,Kec. Bonehau,"Kabupaten Mamuju, Sulawesi Barat","Kabupaten Mamuju, Sulawesi Barat",SULAWESI BARAT,,Indonesia,,,,-2.4998873,119.3481971,https://maps.google.com/?cid=0x0:0x506e4572a22ede64,
komplek housing,komplek housing,Sulawesi Barat 91562,"Kabupaten Mamuju, Sulawesi Barat","Kabupaten Mamuju, Sulawesi Barat",SULAWESI BARAT,,Indonesia,,,,-2.4874603,119.5107708,https://maps.google.com/?cid=0x0:0xaf7e6391455a9f6e,
komplek housing,Komplek perumahan,Rumah Yohan Kalipung,"F8XW+PJJ, Dusun Pabettengan, Bonehau, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat 91562","Dusun Pabettengan, Bonehau, Kec. Bonehau, Kabupaten Mamuju",SULAWESI BARAT,91562.0,Indonesia,81243990225.0,,,-2.500655,119.3465183,https://maps.google.com/?cid=0x0:0x5da18aa9a74bed15,
komplek housing,Perumahan,Lattibung.desa Bonehau,"C7XV+M7V, Jl. Poros Salubatu, Bonehau, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat 91562","Jl. Poros Salubatu, Bonehau, Kec. Bonehau, Kabupaten Mamuju",SULAWESI BARAT,91562.0,Indonesia,,,,-2.5507703,119.2931791,https://maps.google.com/?cid=0x0:0x6cd89ed759a68c04,
komplek housing,Perumahan,"Sarurru, Desa Bonehau","Banuada, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat 91562","Kec. Bonehau, Kabupaten Mamuju",SULAWESI BARAT,91562.0,Indonesia,,,,-2.6314721,119.3250317,https://maps.google.com/?cid=0x0:0x5f8e9f3a686eef60,
komplek housing,Komplek perumahan,Rumah Jamuan drawan. ( Wawan),"C74R+HF5, Kinatang, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat 91562","Kinatang, Kec. Bonehau, Kabupaten Mamuju",SULAWESI BARAT,91562.0,Indonesia,,,,-2.5941026,119.2913619,https://maps.google.com/?cid=0x0:0xdb1edc19dd357848,
komplek housing,Komplek perumahan,Rumah sekdes banuada,"96QV+GV8, Banuada, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat 91562","Banuada, Kec. Bonehau, Kabupaten Mamuju",SULAWESI BARAT,91562.0,Indonesia,,,,-2.6110862,119.2449966,https://maps.google.com/?cid=0x0:0x97292541b2b009e0,
komplek housing,Perumahan,HALILINTAR GROUP,"97XP+P7P, Kinatang, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat 91562","Kinatang, Kec. Bonehau, Kabupaten Mamuju",SULAWESI BARAT,91562.0,Indonesia,,,,-2.6006639,119.2856877,https://maps.google.com/?cid=0x0:0x2a0682aef1d0215,
komplek housing,Komplek perumahan,ARLEM'S HOUSE,"85QR+XRP, Jl. Poros Salubatu, Hinua, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat 91562","Jl. Poros Salubatu, Hinua, Kec. Bonehau, Kabupaten Mamuju",SULAWESI BARAT,91562.0,Indonesia,,,,-2.660048,119.1920774,https://maps.google.com/?cid=0x0:0x3d7c132240998ddc,
komplek housing,Kantor Pemerintahan Wilayah,Kinatang,"Kinatang, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat 91562","Kec. Bonehau, Kabupaten Mamuju",SULAWESI BARAT,91562.0,Indonesia,,,,-2.6122248,119.3947135,https://maps.google.com/?cid=0x0:0xd035a1c090e9ec8a,
komplek housing,Komplek perumahan,Adrian,"C75W+8C4, Kinatang, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat 91562","Kinatang, Kec. Bonehau, Kabupaten Mamuju",SULAWESI BARAT,91562.0,Indonesia,,,,-2.591974,119.2956198,https://maps.google.com/?cid=0x0:0xd105dd4d35a148c4,
komplek housing,Komplek perumahan,R.Masginta,"C74R+HF5, Kinatang, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat 91562","Kinatang, Kec. Bonehau, Kabupaten Mamuju",SULAWESI BARAT,91562.0,Indonesia,,,,-2.593843,119.291357,https://maps.google.com/?cid=0x0:0xeee303932449f54a,
komplek housing,Perumahan,Salu Mayang,"C948+P6F, Kinatang, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat 91562","Kinatang, Kec. Bonehau, Kabupaten Mamuju",SULAWESI BARAT,91562.0,Indonesia,,,,-2.5931903,119.3655428,https://maps.google.com/?cid=0x0:0x9588ef2483da38ba,
komplek housing,Pembangunan Perumahan,Rumah Juritno Masri M,"97G8+8Q4, Banuada, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat 91562","Banuada, Kec. Bonehau, Kabupaten Mamuju",SULAWESI BARAT,91562.0,Indonesia,,,,-2.6242289,119.2669438,https://maps.google.com/?cid=0x0:0x2f4a152a146c1c20,
komplek housing,Pembangunan Perumahan,Rumah,"BTN MASPUL, Blk. F1 No.1, Tamalea, Kec. Bonehau, Kabupaten Mamuju, Sulawesi Barat 91562","Blk. F1 No.1, Tamalea, Kec. Bonehau, Kabupaten Mamuju",SULAWESI BARAT,91562.0,Indonesia,,,,-2.4920057,119.3250347,https://maps.google.com/?cid=0x0:0xa0bb2afd814a4781,
