Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Kec. Budong-Budong,"Kabupaten Mamuju Tengah, Sulawesi Barat","Kabupaten Mamuju Tengah, Sulawesi Barat",SULAWESI BARAT,,Indonesia,,,,-2.1728923,119.2291681,https://maps.google.com/?cid=0x0:0x513972b69bc5b519,
hotel,hotel,Wisma tiga putra belawa 1,"Jl. Poros Majene - Mamuju, Tengah, Kec. Topoyo, Kabupaten Mamuju Tengah, Sulawesi Barat 91563","Tengah, Kec. Topoyo, Kabupaten Mamuju Tengah",SULAWESI BARAT,91563.0,Indonesia,82190246442.0,,,-2.0699249,119.2860893,https://maps.google.com/?cid=0x0:0x1483f8cf9d5b45c2,
hotel,hotel,Hotel Fadhila Topoyo,"Jl. Abd. Madjid pattaro pura no. 8, Topoyo, Kec. Topoyo, Kabupaten Mamuju Tengah, Sulawesi Barat 91564","Topoyo, Kec. Topoyo, Kabupaten Mamuju Tengah",SULAWESI BARAT,91564.0,Indonesia,811424855.0,,,-2.0681777,119.2878634,https://maps.google.com/?cid=0x0:0xd254ab24376568c,
hotel,hotel,Wisma Widya Buah,"W7HQ+QFX, Jl. Abdul Majid, Pattaropura, Kec. Topoyo, Kabupaten Mamuju Tengah, Sulawesi Barat 91564","Jl. Abdul Majid, Pattaropura, Kec. Topoyo, Kabupaten Mamuju Tengah",SULAWESI BARAT,91564.0,Indonesia,85399230336.0,,,-2.0705242,119.2887454,https://maps.google.com/?cid=0x0:0xc755a72a5dd0c897,
hotel,hotel,Hotel Anugrah,"8VFV+3GV, Jl. WR. Monginsidi, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Jl. WR. Monginsidi, Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,42621187.0,,,-2.6772511,118.8938061,https://maps.google.com/?cid=0x0:0x850b3ee9752e0e9c,
hotel,hotel,Marannu Golden Hotel,"JL. H. Andi Dai No.23, Binanga, Binanga, Mamuju, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Binanga, Binanga, Mamuju, Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,4262325741.0,,,-2.6708818,118.8951989,https://maps.google.com/?cid=0x0:0x327a9a380ca5bdc5,
hotel,hotel,Sulawesi Barat 91512,"Kabupaten Mamuju, Sulawesi Barat","Kabupaten Mamuju, Sulawesi Barat",SULAWESI BARAT,,Indonesia,,,,-1.8494265,119.5339711,https://maps.google.com/?cid=0x0:0x8e21c401717b8ceb,
hotel,hotel,Matos Hotel Mamuju,"Jl. Yos Sudarso No.37, Kabupaten Mamuju, Sulawesi Barat 91511",Kabupaten Mamuju,SULAWESI BARAT,91511.0,Indonesia,4262331333.0,,,-2.6688183,118.8922326,https://maps.google.com/?cid=0x0:0x8b1cd065356b8834,
hotel,hotel,quin park hotel,"Jl.pattana endeng korongana, Kabupaten Mamuju, Sulawesi Barat","Kabupaten Mamuju, Sulawesi Barat",SULAWESI BARAT,,Indonesia,85255445508.0,,,-2.6710149,118.8517914,https://maps.google.com/?cid=0x0:0x6277a879de30a904,
hotel,hotel,,,,SULAWESI BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x82ac1e1c25fd9464%7C/g/1z3t2mvzs%7Cen-ID,
hotel,hotel,Hotel Lestari Mamuju,"Jl. Musa Karim, Karema, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91512","Karema, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91512.0,Indonesia,,,,-2.6891964,118.8790681,https://maps.google.com/?cid=0x0:0xfcaa922c3ba374fa,
hotel,Hotel,Hotel M City Mamuju,"Jl. Kurungan Bassi (Trans Sulawesi) No.32, Rimuku, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Rimuku, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,82190784200.0,,,-2.6814864,118.8889937,https://maps.google.com/?cid=0x0:0x54608944f394adf5,
hotel,hotel,,,,SULAWESI BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xfcaa922c3ba374fa%7C/g/11wvr9dlkk%7Cen-ID,
hotel,hotel,Grand Mutiara Hotel Mamuju,"Jl. Abdul Malik Pattana Endeng, Simboro, Kec. Simboro Dan Kepulauan, Kabupaten Mamuju, Sulawesi Barat 91512","Simboro, Kec. Simboro Dan Kepulauan, Kabupaten Mamuju",SULAWESI BARAT,91512.0,Indonesia,4262333870.0,,,-2.6765047,118.8581205,https://maps.google.com/?cid=0x0:0x841d52fc903564c9,
hotel,hotel,LUKE'S HOTEL Mamuju,"8V7G+PJM, Jl. Diponegoro, Karema, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91512","Jl. Diponegoro, Karema, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91512.0,Indonesia,8114514888.0,,,-2.6856694,118.876537,https://maps.google.com/?cid=0x0:0x4b4181ad3db95244,
hotel,hotel,Hotel Mahkota 145,"Dan, Jl. Jend Sudirman, Simboro, Kepulauan, Kabupaten Mamuju, Sulawesi Barat 91511","Jl. Jend Sudirman, Simboro, Kepulauan, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,81244337650.0,,,-2.6874953,118.8688212,https://maps.google.com/?cid=0x0:0x21d392407f427bff,
hotel,hotel,OYO 93411 Syariah Hotel Tomborang,"91512, Mamuju, Sulawesi Barat, Sulawesi, 91511, Kec. Mamuju, lampung Selatan, Lampung 91513","Mamuju, Sulawesi Barat, Sulawesi,",SULAWESI BARAT,91511.0,Indonesia,2129707601.0,,,-2.6899859,118.8709479,https://maps.google.com/?cid=0x0:0xf64cf82cc56c6819,
hotel,hotel,Aflah Hotel,"Jl. KS Tubun No.54, Rimuku, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91151","Rimuku, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91151.0,Indonesia,4262300009.0,,,-2.6784886,118.8809964,https://maps.google.com/?cid=0x0:0x7e276f486ff1deb6,
hotel,Hotel,Hotel Yaki,"Jl. H. Andi Endeng, Karema, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91512","Karema, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91512.0,Indonesia,895417300072.0,,,-2.6797707,118.88019,https://maps.google.com/?cid=0x0:0x1ebcb9fa8adea738,
hotel,hotel,RedDoorz Plus @ Hotel Lestari Karema Mamuju,"8V5H+VPM, Karema, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat","Kabupaten Mamuju, Sulawesi Barat",SULAWESI BARAT,,Indonesia,895417300072.0,,,-2.6903125,118.8793125,https://maps.google.com/?cid=0x0:0x8c5fcb488a6677c7,
hotel,hotel,Hotel Pantai Indah,"Jl. Badau No.25, Rimuku, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Rimuku, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,82349273233.0,,,-2.6769483,118.8836748,https://maps.google.com/?cid=0x0:0x714cb42f1d5e6744,
hotel,hotel,RedDoorz Syariah @ Karema Area Mamuju,"Jl. Soekarno Hatta, Karema, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91512","Karema, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91512.0,Indonesia,895417300072.0,,,-2.694171,118.8778142,https://maps.google.com/?cid=0x0:0xe137983294824afd,
hotel,hotel,Hotel Meganita,"Jl. Pattalundru No.04, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,82346086580.0,,,-2.6781225,118.8926904,https://maps.google.com/?cid=0x0:0x1ceb971647a35a01,
hotel,Pondok,Wisma SEDERHANA,"Jl. Emmy Saelan, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,82337054370.0,,,-2.672532,118.8912053,https://maps.google.com/?cid=0x0:0xa256790c0187e0d4,
hotel,Hotel jangka panjang,OYO 93536 Pondok Almirah,"8VH2+F2W, Rangas, Kec. Simboro Dan Kepulauan, Kabupaten Mamuju, Sulawesi Barat 91513","Rangas, Kec. Simboro Dan Kepulauan, Kabupaten Mamuju",SULAWESI BARAT,91513.0,Indonesia,919667783994.0,,,-2.671263,118.850073,https://maps.google.com/?cid=0x0:0xe438daab0df9148c,
hotel,hotel,Srikandi Hotel,"Jl. Pattalunru No.10, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,42621766.0,,,-2.6774568,118.8921242,https://maps.google.com/?cid=0x0:0x97c27ab420cea1c5,
hotel,hotel,Hotel Rio,"Jl. Emmy Saelan No.40, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,42621014.0,,,-2.6721138,118.8911862,https://maps.google.com/?cid=0x0:0xbdb013225a9be39c,
hotel,hotel,Marannu Golden Hotel,"JL. H. Andi Dai No.23, Binanga, Binanga, Mamuju, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Binanga, Binanga, Mamuju, Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,4262325741.0,,,-2.6708818,118.8951989,https://maps.google.com/?cid=0x0:0x327a9a380ca5bdc5,
hotel,Hotel,OYO 93443 Emmy Homestay Syariah,"Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91516","Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91516.0,Indonesia,817788016.0,,,-2.6788125,118.8940625,https://maps.google.com/?cid=0x0:0xa5eb193713901cff,
hotel,hotel,Kec. Pangale,"Kabupaten Mamuju Tengah, Sulawesi Barat","Kabupaten Mamuju Tengah, Sulawesi Barat",SULAWESI BARAT,,Indonesia,,,,-2.2717045,119.1995263,https://maps.google.com/?cid=0x0:0x38044147fdebd95,
hotel,hotel,Grand Maleo Hotel  Convention Mamuju,"8VGP+FQV, Jl. Yos Sudarso No.51, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Jl. Yos Sudarso No.51, Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,82293908333.0,,,-2.6728106,118.886902,https://maps.google.com/?cid=0x0:0x82ac1e1c25fd9464,
hotel,hotel,,,,SULAWESI BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x82ac1e1c25fd9464%7C/g/1z3t2mvzs%7Cen-ID,
hotel,hotel,Grand Mutiara Hotel Mamuju,"Jl. Abdul Malik Pattana Endeng, Simboro, Kec. Simboro Dan Kepulauan, Kabupaten Mamuju, Sulawesi Barat 91512","Simboro, Kec. Simboro Dan Kepulauan, Kabupaten Mamuju",SULAWESI BARAT,91512.0,Indonesia,4262333870.0,,,-2.6765047,118.8581205,https://maps.google.com/?cid=0x0:0x841d52fc903564c9,
hotel,hotel,Hotel Mahkota 145,"Dan, Jl. Jend Sudirman, Simboro, Kepulauan, Kabupaten Mamuju, Sulawesi Barat 91511","Jl. Jend Sudirman, Simboro, Kepulauan, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,81244337650.0,,,-2.6874953,118.8688212,https://maps.google.com/?cid=0x0:0x21d392407f427bff,
hotel,hotel,Aflah Hotel,"Jl. KS Tubun No.54, Rimuku, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91151","Rimuku, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91151.0,Indonesia,4262300009.0,,,-2.6784886,118.8809964,https://maps.google.com/?cid=0x0:0x7e276f486ff1deb6,
hotel,hotel,Hotel Pantai Indah,"Jl. Badau No.25, Rimuku, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Rimuku, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,82349273233.0,,,-2.6769483,118.8836748,https://maps.google.com/?cid=0x0:0x714cb42f1d5e6744,
hotel,hotel,Hotel Meganita,"Jl. Pattalundru No.04, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,82346086580.0,,,-2.6781225,118.8926904,https://maps.google.com/?cid=0x0:0x1ceb971647a35a01,
hotel,hotel,Hotel Fadhila Topoyo,"Jl. Abd. Madjid pattaro pura no. 8, Topoyo, Kec. Topoyo, Kabupaten Mamuju Tengah, Sulawesi Barat 91564","Topoyo, Kec. Topoyo, Kabupaten Mamuju Tengah",SULAWESI BARAT,91564.0,Indonesia,811424855.0,,,-2.0681777,119.2878634,https://maps.google.com/?cid=0x0:0xd254ab24376568c,
hotel,hotel,Hotel Rio,"Jl. Emmy Saelan No.40, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,42621014.0,,,-2.6721138,118.8911862,https://maps.google.com/?cid=0x0:0xbdb013225a9be39c,
hotel,hotel,Wisma Widya Buah,"W7HQ+QFX, Jl. Abdul Majid, Pattaropura, Kec. Topoyo, Kabupaten Mamuju Tengah, Sulawesi Barat 91564","Jl. Abdul Majid, Pattaropura, Kec. Topoyo, Kabupaten Mamuju Tengah",SULAWESI BARAT,91564.0,Indonesia,85399230336.0,,,-2.0705242,119.2887454,https://maps.google.com/?cid=0x0:0xc755a72a5dd0c897,
hotel,hotel,Wisma Tiga Putra Belawa 2,"Jl,lorong mandar 2 Topoyo Mamuju tengah, Topoyo, Kec. Topoyo, Kabupaten Mamuju, Sulawesi Barat 91564","Topoyo, Kec. Topoyo, Kabupaten Mamuju",SULAWESI BARAT,91564.0,Indonesia,81210332322.0,,,-2.0734386,119.2873364,https://maps.google.com/?cid=0x0:0x60e71b51cf69f8f,
hotel,hotel,Hotel Diana,"Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,82199907789.0,,,-2.6723979,118.8908537,https://maps.google.com/?cid=0x0:0x6f4381fb0466cec4,
hotel,hotel,Marannu Golden Hotel,"JL. H. Andi Dai No.23, Binanga, Binanga, Mamuju, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Binanga, Binanga, Mamuju, Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,4262325741.0,,,-2.6708818,118.8951989,https://maps.google.com/?cid=0x0:0x327a9a380ca5bdc5,
hotel,hotel,Hotel Anugrah,"8VFV+3GV, Jl. WR. Monginsidi, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Jl. WR. Monginsidi, Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,42621187.0,,,-2.6772511,118.8938061,https://maps.google.com/?cid=0x0:0x850b3ee9752e0e9c,
hotel,hotel,Hotel Na raya,"Jl poros polewali, Osango, Kec. Mamasa, Sulawesi Barat 91362","Osango, Kec. Mamasa",SULAWESI BARAT,91362.0,Indonesia,85341089300.0,,,-2.9512919,119.3656253,https://maps.google.com/?cid=0x0:0x1a4e206046c704f8,
hotel,hotel,penginapan nur tampa padang,"Jl. Poros Majene - Mamuju, Sinyonyoi, Kec. Kalukku, Kabupaten Mamuju, Sulawesi Barat 91561","Sinyonyoi, Kec. Kalukku, Kabupaten Mamuju",SULAWESI BARAT,91561.0,Indonesia,82313782240.0,,,-2.5894222,119.0294439,https://maps.google.com/?cid=0x0:0x92dcfd8713adc513,
hotel,hotel,Lahan Palipi adisucip,"R53F+7RW, Lamba-Lamba, Kec. Pangale, Kabupaten Mamuju Tengah, Sulawesi Barat 91563","Lamba-Lamba, Kec. Pangale, Kabupaten Mamuju Tengah",SULAWESI BARAT,91563.0,Indonesia,,,,-2.1967587,119.1745776,https://maps.google.com/?cid=0x0:0xef60b7358f730a78,
hotel,hotel,Tobadak,"Kec. Tobadak, Kabupaten Mamuju Tengah, Sulawesi Barat","Kabupaten Mamuju Tengah, Sulawesi Barat",SULAWESI BARAT,,Indonesia,,,,-2.102572,119.3134183,https://maps.google.com/?cid=0x0:0xa4361dce520eaee7,
hotel,hotel,Wisma tiga putra belawa 1,"Jl. Poros Majene - Mamuju, Tengah, Kec. Topoyo, Kabupaten Mamuju Tengah, Sulawesi Barat 91563","Tengah, Kec. Topoyo, Kabupaten Mamuju Tengah",SULAWESI BARAT,91563.0,Indonesia,82190246442.0,,,-2.0699249,119.2860893,https://maps.google.com/?cid=0x0:0x1483f8cf9d5b45c2,
hotel,hotel,Hotel Fadhila Topoyo,"Jl. Abd. Madjid pattaro pura no. 8, Topoyo, Kec. Topoyo, Kabupaten Mamuju Tengah, Sulawesi Barat 91564","Topoyo, Kec. Topoyo, Kabupaten Mamuju Tengah",SULAWESI BARAT,91564.0,Indonesia,811424855.0,,,-2.0681777,119.2878634,https://maps.google.com/?cid=0x0:0xd254ab24376568c,
hotel,hotel,Grand Maleo Hotel  Convention Mamuju,"8VGP+FQV, Jl. Yos Sudarso No.51, Binanga, Kec. Mamuju, Kabupaten Mamuju, Sulawesi Barat 91511","Jl. Yos Sudarso No.51, Binanga, Kec. Mamuju, Kabupaten Mamuju",SULAWESI BARAT,91511.0,Indonesia,82293908333.0,,,-2.6728106,118.886902,https://maps.google.com/?cid=0x0:0x82ac1e1c25fd9464,
hotel,hotel,,,,SULAWESI BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x82ac1e1c25fd9464%7C/g/1z3t2mvzs%7Cen-ID,
