Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
komplek housing,komplek housing,Kec. Budong-Budong,"Kabupaten Mamuju Tengah, Sulawesi Barat","Kabupaten Mamuju Tengah, Sulawesi Barat",SULAWESI BARAT,,Indonesia,,,,-2.1728923,119.2291681,https://maps.google.com/?cid=0x0:0x513972b69bc5b519,
komplek housing,Pembangunan Perumahan,SUMADI,"R66H+JM3, Tinali, Kec. Budong-Budong, Kabupaten Mamuju Tengah, Sulawesi Barat 91563","Tinali, Kec. Budong-Budong, Kabupaten Mamuju Tengah",SULAWESI BARAT,91563.0,Indonesia,,,,-2.188489,119.2291726,https://maps.google.com/?cid=0x0:0x34322f1bf8f891cc,
komplek housing,komplek housing,Mitha,"R6JH+HCC, Salogatta, Kec. Budong-Budong, Kabupaten Mamuju Tengah, Sulawesi Barat 91563","Salogatta, Kec. Budong-Budong, Kabupaten Mamuju Tengah",SULAWESI BARAT,91563.0,Indonesia,,,,-2.1685697,119.2285162,https://maps.google.com/?cid=0x0:0x11a2acd6f77af8f8,
komplek housing,Komplek perumahan,Debo,"R7Q8+GHV, Pontanakayang, Kec. Budong-Budong, Kabupaten Mamuju Tengah, Sulawesi Barat 91563","Pontanakayang, Kec. Budong-Budong, Kabupaten Mamuju Tengah",SULAWESI BARAT,91563.0,Indonesia,,,,-2.1611291,119.2665559,https://maps.google.com/?cid=0x0:0xc5864bf34bfa631f,
komplek housing,Komplek perumahan,Mesjid lorong5 rantekombiling,"V66G+9X, Kire, Kec. Budong-Budong, Kabupaten Mamuju Tengah, Sulawesi Barat","Kabupaten Mamuju Tengah, Sulawesi Barat",SULAWESI BARAT,,Indonesia,,,,-2.1390042,119.2274298,https://maps.google.com/?cid=0x0:0x2b18d888419e88b,
komplek housing,Komplek perumahan,Lorong,"R864+5MF, Bojo, Kec. Budong-Budong, Kabupaten Mamuju Tengah, Sulawesi Barat 91563","Bojo, Kec. Budong-Budong, Kabupaten Mamuju Tengah",SULAWESI BARAT,91563.0,Indonesia,,,,-2.1895625,119.3066719,https://maps.google.com/?cid=0x0:0x23976f56ea5d6960,
komplek housing,Komplek perumahan,Rumah Satria94,"Lorong 2 baru No.2, Salogatta, Kec. Budong-Budong, Kabupaten Mamuju Tengah, Sulawesi Barat 91563","Salogatta, Kec. Budong-Budong, Kabupaten Mamuju Tengah",SULAWESI BARAT,91563.0,Indonesia,,,,-2.1711027,119.2286932,https://maps.google.com/?cid=0x0:0x64fb8ae197f16c83,
komplek housing,komplek housing,m Arifin nur,"R7PC+R4F, Jl. Diponegoro, Pontanakayang, Kec. Budong-Budong, Kabupaten Mamuju Tengah, Sulawesi Barat 91563","Jl. Diponegoro, Pontanakayang, Kec. Budong-Budong, Kabupaten Mamuju Tengah",SULAWESI BARAT,91563.0,Indonesia,,,,-2.1626094,119.2694067,https://maps.google.com/?cid=0x0:0x285ff0b667a3d09a,
komplek housing,Komplek perumahan,Ikhwanilmhana,"R645+CQQ, Barakkang, Kec. Budong-Budong, Kabupaten Mamuju, Sulawesi Barat 91563","Barakkang, Kec. Budong-Budong, Kabupaten Mamuju",SULAWESI BARAT,91563.0,Indonesia,,,,-2.1939207,119.2094856,https://maps.google.com/?cid=0x0:0x4eb8a0a8c2b3ecd0,
komplek housing,Rumah Kayu,Rumah Faisal,"V59X+GR, Kire, Kec. Budong-Budong, Kabupaten Mamuju Tengah, Sulawesi Barat","Kabupaten Mamuju Tengah, Sulawesi Barat",SULAWESI BARAT,,Indonesia,,,,-2.1311746,119.1995617,https://maps.google.com/?cid=0x0:0xfd25bb49bf50357,
