Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Kec. Balantak";"Kabupaten Banggai, Sulawesi Tengah";"Kabupaten Banggai, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.8814324";"123.3962452";"https://maps.google.com/?cid=0x0:0x4030bfbcaf77ee0";""
"komplek housing";"komplek housing";"Nazwa atika";"499P+CWQ, Dale-Dale, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Dale-Dale, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.8814106";"123.3873663";"https://maps.google.com/?cid=0x0:0x539287e0a60169e0";""
"komplek housing";"Pembangunan Perumahan";"Julia Home";"484R+8Q8, Talima B, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Talima B, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.8948785";"123.3428381";"https://maps.google.com/?cid=0x0:0x397c7b12a291f4a7";""
"komplek housing";"Komplek perumahan";"R. Salatun";"49HQ+65C, Dale-Dale, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Dale-Dale, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.8719408";"123.3878855";"https://maps.google.com/?cid=0x0:0x693d7192c5a87e52";""
"komplek housing";"komplek housing";"Tongke balantak selatan";"39QJ+6P9, Gorontalo, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah";"Kabupaten Banggai, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.9119625";"123.3818594";"https://maps.google.com/?cid=0x0:0x4c4c11e44d45274e";""
"komplek housing";"Komplek perumahan";"Tanotu";"49F4+75F, Tanotu, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Tanotu, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.876512";"123.3557894";"https://maps.google.com/?cid=0x0:0xb6e5cd9eca0d8122";""
"komplek housing";"Komplek perumahan";"Rumahku";"49F4+75F, Tanotu, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah";"Kabupaten Banggai, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.8768125";"123.3554219";"https://maps.google.com/?cid=0x0:0x9b347ee016658157";""
"komplek housing";"Komplek perumahan";"Rumah Rety";"39JH+6PR, Tongke, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773";"Tongke, Kec. Balantak Sel., Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.9193821";"123.3792904";"https://maps.google.com/?cid=0x0:0x9fe3fa6ebef28f0a";""
"komplek housing";"Kantor Pemerintah";"Desa Kiloma";"48FX+8Q8, Kiloma, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Kiloma, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.876717";"123.3494409";"https://maps.google.com/?cid=0x0:0xd57dc978d85e6eef";""
"komplek housing";"Pembangunan Perumahan";"Adhy";"49CC+G9F, Mamping, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah";"Kabupaten Banggai, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.878888";"123.370012";"https://maps.google.com/?cid=0x0:0xafb323ff4ce672ae";""
"komplek housing";"Komplek perumahan";"Abhigael (nlyn)";"492R+F62, Tanggawas, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah";"Kabupaten Banggai, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.899454";"123.3919054";"https://maps.google.com/?cid=0x0:0xb17bca4bcc14adba";""
"komplek housing";"komplek housing";"Rumah Ede tibo";"39Q3+3MQ, Tongke, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773";"Tongke, Kec. Balantak Sel., Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.9122902";"123.3542258";"https://maps.google.com/?cid=0x0:0x206563332fa0db63";""
"komplek housing";"Pembangunan Perumahan";"Lorong komba";"484H+5HQ, Talima B, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Talima B, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.8945384";"123.3289733";"https://maps.google.com/?cid=0x0:0x97d03c81e4b17f77";""
"komplek housing";"Komplek perumahan";"Miki lasandre";"499Q+6CX, Dale-Dale, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Dale-Dale, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.88132";"123.387523";"https://maps.google.com/?cid=0x0:0x8a3ba1678038268d";""
"komplek housing";"Komplek perumahan";"RUMAH KELUARGA MALOTA";"499W+766, Balantak, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Balantak, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.8818473";"123.3955203";"https://maps.google.com/?cid=0x0:0x604163b19f86e4ea";""
"komplek housing";"Komplek perumahan";"Rumah Roni Nursin";"499Q+6CX, Dale-Dale, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Dale-Dale, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.881352";"123.387811";"https://maps.google.com/?cid=0x0:0xaf6b6609145719c8";""
"komplek housing";"Komplek perumahan";"Riksan salatun";"499Q+6CX, Dale-Dale, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Dale-Dale, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.881275";"123.387219";"https://maps.google.com/?cid=0x0:0x32d24f37506d0b74";""
"komplek housing";"Kantor Pemerintah";"Kelurahan dale dale";"499W+CFM, Balantak, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Balantak, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.8814022";"123.3961786";"https://maps.google.com/?cid=0x0:0xfc4c5a67291715f4";""
"komplek housing";"Komplek perumahan";"Rumah Sasna";"5958+W5G, Mamping, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Mamping, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.8401938";"123.365447";"https://maps.google.com/?cid=0x0:0x206bd573e7a23150";""
"komplek housing";"Komplek perumahan";"Rumah Gili";"39PM+2PX, Giwang, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773";"Giwang, Kec. Balantak Sel., Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.9146742";"123.3829933";"https://maps.google.com/?cid=0x0:0x8079024b0669d8db";""
"komplek housing";"Komplek perumahan";"Posko KKN UNISMUH Angkatan XXXVI";"49F4+4JW, Tanotu, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Tanotu, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.8769229";"123.3566349";"https://maps.google.com/?cid=0x0:0x12bfcb7098294e85";""
"komplek housing";"Pembangunan Perumahan";"Rumah wandi";"39PM+2PX, Giwang, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773";"Giwang, Kec. Balantak Sel., Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.9164325";"123.3827607";"https://maps.google.com/?cid=0x0:0x979d6427c0ed3d85";""
"komplek housing";"Rumah Kayu";"Tongke";"39P8+VHW, Tongke, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773";"Tongke, Kec. Balantak Sel., Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.912773";"123.366462";"https://maps.google.com/?cid=0x0:0x42435a81749e47dc";""
"komplek housing";"Pembangunan Perumahan";"Yoga";"39XP+XG5, Poyang, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773";"Poyang, Kec. Balantak Sel., Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.9001076";"123.3863538";"https://maps.google.com/?cid=0x0:0xaa93c7651a19883d";""
"komplek housing";"komplek housing";"Kec. Balantak Sel.";"Kabupaten Banggai, Sulawesi Tengah";"Kabupaten Banggai, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.9119621";"123.3818628";"https://maps.google.com/?cid=0x0:0xb20df1eaa1d315f7";""
"komplek housing";"komplek housing";"Tongke balantak selatan";"39QJ+6P9, Gorontalo, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah";"Kabupaten Banggai, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.9119625";"123.3818594";"https://maps.google.com/?cid=0x0:0x4c4c11e44d45274e";""
"komplek housing";"komplek housing";"Nazwa atika";"499P+CWQ, Dale-Dale, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Dale-Dale, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.8814106";"123.3873663";"https://maps.google.com/?cid=0x0:0x539287e0a60169e0";""
"komplek housing";"Komplek perumahan";"Mikyy cell";"499Q+6CX, Dale-Dale, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Dale-Dale, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.8813666";"123.3874787";"https://maps.google.com/?cid=0x0:0x6eb5a0e2e25728b9";""
"komplek housing";"Komplek perumahan";"Abhigael (nlyn)";"492R+F62, Tanggawas, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah";"Kabupaten Banggai, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.899454";"123.3919054";"https://maps.google.com/?cid=0x0:0xb17bca4bcc14adba";""
"komplek housing";"komplek housing";"Rumah Ede tibo";"39Q3+3MQ, Tongke, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773";"Tongke, Kec. Balantak Sel., Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.9122902";"123.3542258";"https://maps.google.com/?cid=0x0:0x206563332fa0db63";""
"komplek housing";"Pembangunan Perumahan";"Julia Home";"484R+8Q8, Talima B, Kec. Balantak, Kabupaten Banggai, Sulawesi Tengah 94773";"Talima B, Kec. Balantak, Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.8948785";"123.3428381";"https://maps.google.com/?cid=0x0:0x397c7b12a291f4a7";""
"komplek housing";"Komplek perumahan";"Rumah Angkhy Daerante";"29VP+P5F, Tombos, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773";"Tombos, Kec. Balantak Sel., Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.955084";"123.384471";"https://maps.google.com/?cid=0x0:0x640e06af7c72d15b";""
"komplek housing";"Pembangunan Perumahan";"Yoga";"39XP+XG5, Poyang, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773";"Poyang, Kec. Balantak Sel., Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.9001076";"123.3863538";"https://maps.google.com/?cid=0x0:0xaa93c7651a19883d";""
"komplek housing";"Komplek perumahan";"RUMAH ArkhaFisyah";"28JV+H6R, Tombos, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah";"Kabupaten Banggai, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.9685103";"123.3430033";"https://maps.google.com/?cid=0x0:0x85e6ba918bf655ee";""
"komplek housing";"Rumah Kayu";"Tongke";"39P8+VHW, Tongke, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773";"Tongke, Kec. Balantak Sel., Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.912773";"123.366462";"https://maps.google.com/?cid=0x0:0x42435a81749e47dc";""
"komplek housing";"Pembangunan Perumahan";"Rumah wandi";"39PM+2PX, Giwang, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773";"Giwang, Kec. Balantak Sel., Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.9164325";"123.3827607";"https://maps.google.com/?cid=0x0:0x979d6427c0ed3d85";""
"komplek housing";"Komplek perumahan";"Rumah Azahra Uluki";"29VP+F5G, Tombos, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773";"Tombos, Kec. Balantak Sel., Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.9563153";"123.3854637";"https://maps.google.com/?cid=0x0:0x8fe352a8e9a49b84";""
"komplek housing";"Komplek perumahan";"Rumah Gili";"39PM+2PX, Giwang, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773";"Giwang, Kec. Balantak Sel., Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.9146742";"123.3829933";"https://maps.google.com/?cid=0x0:0x8079024b0669d8db";""
"komplek housing";"Gedung Apartemen";"Hernilan tarawe";"29VQ+55H, Tombos, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773";"Tombos, Kec. Balantak Sel., Kabupaten Banggai";"SULAWESI TENGAH";"94773";"Indonesia";"";"";"";"-0.9565529";"123.3875981";"https://maps.google.com/?cid=0x0:0xbe2eb982ad206d8b";""
