Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"Komplek perumahan";"PERUMAHAN ORVIL LANDS BOYA BALIASE";"Jl. Vunja Sinongi No.8, Boyabaliase, Kec. Marawola, Kabupaten Sigi, Sulawesi Tengah 94222";"Boyabaliase, Kec. Marawola, Kabupaten Sigi";"SULAWESI TENGAH";"94222";"Indonesia";" 085288498397";"";"";"-0.948184";"119.8467998";"https://maps.google.com/?cid=0x0:0x5dbeee685e28bc4e";""
"komplek housing";"Perumahan";"Boyaaa baliase";"2RXX+R8J, Boyabaliase, Kec. Marawola, Kabupaten Sigi, Sulawesi Tengah";"Kabupaten Sigi, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.9504167";"119.8482509";"https://maps.google.com/?cid=0x0:0xb4de63b85ab54c1a";""
"komplek housing";"Toko Kosmetik";"Tasya Vit. Gemuk  Jamu Plangsing";"Jl. Vunja Sinongi No.8, Boyabaliase, Kec. Marawola, Kabupaten Sigi, Sulawesi Tengah 94222";"Boyabaliase, Kec. Marawola, Kabupaten Sigi";"SULAWESI TENGAH";"94222";"Indonesia";" 082296732591";"";"";"-0.9481149";"119.8466548";"https://maps.google.com/?cid=0x0:0x3419f57e5ebd6581";""
"komplek housing";"Komplek perumahan";"Apinindo Residenza Kalukubula";"2VRW+4Q, Kalukubula, Kec. Sigi Biromaru, Kabupaten Sigi, Sulawesi Tengah 94231";"Kalukubula, Kec. Sigi Biromaru, Kabupaten Sigi";"SULAWESI TENGAH";"94231";"Indonesia";"";"";"";"-0.9603613";"119.8969072";"https://maps.google.com/?cid=0x0:0xe60cf5e51a905851";""
"komplek housing";"Perumahan";"Rumah Pak Armadi";"2V8P+PRP, Langaleso, Kec. Dolo, Kabupaten Sigi, Sulawesi Tengah 94362";"Langaleso, Kec. Dolo, Kabupaten Sigi";"SULAWESI TENGAH";"94362";"Indonesia";"";"";"";"-0.983155";"119.8870796";"https://maps.google.com/?cid=0x0:0x5c4ba67290da466a";""
"komplek housing";"Perumahan";"Rumah pak Adi";"2V9P+2M3, Langaleso, Kec. Dolo, Kabupaten Sigi, Sulawesi Tengah 94362";"Langaleso, Kec. Dolo, Kabupaten Sigi";"SULAWESI TENGAH";"94362";"Indonesia";"";"";"";"-0.983155";"119.88708";"https://maps.google.com/?cid=0x0:0x97457e033fe80b";""
"komplek housing";"Komplek perumahan";"Pondok Gede Housing 1";"Jl. Cipta Raya No.45-3, RT.001/RW.003, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414";"RT.001/RW.003, Jatirahayu, Kec. Pd. Melati, Kota Bks";"SULAWESI TENGAH";"17414";"Indonesia";"";"";"";"-6.2852504";"106.9163397";"https://maps.google.com/?cid=0x0:0x3132afedbf38cd61";""
"komplek housing";"Komplek perumahan";"Pondok gede housing";"PW69+G7J, Jl. Teratai, RT.005/RW.003, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414";"Jl. Teratai, RT.005/RW.003, Jatirahayu, Kec. Pd. Melati, Kota Bks";"SULAWESI TENGAH";"17414";"Indonesia";"";"";"";"-6.2886631";"106.9181392";"https://maps.google.com/?cid=0x0:0xe09247830c5049e9";""
"komplek housing";"Komplek perumahan";"Komplek Raya Housing (Molek) Blok L3 - ZAIA";"Komplek Raya Housing (Molek No.3 Blok-L, RT.005/RW.011, Jatiwaringin, Kec. Pd. Gede, Kota Bks, Jawa Barat 17411";"RT.005/RW.011, Jatiwaringin, Kec. Pd. Gede, Kota Bks";"SULAWESI TENGAH";"17411";"Indonesia";"";"";"";"-6.2791346";"106.9098178";"https://maps.google.com/?cid=0x0:0x70e05a91fbc23a92";""
"komplek housing";"komplek housing";"Sulawesi Tengah 94684";"Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah";"Kabupaten Tojo Una-Una, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-1.06437";"121.6739371";"https://maps.google.com/?cid=0x0:0x395f26e16da414ae";""
"komplek housing";"komplek housing";"Home Sela  Aliff cell";"Jl. Trans Sulawesi, Mantangisi, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah 94684";"Mantangisi, Kec. Ampana Tete, Kabupaten Tojo Una-Una";"SULAWESI TENGAH";"94684";"Indonesia";" 081233477826";"";"";"-0.9326165";"121.6956757";"https://maps.google.com/?cid=0x0:0x2848fee5484e396b";""
"komplek housing";"Komplek perumahan";"Lorong kantor desa";"WPHJ+69P, Balanggala, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah 94684";"Balanggala, Kec. Ampana Tete, Kabupaten Tojo Una-Una";"SULAWESI TENGAH";"94684";"Indonesia";"";"";"";"-1.0719015";"121.7309452";"https://maps.google.com/?cid=0x0:0x461140a70a63e112";""
"komplek housing";"komplek housing";"Rumah WAHID";"3HCP+JJ, Uentanaga Atas, Kec. Ampana Kota, Kabupaten Tojo Una-Una, Sulawesi Tengah";"Kabupaten Tojo Una-Una, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";" 082210980400";"";"";"-0.9292515";"121.586723";"https://maps.google.com/?cid=0x0:0x3d09630c9efff110";""
"komplek housing";"komplek housing";"HomeGetss";"3MHF+46M, Mantangisi, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah";"Kabupaten Tojo Una-Una, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.9221556";"121.6730462";"https://maps.google.com/?cid=0x0:0x8a77ab11b5a27a52";""
"komplek housing";"Komplek perumahan";"Lorong katapang";"4JHM+46Q, Jl. Trans Sulawesi, Pusungi, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah 94684";"Jl. Trans Sulawesi, Pusungi, Kec. Ampana Tete, Kabupaten Tojo Una-Una";"SULAWESI TENGAH";"94684";"Indonesia";"";"";"";"-0.8716417";"121.6334343";"https://maps.google.com/?cid=0x0:0x283535f5beaddbbb";""
"komplek housing";"komplek housing";"A2 Home";"2Q55+42, Balanggala, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah";"Kabupaten Tojo Una-Una, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";" 082293051145";"";"";"-0.9921686";"121.7575033";"https://maps.google.com/?cid=0x0:0x40a7e577e2f35fd2";""
"komplek housing";"komplek housing";"Rumah Pipit";"2QJR+742, Jl. Trans Sulawesi, Tampabatu, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah 94684";"Jl. Trans Sulawesi, Tampabatu, Kec. Ampana Tete, Kabupaten Tojo Una-Una";"SULAWESI TENGAH";"94684";"Indonesia";"";"";"";"-0.969046";"121.7907064";"https://maps.google.com/?cid=0x0:0x895f40481ad7275f";""
"komplek housing";"Rumah Kayu";"Rumahnya Annisa";"2QMQ+HJ4, Tampabatu, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah";"Kabupaten Tojo Una-Una, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.9661207";"121.789084";"https://maps.google.com/?cid=0x0:0xb89e27fdbcfeea35";""
"komplek housing";"komplek housing";"Uni home";"2QH6+2X3, Balanggala, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah 94684";"Balanggala, Kec. Ampana Tete, Kabupaten Tojo Una-Una";"SULAWESI TENGAH";"94684";"Indonesia";"";"";"";"-0.9724752";"121.7624369";"https://maps.google.com/?cid=0x0:0x739dba3783ae78b2";""
"komplek housing";"Pembangunan Perumahan";"Urundaka";"2PPR+J7H, Jl. Trans Sulawesi, Urundaka, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah 94684";"Jl. Trans Sulawesi, Urundaka, Kec. Ampana Tete, Kabupaten Tojo Una-Una";"SULAWESI TENGAH";"94684";"Indonesia";"";"";"";"-0.9634326";"121.7407435";"https://maps.google.com/?cid=0x0:0xc19e00b9c260bdb9";""
"komplek housing";"komplek housing";"Rumah enha";"3M8X+75H, Mantangisi, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah 94684";"Mantangisi, Kec. Ampana Tete, Kabupaten Tojo Una-Una";"SULAWESI TENGAH";"94684";"Indonesia";" 082189554124";"";"";"-0.9342682";"121.6985828";"https://maps.google.com/?cid=0x0:0x2f3334a8e59149e7";""
"komplek housing";"komplek housing";"Rumahku";"2RM7+VFC, Sabo, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah";"Kabupaten Tojo Una-Una, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.9661761";"121.8132265";"https://maps.google.com/?cid=0x0:0x4475f42ef0b66662";""
"komplek housing";"komplek housing";"Rahma family home";"4M94+H2H, Tete-A, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah 94684";"Tete-A, Kec. Ampana Tete, Kabupaten Tojo Una-Una";"SULAWESI TENGAH";"94684";"Indonesia";"";"";"";"-0.8803699";"121.6556385";"https://maps.google.com/?cid=0x0:0x1902c382a81ec9e2";""
"komplek housing";"Komplek perumahan";"Rumah Rahim";"2PPP+Q73, Urundaka, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah";"Kabupaten Tojo Una-Una, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.9631446";"121.7357089";"https://maps.google.com/?cid=0x0:0xe23ba3d97d4ddc78";""
"komplek housing";"komplek housing";"Afifa home ampana";"3HWG+X9, Sansarino, Kec. Ampana Kota, Kabupaten Tojo Una-Una, Sulawesi Tengah 94683";"Sansarino, Kec. Ampana Kota, Kabupaten Tojo Una-Una";"SULAWESI TENGAH";"94683";"Indonesia";" 0895370906772";"";"";"-0.9025625";"121.5759375";"https://maps.google.com/?cid=0x0:0xa1459a290d8a8d6";""
"komplek housing";"komplek housing";"Home ila";"4HGM+9V6, Jl. Sungai Balingara, Uentanaga Atas, Kec. Ampana Kota, Kabupaten Tojo Una-Una, Sulawesi Tengah 94683";"Jl. Sungai Balingara, Uentanaga Atas, Kec. Ampana Kota, Kabupaten Tojo Una-Una";"SULAWESI TENGAH";"94683";"Indonesia";"";"";"";"-0.8740896";"121.5846378";"https://maps.google.com/?cid=0x0:0xa4b5fb2078f854a";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"MY HOME (RAMLYTAHA)";"3M8W+9Q5, Mantangisi, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah";"Kabupaten Tojo Una-Una, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-0.9341064";"121.6969717";"https://maps.google.com/?cid=0x0:0x93ddbac37c08ac64";""
"komplek housing";"komplek housing";"Rumah Hana";"3M8X+75H, Mantangisi, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah 94684";"Mantangisi, Kec. Ampana Tete, Kabupaten Tojo Una-Una";"SULAWESI TENGAH";"94684";"Indonesia";"";"";"";"-0.9342826";"121.6986144";"https://maps.google.com/?cid=0x0:0x9dc84124682d2494";""
"komplek housing";"komplek housing";"Rahmat Stay";"3HJV+78M, Uentanaga Atas, Kec. Ampana Kota, Kabupaten Tojo Una-Una, Sulawesi Tengah 94683";"Uentanaga Atas, Kec. Ampana Kota, Kabupaten Tojo Una-Una";"SULAWESI TENGAH";"94683";"Indonesia";"";"";"";"-0.9188965";"121.5934466";"https://maps.google.com/?cid=0x0:0x5c1826dda8210c0e";""
"komplek housing";"komplek housing";"Kec. Ampana Tete";"Kabupaten Tojo Una-Una, Sulawesi Tengah";"Kabupaten Tojo Una-Una, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-1.1288349";"121.7651362";"https://maps.google.com/?cid=0x0:0x4030bfbcaf78210";""
"komplek housing";"Pembangunan Perumahan";"Uebone";"3MV3+Q6R, Uebone, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah 94684";"Uebone, Kec. Ampana Tete, Kabupaten Tojo Una-Una";"SULAWESI TENGAH";"94684";"Indonesia";"";"";"";"-0.905523";"121.6530292";"https://maps.google.com/?cid=0x0:0x4f227cf8067ad69b";""
"komplek housing";"Komplek perumahan";"Rumah pak makmur lantuka";"2PWC+967, Bantuga, Kec. Ampana Tete, Kabupaten Tojo Una-Una, Sulawesi Tengah 94684";"Bantuga, Kec. Ampana Tete, Kabupaten Tojo Una-Una";"SULAWESI TENGAH";"94684";"Indonesia";"";"";"";"-0.9541282";"121.7205706";"https://maps.google.com/?cid=0x0:0x15f08efabb133cad";""
