Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
building materials,building materials,Sulawesi Tengah 94111,"Kota Palu, Sulawesi Tengah","Kota Palu, Sulawesi Tengah",SULAWESI TENGAH,,Indonesia,,,,-0.9094954,119.8930904,https://maps.google.com/?cid=0x0:0x5ffb3dc81f732f52,
building materials,Toko Bahan Bangunan,MALEO UTAMA,"Jl. Maleo No.73, Tanamodindi, Kec. Mantikulore, Kota Palu, Sulawesi Tengah 94223","Tanamodindi, Kec. Mantikulore, Kota Palu",SULAWESI TENGAH,94223.0,Indonesia,82347233311.0,,,-0.9040322,119.8989519,https://maps.google.com/?cid=0x0:0x608368bf15f3f015,
building materials,Toko Bahan Bangunan,Mitra Abadi Bangunan,"Jl. Veteran No.157A, Lasoani, Kec. Mantikulore, Kota Palu, Sulawesi Tengah 94114","Lasoani, Kec. Mantikulore, Kota Palu",SULAWESI TENGAH,94114.0,Indonesia,82225000550.0,,,-0.8992779,119.8996536,https://maps.google.com/?cid=0x0:0x553a19981cd9edd6,
building materials,Toko Bahan Bangunan,MANIORA DEPO,"Jl. Bali No.321, Lolu Utara, Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94111","Lolu Utara, Kec. Palu Tim., Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,82393693909.0,,,-0.9024285,119.8720374,https://maps.google.com/?cid=0x0:0xef99dc68a277c9e7,
building materials,Toko Bahan Bangunan,Union Bangunan Building Centre,"3VH5+778, Jl. I Gusti Ngurah Rai, Pengawu, Kec. Tatanga, Kota Palu, Sulawesi Tengah 94111","Jl. I Gusti Ngurah Rai, Pengawu, Kec. Tatanga, Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,8114552999.0,,,-0.9218438,119.8582153,https://maps.google.com/?cid=0x0:0xddf5d532d5377812,
building materials,Toko Bahan Bangunan,Sumber Makmur ( PT Bisnis Makmur Abadi),"Jl. Jenderal Basuki Rahmat No.138, Birobuli Utara, Kec. Palu Sel., Sulawesi Tengah, 94126","Birobuli Utara, Kec. Palu Sel.",SULAWESI TENGAH,94126.0,Indonesia,81234555837.0,,,-0.9190866,119.8879247,https://maps.google.com/?cid=0x0:0xa30f9dd0569062cd,
building materials,Toko Bahan Bangunan,Toko Perdana Bangunan,"Jl. Yos Sudarso No.86, Talise, Kec. Mantikulore, Kota Palu, Sulawesi Tengah 94118","Talise, Kec. Mantikulore, Kota Palu",SULAWESI TENGAH,94118.0,Indonesia,85291076999.0,,,-0.87298,119.8743658,https://maps.google.com/?cid=0x0:0xefdddca9936630de,
building materials,Toko Bahan Bangunan,Toko Bangunan Leo Bangun Perdana,"Jl. Gatot Subroto No.65, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111","Lolu Utara, Kec. Palu Sel., Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,82261699898.0,,,-0.8981336,119.873893,https://maps.google.com/?cid=0x0:0x67da997082b82d73,
building materials,Toko Bahan Bangunan,Union Bangunan KWT,"Kawatuna, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94234","Kec. Palu Sel., Kota Palu",SULAWESI TENGAH,94234.0,Indonesia,8114551900.0,,,-0.9117906,119.9254883,https://maps.google.com/?cid=0x0:0x6dc2c92f1b307a41,
building materials,Toko Bahan Bangunan,Toko Bangunan Kota Makmur,"Jl. Wolter Monginsidi No.85, Lolu Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111","Lolu Sel., Kec. Palu Sel., Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,813410014466.0,,,-0.9042339,119.8748245,https://maps.google.com/?cid=0x0:0xbedad4f99e9afa09,
building materials,Toko Bahan Bangunan,TOKO CAHAYA SULAWESI,"Jl. Tombolotutu, Talise, Kec. Mantikulore, Kota Palu, Sulawesi Tengah 94118","Talise, Kec. Mantikulore, Kota Palu",SULAWESI TENGAH,94118.0,Indonesia,82154010819.0,,,-0.8871369,119.8845481,https://maps.google.com/?cid=0x0:0x878258e57f2ec65c,
building materials,Toko Bahan Bangunan,Toko Cahaya Prima,"Jalan Veteran No.126, Tanamodindi, Palu Selatan, Tanamodindi, Kec. Mantikulore, Kota Palu, Sulawesi Tengah 94111","Tanamodindi, Palu Selatan, Tanamodindi, Kec. Mantikulore, Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,81354400047.0,,,-0.899407,119.8972781,https://maps.google.com/?cid=0x0:0x5e69b3d9bd208f8d,
building materials,building materials,Cv PaluKarya Membangun,,,SULAWESI TENGAH,,Indonesia,82259287085.0,,,-1.1327955,121.81473,https://maps.google.com/?cid=0x0:0x1ebf99d3a355e71e,
building materials,Toko Alat-Alat,Sinar Logam. UD,"Jalan Danau Poso No.15 Ujuna, Siranindi, Kec. Palu Bar., Kota Palu, Sulawesi Tengah 94222","Siranindi, Kec. Palu Bar., Kota Palu",SULAWESI TENGAH,94222.0,Indonesia,82346532668.0,,,-0.8999507,119.861213,https://maps.google.com/?cid=0x0:0x3ed15146433d491b,
building materials,Toko Bahan Bangunan,Tb Cahaya Maleo@ Maleo Bangunan,"Jl. Sisingamangaraja No.19, Besusu Tim., Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94118","Besusu Tim., Kec. Palu Tim., Kota Palu",SULAWESI TENGAH,94118.0,Indonesia,81321232227.0,,,-0.8901234,119.8857034,https://maps.google.com/?cid=0x0:0xf6462efda013dfbd,
building materials,Toko Bahan Bangunan,EmpatDua Bangunan,"Jl. WR. Supratman No.24, Kamonji, Kec. Palu Bar., Kota Palu, Sulawesi Tengah 94223","Kamonji, Kec. Palu Bar., Kota Palu",SULAWESI TENGAH,94223.0,Indonesia,,,,-0.8965419,119.8514889,https://maps.google.com/?cid=0x0:0xc9958af39ffb5f08,
building materials,Toko Bahan Bangunan,Toko Metro Bangunan,"Jl. Emmy Saelan No.31B, Tatura Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111","Tatura Sel., Kec. Palu Sel., Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,82338997005.0,,,-0.910641,119.8761617,https://maps.google.com/?cid=0x0:0x5e1a2f6cb2e0277a,
building materials,Toko Cat,TK.PANGLIMA BANGUNAN,"Besusu Bar., Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94111","Kec. Palu Tim., Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,451422642.0,,,-0.8923399,119.8670435,https://maps.google.com/?cid=0x0:0xcde7690704fe2be9,
building materials,Toko Bahan Bangunan,Siranindi Gypsum Toko,"JL. Gumbasa, No. 23, Nunu,, Palu Barat Kota Palu,, Ujuna, Kec. Palu Bar., Kota Palu, Sulawesi Tengah 94111","No. 23, Nunu,, Palu Barat Kota Palu,, Ujuna, Kec. Palu Bar., Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,82291304789.0,,,-0.899885,119.8636466,https://maps.google.com/?cid=0x0:0x36f41fdd6f15bcc0,
building materials,Toko Bahan Bangunan,"Tb. Top Bangunan, Palu","Jl. Sungai Lariang No.65, Nunu, Kec. Palu Bar., Kota Palu, Sulawesi Tengah 94111","Nunu, Kec. Palu Bar., Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,81341140087.0,,,-0.9055378,119.8635847,https://maps.google.com/?cid=0x0:0x4c10cf140a7a3167,
building materials,Toko Bahan Bangunan,Toko Berkat Jaya Bagunan,"3VH9+4M8, Tawanjuka, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111","Tawanjuka, Kec. Palu Sel., Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,,,,-0.9222013,119.8692019,https://maps.google.com/?cid=0x0:0xc5d46bd481096463,
building materials,Toko Bahan Bangunan,Toko bangunan Galaxy,"JL Emmy Saelan, 38, Palu, 94113, Tatura Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111","Palu,",SULAWESI TENGAH,94113.0,Indonesia,85341419078.0,,,-0.912142,119.8760537,https://maps.google.com/?cid=0x0:0x9b9b42c6dc387936,
building materials,Toko Bahan Bangunan,T.B Sukses Bangunan,"3VG6+8H8, Jl. Tavanjuka Permai, Palupi, Kec. Tatanga, Kota Palu, Sulawesi Tengah 94111","Jl. Tavanjuka Permai, Palupi, Kec. Tatanga, Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,,,,-0.9242136,119.8614668,https://maps.google.com/?cid=0x0:0xd72fc3cc0aee51ba,
building materials,Toko Bahan Bangunan,Sinar Baru Toko,"Jl. Wolter Monginsidi No.59, Lolu Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111","Lolu Sel., Kec. Palu Sel., Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,85102715404.0,,,-0.9029427,119.8744371,https://maps.google.com/?cid=0x0:0xf9ba68dac5a977fc,
building materials,Toko Bahan Bangunan,SUL JAYA,"Jl. Emmy Saelan No.157, Tatura Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111","Tatura Sel., Kec. Palu Sel., Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,,,,-0.917631,119.8767024,https://maps.google.com/?cid=0x0:0x8e966fa2487d436b,
building materials,Toko Bahan Bangunan,CV Adil Pratama,"Jl. Jenderal Basuki Rahmat No.3, Birobuli Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111","Birobuli Utara, Kec. Palu Sel., Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,82190126138.0,,,-0.9187557,119.8771033,https://maps.google.com/?cid=0x0:0xb522dfed48b14476,
building materials,Pemasok Bahan Bangunan,Toko Neo Bangunan,"Jl. Dewi Sartika No.49, Birobuli Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111","Birobuli Utara, Kec. Palu Sel., Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,82221116638.0,,,-0.922699,119.8945591,https://maps.google.com/?cid=0x0:0x711946f65830e472,
