Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Sulawesi Tengah 94972";"Kabupaten Morowali Utara, Sulawesi Tengah";"Kabupaten Morowali Utara, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-1.6248083";"121.7195459";"https://maps.google.com/?cid=0x0:0xe9e478f27d681886";""
"komplek housing";"Pembangunan Perumahan";"Sulteng, morowali utara, petasia timur poranda, bungintimbe";"HC9W+59H, Taronggo, Kec. Bungku Utara, Kabupaten Morowali Utara, Sulawesi Tengah";"Kabupaten Morowali Utara, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";" 082171124485";"";"";"-1.4320653";"121.4459985";"https://maps.google.com/?cid=0x0:0xd66516c8e4a80915";""
"komplek housing";"Komplek perumahan";"Lemo";"8Q93+2FH, Lemo, Kec. Bungku Utara, Kabupaten Morowali, Sulawesi Tengah 94972";"Lemo, Kec. Bungku Utara, Kabupaten Morowali";"SULAWESI TENGAH";"94972";"Indonesia";"";"";"";"-1.6824256";"121.7537404";"https://maps.google.com/?cid=0x0:0x39a90714a2aa0067";""
"komplek housing";"Komplek perumahan";"Tempat ba kendu²";"HC9W+X6Q, Taronggo, Kec. Bungku Utara, Kabupaten Morowali Utara, Sulawesi Tengah";"Kabupaten Morowali Utara, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-1.4300254";"121.4456179";"https://maps.google.com/?cid=0x0:0xa8f7a8c8ae27000f";""
"komplek housing";"Komplek perumahan";"rumah anca";"7RC4+2FG, Siliti, Kec. Bungku Utara, Kabupaten Morowali Utara, Sulawesi Tengah 94972";"Siliti, Kec. Bungku Utara, Kabupaten Morowali Utara";"SULAWESI TENGAH";"94972";"Indonesia";"";"";"";"-1.7298263";"121.8067828";"https://maps.google.com/?cid=0x0:0x75aa65c8456f4282";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Home indi";"HC9W+X6Q, Taronggo, Kec. Bungku Utara, Kabupaten Morowali Utara, Sulawesi Tengah";"Kabupaten Morowali Utara, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-1.4300254";"121.4456179";"https://maps.google.com/?cid=0x0:0x5c042c18186b74d1";""
"komplek housing";"Komplek perumahan";"Aqsa Home";"Jln Tinumbu No.Rt 02, Dusun Ini, Siliti, Kec. Bungku Utara, Kabupaten Morowali Utara, Sulawesi Tengah 94972";"Dusun Ini, Siliti, Kec. Bungku Utara, Kabupaten Morowali Utara";"SULAWESI TENGAH";"94972";"Indonesia";"";"";"";"-1.7285542";"121.8074229";"https://maps.google.com/?cid=0x0:0xe7b688dec4a4f6b6";""
"komplek housing";"Komplek perumahan";"Lorong";"7Q55+F75, Tirongan Atas, Kec. Bungku Utara, Kabupaten Morowali Utara, Sulawesi Tengah";"Kabupaten Morowali Utara, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-1.7416905";"121.7575755";"https://maps.google.com/?cid=0x0:0x5fdef3c09719ec61";""
"komplek housing";"Komplek perumahan";"Pondok mulia jaya";"9993+GMF, Matube, Kec. Bungku Utara, Kabupaten Morowali Utara, Sulawesi Tengah";"Kabupaten Morowali Utara, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-1.6311761";"121.3541631";"https://maps.google.com/?cid=0x0:0x3e14ffc9902ebe03";""
"komplek housing";"Komplek perumahan";"Hanga Hanga";"HC9W+X6Q, Taronggo, Kec. Bungku Utara, Kabupaten Morowali Utara, Sulawesi Tengah";"Kabupaten Morowali Utara, Sulawesi Tengah";"SULAWESI TENGAH";"";"Indonesia";"";"";"";"-1.4300254";"121.4456179";"https://maps.google.com/?cid=0x0:0xb98df470084a28a2";""
