Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Sulawesi Tengah 94661,"Kec. Lage, Kabupaten Poso, Sulawesi Tengah","Kabupaten Poso, Sulawesi Tengah",SULAWESI TENGAH,,Indonesia,,,,-1.4909189,120.734995,https://maps.google.com/?cid=0x0:0xe2a1b811cce86d48,
hotel,hotel,Cameloan Hotel,"Jalan Tanjung Tururuka No. 43 Lolu Selatan, Tatura Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111","Tatura Utara, Kec. Palu Sel., Kota Palu",SULAWESI TENGAH,94111.0,Indonesia,895417300072.0,,,-0.9072941,119.8842516,https://maps.google.com/?cid=0x0:0x99e6316eb17d703b,
hotel,hotel,RedDoorz near Poso City Mall,"Jl. Pulau Sabang No.142, Kabupaten Poso, Sulawesi Tengah 94612",Kabupaten Poso,SULAWESI TENGAH,94612.0,Indonesia,895417300072.0,,,-1.3859868,120.7421216,https://maps.google.com/?cid=0x0:0xfa9d47731aa54647,
hotel,hotel,LOSMEN,"Unnamed Road, Danau, Kabupaten Poso, Sulawesi Tengah 94664","Danau, Kabupaten Poso",SULAWESI TENGAH,94664.0,Indonesia,85241317324.0,,,-1.7690163,120.6356845,https://maps.google.com/?cid=0x0:0x291c95dcd15bcdd4,
hotel,hotel,Losmen Alugoro,"Jl. Pulau Sumatera No.20, Gebang Rejo, Kec. Poso Kota, Kabupaten Poso, Sulawesi Tengah 94612","Gebang Rejo, Kec. Poso Kota, Kabupaten Poso",SULAWESI TENGAH,94612.0,Indonesia,85231072799.0,,,-1.3912736,120.7553569,https://maps.google.com/?cid=0x0:0x210d3f8873edd21d,
hotel,hotel,Hotel Oktaria Parigi Moutong,"Masigi, Kec. Parigi, Kabupaten Parigi Moutong, Sulawesi Tengah 94471","Kec. Parigi, Kabupaten Parigi Moutong",SULAWESI TENGAH,94471.0,Indonesia,81354321282.0,,,-0.8136588,120.1666225,https://maps.google.com/?cid=0x0:0x6a8a2e7918e60294,
hotel,hotel,Hotel Pantai Kartika Poso,"Jl. Pulau Sabang No.142, Kayamanya, Kec. Poso Kota, Kabupaten Poso, Sulawesi Tengah 94612","Kayamanya, Kec. Poso Kota, Kabupaten Poso",SULAWESI TENGAH,94612.0,Indonesia,4523224201.0,,,-1.3860634,120.7421279,https://maps.google.com/?cid=0x0:0xace99689973f01e8,
hotel,hotel,Hotel Kota,"3Q2Q+F75, Jl. S. Parman No.2, Luwuk, Kabupaten Banggai, Sulawesi Tengah 94711","Jl. S. Parman No.2, Luwuk, Kabupaten Banggai",SULAWESI TENGAH,94711.0,Indonesia,46121335.0,,,-0.9504929,122.791724,https://maps.google.com/?cid=0x0:0xde3019d7d6d0a23e,
hotel,hotel,Hotel 77 Poso,"Jl. Pulau Seram No.17, Gebang Rejo, Kec. Poso Kota, Kabupaten Poso, Sulawesi Tengah 94612","Gebang Rejo, Kec. Poso Kota, Kabupaten Poso",SULAWESI TENGAH,94612.0,Indonesia,81354217004.0,,,-1.3979694,120.7559896,https://maps.google.com/?cid=0x0:0xfdff19c28c1f1b7b,
hotel,hotel,My Love Guest house,"6JMH+RF, Pamona, Kec. Pamona Utara, Kabupaten Poso, Sulawesi Tengah","Kabupaten Poso, Sulawesi Tengah",SULAWESI TENGAH,,Indonesia,82190988608.0,,,-1.7653834,120.628595,https://maps.google.com/?cid=0x0:0x2591178ab0a58e5,
