Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
hotel;hotel;Sulawesi Utara 95231;"Wawonasa, Kec. Singkil, Kota Manado, Sulawesi Utara";"Kota Manado, Sulawesi Utara";SULAWESI UTARA;;Indonesia;;;;14.930.604;1.248.486.976;https://maps.google.com/?cid=0x0:0xd05e41d028e4ca62;
hotel;hotel;Three R Hotel;"Jl. Pangeran Hidayat No.19, Wawonasa, Kec. Singkil, Kota Manado, Sulawesi Utara";"Kota Manado, Sulawesi Utara";SULAWESI UTARA;;Indonesia;;;;14.933.355;1.248.482.647;https://maps.google.com/?cid=0x0:0xc8307c9e3aa870e0;
hotel;hotel;Hotel Aston Manado;"FRRR+6H4, Jl. Jendral Sudirman No.128, Wenang Utara, Kec. Wenang, Kota Manado, Sulawesi Utara 95123";"Jl. Jendral Sudirman No.128, Wenang Utara, Kec. Wenang, Kota Manado";SULAWESI UTARA;95123;Indonesia;04318888989;;;14.903.763;1.248.414.231;https://maps.google.com/?cid=0x0:0x799292e2dde50069;
hotel;hotel;JLE'S Hotel;"Kompleks Kanaka, Jl. Walanda Maramis No.101 A, Lingkungan III, Pinaesaan, Kec. Wenang, Kota Manado, Sulawesi Utara 95358";"Jl. Walanda Maramis No.101 A, Lingkungan III, Pinaesaan, Kec. Wenang, Kota Manado";SULAWESI UTARA;95358;Indonesia;04318806060;;;14.902.255;1.248.462.446;https://maps.google.com/?cid=0x0:0xce6252caff7ae917;
hotel;hotel;Istanaku Hotel;"No.6, Jl. W.R. Supratman, Lawangirung, Kec. Wenang, Sulawesi Utara, 95123";"Jl. W.R. Supratman, Lawangirung, Kec. Wenang";SULAWESI UTARA;95123;Indonesia;081341052357;;;14.877.624;1.248.475.543;https://maps.google.com/?cid=0x0:0xaea1ea6561d4c0f1;
hotel;hotel;Riverside Hotel;"Jl. Teuku Umar Jl. Cik Ditiro No.2, Istiqlal, Kec. Wenang, Kota Manado, Sulawesi Utara 96239";"Istiqlal, Kec. Wenang, Kota Manado";SULAWESI UTARA;96239;Indonesia;02129706666;;;14.958.245;1.248.451.922;https://maps.google.com/?cid=0x0:0x15779655eb3215b9;
hotel;hotel;NDC Spa  Resort;"GRHQ+RGP, Unnamed Road, Molas, Bunaken, Manado City, North Sulawesi";"Kota Manado, Sulawesi Utara";SULAWESI UTARA;;Indonesia;082187493881;;;15.295.892;1.248.388.232;https://maps.google.com/?cid=0x0:0x1815de13c87cd1a0;
hotel;hotel;Swiss-Belhotel Maleosan Manado;"Jl. Jendral Sudirman No.Kav 85-87, Pinaesaan, Kec. Wenang, Kota Manado, Sulawesi Utara 95122";"Pinaesaan, Kec. Wenang, Kota Manado";SULAWESI UTARA;95122;Indonesia;08114551488;;;14.886.102;1.248.465.894;https://maps.google.com/?cid=0x0:0x16969121114f7feb;
hotel;hotel;N/A;;;SULAWESI UTARA;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x16969121114f7feb%7C/g/1jkvf63cq%7Cen-ID;
hotel;Bar Karaoke;B-One bar and Karaoke;"Swiss-Belhotel Maleosan Manado, Jl. Jend. Sudirman Kav. 85 - 87, Lawangirung, Kec. Wenang, Kota Manado, Sulawesi Utara";"Kota Manado, Sulawesi Utara";SULAWESI UTARA;;Indonesia;0431861000;;;14.888.202;1.248.464.662;https://maps.google.com/?cid=0x0:0x3f56652c10f020b8;
hotel;hotel;Genio Hotel Manado;"Jl. Sugiono No.21, Pinaesaan, Kec. Wenang, Kota Manado, Sulawesi Utara 95122";"Pinaesaan, Kec. Wenang, Kota Manado";SULAWESI UTARA;95122;Indonesia;0431858888;;;14.927.379;124.845.749;https://maps.google.com/?cid=0x0:0xc8d21e06c1dfa4d7;
hotel;hotel;N/A;;;SULAWESI UTARA;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0xc8d21e06c1dfa4d7%7C/g/11bw47bk2q%7Cen-ID;
hotel;hotel;Uma Villa Manado;"Jl. Ring Road Jaga IX No.KM1, Maumbi, Minahasa Utara, Kota Manado, Sulawesi Utara 95129";"Maumbi, Minahasa Utara, Kota Manado";SULAWESI UTARA;95129;Indonesia;;;;14.789.318;1.248.897.831;https://maps.google.com/?cid=0x0:0xd2c28a4f5f3a2266;
