Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
mall;mall;Sulawesi Utara 95231;"Wawonasa, Kec. Singkil, Kota Manado, Sulawesi Utara";"Kota Manado, Sulawesi Utara";SULAWESI UTARA;;Indonesia;;;;14.930.604;1.248.486.976;https://maps.google.com/?cid=0x0:0xd05e41d028e4ca62;
mall;Pusat Perbelanjaan;Megamall Manado;"Kawasan Megamas, Kantor Pengelola Megamall, Jl. Piere Tendean, Wenang Sel., Kec. Wenang, Kota Manado, Sulawesi Utara 95234";"Kantor Pengelola Megamall, Jl. Piere Tendean, Wenang Sel., Kec. Wenang, Kota Manado";SULAWESI UTARA;95234;Indonesia;0431879889;;;14.839.687;1.248.348.372;https://maps.google.com/?cid=0x0:0xfcc9b9fa2283700;
mall;Pusat Perbelanjaan;Manado Town Square;"Jl. Piere Tendean, Kota Manado, Sulawesi Utara 95114";Kota Manado;SULAWESI UTARA;95114;Indonesia;;;;14.723.227;1.248.319.485;https://maps.google.com/?cid=0x0:0xea03227619d4f862;
mall;Tujuan Wisata;Taman Nasional Bunaken;"Kawasan Youth center, Pelabuhan Marina plazaa, Mega mas kawasan, Manado City, North Sulawesi";"Kota Manado, Sulawesi Utara";SULAWESI UTARA;;Indonesia;;;;16.193.013;124.766.174;https://maps.google.com/?cid=0x0:0x606df49ef663eff7;
mall;Pusat Perbelanjaan;Star Square Manado;"FR6G+V7M, Jl. R.W. Monginsidi VI, Bahu, Kec. Malalayang, Kota Manado, Sulawesi Utara";"Kota Manado, Sulawesi Utara";SULAWESI UTARA;;Indonesia;;;;14.622.127;1.248.256.859;https://maps.google.com/?cid=0x0:0x83f753d1d9781005;
mall;mall;Bunaken;Sulawesi Utara;Sulawesi Utara;SULAWESI UTARA;;Indonesia;;;;16.235.162;1.247.602.683;https://maps.google.com/?cid=0x0:0xe07329f226330faf;
mall;Pusat Perbelanjaan;Warong Bocil;"Jl. Arie Lasut No.7, Wawonasa, Kec. Singkil, Kota Manado, Sulawesi Utara 95231";"Wawonasa, Kec. Singkil, Kota Manado";SULAWESI UTARA;95231;Indonesia;;;;14.922.254;124.850.901;https://maps.google.com/?cid=0x0:0x93315627af52a293;
mall;Toko Kosmetik;Kosmetik manado;"FRRX+QVC, perempatan Karame samping penginapan, Wawonasa, Kec. Singkil, Kota Manado, Sulawesi Utara";"Kota Manado, Sulawesi Utara";SULAWESI UTARA;;Indonesia;085256847788;;;14.919.349;1.248.496.279;https://maps.google.com/?cid=0x0:0x33a8826297616bd9;
mall;Pasar tradisional;Pasar 45;"Jalan Sam Ratulangi No.6, Wenang Utara, Wenang, Jl. Dotulolong Lasut No.37, Pinaesaan, Kec. Wenang, Kota Manado, Sulawesi Utara";"Kota Manado, Sulawesi Utara";SULAWESI UTARA;;Indonesia;;;;14.924.698;1.248.408.313;https://maps.google.com/?cid=0x0:0x1a103badaae0b4f3;
mall;Toko Kosmetik;Sufitri Rauf Msglow;"FVV2+983, Singkil Dua, Kec. Singkil, Kota Manado, Sulawesi Utara";"Kota Manado, Sulawesi Utara";SULAWESI UTARA;;Indonesia;;;;14.933.972;1.248.508.104;https://maps.google.com/?cid=0x0:0x57a930b5d7a7a4e0;
mall;Pusat Perbelanjaan;Kawasan Megamas Manado;"Kawasan Megamas, Jl. Piere Tendean No.1 Blok 2B2, Kota Manado, Sulawesi Utara 95111";"Jl. Piere Tendean No.1 Blok 2B2, Kota Manado";SULAWESI UTARA;95111;Indonesia;04318881888;;;14.852.638;1.248.308.189;https://maps.google.com/?cid=0x0:0x670cdd279400252f;
mall;Establishment;Balai Taman Nasional Bunaken;"JQ98+CR5, Bunaken, Kec. Bunaken, Kota Manado, Sulawesi Utara";"Kota Manado, Sulawesi Utara";SULAWESI UTARA;;Indonesia;;;;16.185.083;1.247.670.939;https://maps.google.com/?cid=0x0:0x6b2e01dcd533a68c;
mall;mall;Grand Luley Manado;"Tongkeina, Kec. Bunaken, Kota Manado, Sulawesi Utara 95244";"Kec. Bunaken, Kota Manado";SULAWESI UTARA;95244;Indonesia;04318858222;;;15.729.306;124.810.409;https://maps.google.com/?cid=0x0:0xe06bd3c9ab8c00a;
mall;mall;N/A;;;SULAWESI UTARA;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0xe06bd3c9ab8c00a%7C/g/11xy39xm_%7Cen-ID;
mall;mall;"Bobocabin Bunaken Hills, Manado";"Jl. Molas-Tongkeina, Molas, Kec. Bunaken, Kota Manado, Sulawesi Utara 95231";"Molas, Kec. Bunaken, Kota Manado";SULAWESI UTARA;95231;Indonesia;081120031470;;;154.641;1.248.293.644;https://maps.google.com/?cid=0x0:0xdf5292b606f05b5c;
mall;mall;Nusantara Dian Centre. PT (NDC Resort );"Jl. Raya Molas, Lingkungan 4, Molas, Kec. Bunaken, Kota Manado, Sulawesi Utara";"Kota Manado, Sulawesi Utara";SULAWESI UTARA;;Indonesia;082255555129;;;15.295.776;1.248.388.263;https://maps.google.com/?cid=0x0:0x9959f2d9ed2d82d7;
mall;mall;Guesthouse Thalassa;"Jl. Raya Manado - Wori Jl. Lingkungan 2, Tongkeina, Kec. Bunaken, Kota Manado, Sulawesi Utara 95244";"Tongkeina, Kec. Bunaken, Kota Manado";SULAWESI UTARA;95244;Indonesia;0882021461066;;;15.716.014;1.248.122.504;https://maps.google.com/?cid=0x0:0xc19a3989715a4c52;
