Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Kec. Wawonii Bar.,"Konawe Kepulauan, Sulawesi Tenggara","Konawe Kepulauan, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-4.0251097,122.9901229,https://maps.google.com/?cid=0x0:0xbda035363ef97b99,
hotel,hotel,Hotel Wonua Monapa,"WCWW+88X, Jl. Poros Bandara Haluoleo, Ranooha, Kec. Ranomeeto, Kabupaten Konawe Selatan, Sulawesi Tenggara 93871","Jl. Poros Bandara Haluoleo, Ranooha, Kec. Ranomeeto, Kabupaten Konawe Selatan",SULAWESI TENGGARA,93871.0,Indonesia,4013196900.0,,,-4.05582,122.446666,https://maps.google.com/?cid=0x0:0x55056e76d27f6ff9,
hotel,hotel,SAWA BEACH RESORT,"Ds, RW.Pekarooa, Matanggonawe, Kec. Sawa, Kabupaten Konawe Utara, Sulawesi Tenggara 93352","RW.Pekarooa, Matanggonawe, Kec. Sawa, Kabupaten Konawe Utara",SULAWESI TENGGARA,93352.0,Indonesia,8114056864.0,,,-3.783229,122.4511684,https://maps.google.com/?cid=0x0:0x21bbabf4006bce95,
hotel,Pondok,Hotel WAHALA,"XXHV+68C, Unnamed Road, Langara Laut, Kec. Wawonii Bar., Konawe Kepulauan, Sulawesi Tenggara 93393","Unnamed Road, Langara Laut, Kec. Wawonii Bar., Konawe Kepulauan",SULAWESI TENGGARA,93393.0,Indonesia,85212300200.0,,,-4.0219377,122.9932642,https://maps.google.com/?cid=0x0:0x37b198084c4e169d,
hotel,Pondok,Penginapan Aprilia,"XXFQ+236, Unnamed Road, Mata Langara, Wawonii Barat, Konawe Islands Regency, South East Sulawesi 93393","Unnamed Road, Mata Langara, Wawonii Barat, Konawe Islands Regency",SULAWESI TENGGARA,93393.0,Indonesia,85398810246.0,,,-4.0274551,122.9876374,https://maps.google.com/?cid=0x0:0xa85a4564b25f05e2,
hotel,Hotel,Wisma Puncak Permata Biru,"XXHW+3X4, Bar., Langara Indah, Kec. Wawonii Bar., Kabupaten Konawe, Sulawesi Tenggara 93393","Bar., Langara Indah, Kec. Wawonii Bar., Kabupaten Konawe",SULAWESI TENGGARA,93393.0,Indonesia,81341522263.0,,,-4.0223679,122.9974395,https://maps.google.com/?cid=0x0:0x17c70010775b8489,
hotel,Hotel,Hotel Delta Resident,"XXGX+GQ9, Langara Laut, Kec. Wawonii Bar., Konawe Kepulauan, Sulawesi Tenggara 93393","Langara Laut, Kec. Wawonii Bar., Konawe Kepulauan",SULAWESI TENGGARA,93393.0,Indonesia,81245764342.0,,,-4.0237182,122.9994894,https://maps.google.com/?cid=0x0:0xd2b43c8beebf592e,
hotel,Hostel,Riskial Hotel,"XXFQ+PVM, Unnamed Road, Langara Iwawo, Wawonii Barat, Konawe Islands Regency, South East Sulawesi 93393","Unnamed Road, Langara Iwawo, Wawonii Barat, Konawe Islands Regency",SULAWESI TENGGARA,93393.0,Indonesia,,,,-4.0256728,122.9896752,https://maps.google.com/?cid=0x0:0x1bcab6840dcbc520,
hotel,Hotel,Penginapan Lensea,"Mata Langara, Langara Laut, Sulawesi Tenggara 93391",Langara Laut,SULAWESI TENGGARA,93391.0,Indonesia,81245558060.0,,,-4.0288457,122.9884879,https://maps.google.com/?cid=0x0:0x8ef6914880810231,
hotel,Hotel,Hotel Rezky,"XXFR+X25, Desa Lantula, Kec. Wawonii Bar., Konawe Kepulauan, Sulawesi Tenggara","Konawe Kepulauan, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-4.0251097,122.9901229,https://maps.google.com/?cid=0x0:0x92a8fda9430a5b96,
hotel,Hostel,Penginapan Aulia,"XXCQ+PX5, Bar.,, Lamoluo, Kec. Wawonii Bar., Kabupaten Konawe, Sulawesi Tenggara 93393","Bar.,, Lamoluo, Kec. Wawonii Bar., Kabupaten Konawe",SULAWESI TENGGARA,93393.0,Indonesia,81356589758.0,,,-4.0282484,122.9899912,https://maps.google.com/?cid=0x0:0xc88473c99215b4ee,
hotel,Rumah wisata,Rumah Kost Asmila,"XXJW+892, Langaro Bajo, Kec. Wawonii Bar., Kabupaten Konawe, Sulawesi Tenggara","Kabupaten Konawe, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-4.0187212,122.9958188,https://maps.google.com/?cid=0x0:0x98b2eb85a7f38520,
hotel,hotel,Kec. Wawonii Sel.,"Konawe Kepulauan, Sulawesi Tenggara","Konawe Kepulauan, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-4.2028994,123.010426,https://maps.google.com/?cid=0x0:0xb39af7237da21d46,
hotel,Pondok,Hotel WAHALA,"XXHV+68C, Unnamed Road, Langara Laut, Kec. Wawonii Bar., Konawe Kepulauan, Sulawesi Tenggara 93393","Unnamed Road, Langara Laut, Kec. Wawonii Bar., Konawe Kepulauan",SULAWESI TENGGARA,93393.0,Indonesia,85212300200.0,,,-4.0219377,122.9932642,https://maps.google.com/?cid=0x0:0x37b198084c4e169d,
hotel,Hotel,Hotel Delta Resident,"XXGX+GQ9, Langara Laut, Kec. Wawonii Bar., Konawe Kepulauan, Sulawesi Tenggara 93393","Langara Laut, Kec. Wawonii Bar., Konawe Kepulauan",SULAWESI TENGGARA,93393.0,Indonesia,81245764342.0,,,-4.0237182,122.9994894,https://maps.google.com/?cid=0x0:0xd2b43c8beebf592e,
hotel,hotel,Hotel Wonua Monapa,"WCWW+88X, Jl. Poros Bandara Haluoleo, Ranooha, Kec. Ranomeeto, Kabupaten Konawe Selatan, Sulawesi Tenggara 93871","Jl. Poros Bandara Haluoleo, Ranooha, Kec. Ranomeeto, Kabupaten Konawe Selatan",SULAWESI TENGGARA,93871.0,Indonesia,4013196900.0,,,-4.05582,122.446666,https://maps.google.com/?cid=0x0:0x55056e76d27f6ff9,
hotel,hotel,Hotel Qubah 9 Kendari,"Jl. Martandu No.99A, Kambu, Kec. Kambu, Kota Kendari, Sulawesi Tenggara 93231","Kambu, Kec. Kambu, Kota Kendari",SULAWESI TENGGARA,93231.0,Indonesia,4013136047.0,,,-4.0082509,122.5345007,https://maps.google.com/?cid=0x0:0x16da52124c17b9e7,
hotel,hotel,SAWA BEACH RESORT,"Ds, RW.Pekarooa, Matanggonawe, Kec. Sawa, Kabupaten Konawe Utara, Sulawesi Tenggara 93352","RW.Pekarooa, Matanggonawe, Kec. Sawa, Kabupaten Konawe Utara",SULAWESI TENGGARA,93352.0,Indonesia,8114056864.0,,,-3.783229,122.4511684,https://maps.google.com/?cid=0x0:0x21bbabf4006bce95,
hotel,hotel,Hotel Wixel,"Jl. Edi Sabara, Lahundape, Kec. Kendari Bar., Kota Kendari, Sulawesi Tenggara 93121","Lahundape, Kec. Kendari Bar., Kota Kendari",SULAWESI TENGGARA,93121.0,Indonesia,4013367789.0,,,-3.9683395,122.5311781,https://maps.google.com/?cid=0x0:0x44afc4fbdf6300cb,
