Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
building materials,building materials,Sulawesi Tenggara 93614,"Kec. Batalaiworu, Kabupaten Muna, Sulawesi Tenggara","Kabupaten Muna, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-4.812532,122.7124903,https://maps.google.com/?cid=0x0:0x88cb32d4ec6276af,
building materials,,UD. Mitra Bangunan raha,"5PMM+64M, Jl. Lumba-Lumba, Laiworu, Kec. Batalaiworu, Kabupaten Muna, Sulawesi Tenggara 93614","Jl. Lumba-Lumba, Laiworu, Kec. Batalaiworu, Kabupaten Muna",SULAWESI TENGGARA,93614.0,Indonesia,,,,-4.8169218,122.7328068,https://maps.google.com/?cid=0x0:0xcb0c30522e00e004,
building materials,Toko Bahan Bangunan,Merkusi Karya Pratama. PT,"5P9C+J65, Desa Maperaha, Lawa Raha, Raha II, Kec. Katobu, Kabupaten Muna, Sulawesi Tenggara 93611","Desa Maperaha, Lawa Raha, Raha II, Kec. Katobu, Kabupaten Muna",SULAWESI TENGGARA,93611.0,Indonesia, 040321039,,,-4.830997,122.720618,https://maps.google.com/?cid=0x0:0x989f34a5339dae31,
building materials,Toko Bahan Bangunan,PT. Fajar Alam Timber Corp,"5P9C+2CW, Raha II, Kec. Katobu, Kabupaten Muna, Sulawesi Tenggara 93611","Raha II, Kec. Katobu, Kabupaten Muna",SULAWESI TENGGARA,93611.0,Indonesia, 04032521256,,,-4.832386,122.72108,https://maps.google.com/?cid=0x0:0x4e1ecd72ff3f520b,
building materials,Toko Bahan Bangunan,UD. RAUDHA 77,"5M6P+6PP, Jl. Poros Raha-Kusambi, Wali, Kec. Watopute, Kabupaten Muna, Sulawesi Tenggara 93656","Jl. Poros Raha-Kusambi, Wali, Kec. Watopute, Kabupaten Muna",SULAWESI TENGGARA,93656.0,Indonesia, 081245812171,,,-4.8394068,122.6868417,https://maps.google.com/?cid=0x0:0x3d304d62f026517,
building materials,Toko Bahan Bangunan,Jatimber Indonusa. PT,"5P9C+892, Desa Wakadia, Kusambi Raha, Raha II, Kec. Katobu, Kabupaten Muna, Sulawesi Tenggara 93611","Desa Wakadia, Kusambi Raha, Raha II, Kec. Katobu, Kabupaten Muna",SULAWESI TENGGARA,93611.0,Indonesia, 040321170,,,-4.831745,122.7208751,https://maps.google.com/?cid=0x0:0xa002cf4aae9c3045,
building materials,Toko Perlengkapan Rumah,Sowitento. UD,"5PCC+296, Desa Wakadia, Kusambi Raha, Raha II, Kec. Katobu, Kabupaten Muna, Sulawesi Tenggara 93611","Desa Wakadia, Kusambi Raha, Raha II, Kec. Katobu, Kabupaten Muna",SULAWESI TENGGARA,93611.0,Indonesia, 040321296,,,-4.82997,122.720876,https://maps.google.com/?cid=0x0:0x97cb58960369ce4a,
building materials,Toko Bahan Bangunan,Baja,"5PJ8+H4F, Lrg. Pendidikan, Raha III, Kec. Katobu, Kabupaten Muna, Sulawesi Tenggara 93614","Lrg. Pendidikan, Raha III, Kec. Katobu, Kabupaten Muna",SULAWESI TENGGARA,93614.0,Indonesia,,,,-4.8185601,122.7153067,https://maps.google.com/?cid=0x0:0x83db7f63c91a0dc8,
building materials,Toko Bahan Bangunan,Mami Bangunan,"5PGG+JPV, Jl. Tengiri, Butung-Butung, Kec. Katobu, Kabupaten Muna, Sulawesi Tenggara 93614","Jl. Tengiri, Butung-Butung, Kec. Katobu, Kabupaten Muna",SULAWESI TENGGARA,93614.0,Indonesia,,,,-4.8233911,122.7267842,https://maps.google.com/?cid=0x0:0x9b3c89bb4bbf24,
building materials,Toko Perlengkapan Rumah,Toko I T E,"5PHC+625, Jl. Made Sabara, Raha III, Kec. Batalaiworu, Kabupaten Muna, Sulawesi Tenggara 93614","Jl. Made Sabara, Raha III, Kec. Batalaiworu, Kabupaten Muna",SULAWESI TENGGARA,93614.0,Indonesia, 082259489892,,,-4.8219819,122.7200979,https://maps.google.com/?cid=0x0:0xb05ce24a90c799ba,
building materials,Toko Bahan Bangunan,Toko Dian Jaya,"5PJF+2GF, Jl. Lumba-Lumba, Wamponiki, Kec. Katobu, Kabupaten Muna, Sulawesi Tenggara 93614","Jl. Lumba-Lumba, Wamponiki, Kec. Katobu, Kabupaten Muna",SULAWESI TENGGARA,93614.0,Indonesia,,,,-4.8199283,122.7237948,https://maps.google.com/?cid=0x0:0x1cc7c90b3fbefd9a,
building materials,Toko Bahan Bangunan,TOKO SINAR,"5PMJ+9XQ, Laiworu, Kec. Batalaiworu, Kabupaten Muna, Sulawesi Tenggara 93614","Laiworu, Kec. Batalaiworu, Kabupaten Muna",SULAWESI TENGGARA,93614.0,Indonesia,,,,-4.8165447,122.7324924,https://maps.google.com/?cid=0x0:0xd6bcc0a328f4d5c,
building materials,Inspektur Tempat Tinggal,Indomitrauniversal,"Jl. Lumba-Lumba, RT./RW/RW.002/004, Laiworu, Kec. Batalaiworu, Kabupaten Muna, Sulawesi Tenggara 93614","RT./RW/RW.002/004, Laiworu, Kec. Batalaiworu, Kabupaten Muna",SULAWESI TENGGARA,93614.0,Indonesia, 082293314746,,,-4.8170416,122.7302201,https://maps.google.com/?cid=0x0:0x651efe50c1b2cb88,
building materials,Toko Bahan Bangunan,Ud.99 Aluminium,"5PFF+8R6, Jl. Gatot Subroto, Butung-Butung, Kec. Katobu, Kabupaten Muna, Sulawesi Tenggara 93611","Jl. Gatot Subroto, Butung-Butung, Kec. Katobu, Kabupaten Muna",SULAWESI TENGGARA,93611.0,Indonesia,,,,-4.8267096,122.7245132,https://maps.google.com/?cid=0x0:0xa8b52b3ff54a27bc,
building materials,Toko Bahan Bangunan,TOKO RADAR (Material Bangunal),"5P4G+F3V, Jl. Jend. Sudirman, Bone Balano, Kec. Duruka, Kabupaten Muna, Sulawesi Tenggara 93611","Jl. Jend. Sudirman, Bone Balano, Kec. Duruka, Kabupaten Muna",SULAWESI TENGGARA,93611.0,Indonesia,,,,-4.8437672,122.7251702,https://maps.google.com/?cid=0x0:0x77d844dfb9e7b0db,
