Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
building materials,building materials,Sulawesi Tenggara 93652,"Kabupaten Muna, Sulawesi Tenggara","Kabupaten Muna, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-4.8874972,122.5598994,https://maps.google.com/?cid=0x0:0x34e12d7c7d7a4631,
building materials,Toko Bahan Bangunan,TK Sinar Mandar,"Jl. Jend. Ahmad Yani No.88 G, Mataiwoi, Kec. Wua-Wua, Kota Kendari, Sulawesi Tenggara 93117","Mataiwoi, Kec. Wua-Wua, Kota Kendari",SULAWESI TENGGARA,93117.0,Indonesia, 085342409309,,,-3.9887697,122.5056932,https://maps.google.com/?cid=0x0:0x64648d2b4a2e3c60,
building materials,Toko Bahan Bangunan,Tb.Cahaya Bulu Kumba,"2GP5+Q54, Jl. Suprapto, Tobuuha, Kec. Puuwatu, Kota Kendari, Sulawesi Tenggara 93111","Jl. Suprapto, Tobuuha, Kec. Puuwatu, Kota Kendari",SULAWESI TENGGARA,93111.0,Indonesia,,,,-3.9631174,122.5079655,https://maps.google.com/?cid=0x0:0xb9a7205bc7df797a,
building materials,Toko Bahan Bangunan,UD Lambubalano Jaya / Sentral Keramik,"5G8C+489, Desa Wuna, Jalan poros Lagadi, Tondasi, Kec. Barangka, Muna Barat, Sulawesi Tenggara 93657","Desa Wuna, Jalan poros Lagadi, Tondasi, Kec. Barangka, Muna Barat",SULAWESI TENGGARA,93657.0,Indonesia, 082292835450,,,-4.834703,122.5208635,https://maps.google.com/?cid=0x0:0x8a1ad4343897ed21,
building materials,building materials,g3hBaLubK_nr1e8P_ozViA4,,,SULAWESI TENGGARA,,Indonesia, 081271109313,,,-4.8369366,122.5891495,https://maps.google.com/?cid=0x0:0x1ac683bcbcada761,
building materials,building materials,Barangka,"Marikina City, Metro Manila, Filipina","Marikina City, Metro Manila, Filipina",SULAWESI TENGGARA,,Indonesia,,,,14.6382755,121.0836691,https://maps.google.com/?cid=0x0:0xb06d0bc6c0ed719,
building materials,Toko Bahan Bangunan,A. BONIFACIO HARDWARE AND CONSTRUCTION SUPPLY,"177 A. Bonifacio Ave, Marikina City, 1800 Metro Manila, Filipina","Marikina City, Metro Manila, Filipina",SULAWESI TENGGARA,,Indonesia, +639176371878,,,14.6343854,121.0864993,https://maps.google.com/?cid=0x0:0x548466b352a4514d,
building materials,Toko Bahan Bangunan,NMS Construction Supply Showroom,"J3MQ+R84, St Bernadette, Marikina City, 1800 Metro Manila, Filipina","Marikina City, Metro Manila, Filipina",SULAWESI TENGGARA,,Indonesia,,,,14.634509,121.0883252,https://maps.google.com/?cid=0x0:0xeae66d9b7aa47de8,
building materials,Toko Bahan Bangunan,Abb Industrial Paint  Construction Supply,"167 A. Bonifacio Ave, Marikina City, 1803 Metro Manila, Filipina","Marikina City, Metro Manila, Filipina",SULAWESI TENGGARA,,Indonesia, +63289413942,,,14.6346901,121.0871121,https://maps.google.com/?cid=0x0:0xaec16af705e8cea4,
building materials,Toko Bahan Bangunan,Metalframes Supply Corporation,"107 Lopez Jaena St, Marikina City, 1800 Metro Manila, Filipina","Marikina City, Metro Manila, Filipina",SULAWESI TENGGARA,,Indonesia, +63288997325,,,14.6362115,121.0892422,https://maps.google.com/?cid=0x0:0xde9535d0d9e2fe06,
