Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,Pusat Perbelanjaan,Lippo Plaza Baubau,"GJQ9+JR2, Batulo, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93716","Batulo, Kec. Wolio, Kota Bau-Bau",SULAWESI TENGGARA,93716.0,Indonesia,,,,-5.4609875,122.6195156,https://maps.google.com/?cid=0x0:0xa36840a3dba9c932,
mall,Pusat Perbelanjaan,Mall Plaza,"FHVW+5Q6, Waborobo, Kec. Betoambari, Kota Bau-Bau, Sulawesi Tenggara 93721","Waborobo, Kec. Betoambari, Kota Bau-Bau",SULAWESI TENGGARA,93721.0,Indonesia,,,,-5.507078,122.596901,https://maps.google.com/?cid=0x0:0xb838977c27239e8f,
mall,Toko Perlengkapan Olahraga,Matahari Lippo Plaza Buton,"Jl. Sultan Hasanuddin No.58, Batulo, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93717","Batulo, Kec. Wolio, Kota Bau-Bau",SULAWESI TENGGARA,93717.0,Indonesia, 04022823896,,,-5.4608048,122.6186853,https://maps.google.com/?cid=0x0:0x4b1822cf64dffdf4,
mall,Pusat Perbelanjaan,Lippo Plaza Baubau,"GJQ9+JR2, Batulo, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93716","Batulo, Kec. Wolio, Kota Bau-Bau",SULAWESI TENGGARA,93716.0,Indonesia,,,,-5.4609875,122.6195156,https://maps.google.com/?cid=0x0:0xa36840a3dba9c932,
mall,Pusat Perbelanjaan,Mall Plaza,"FHVW+5Q6, Waborobo, Kec. Betoambari, Kota Bau-Bau, Sulawesi Tenggara 93721","Waborobo, Kec. Betoambari, Kota Bau-Bau",SULAWESI TENGGARA,93721.0,Indonesia,,,,-5.507078,122.596901,https://maps.google.com/?cid=0x0:0xb838977c27239e8f,
mall,Toko Perlengkapan Olahraga,Matahari Lippo Plaza Buton,"Jl. Sultan Hasanuddin No.58, Batulo, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93717","Batulo, Kec. Wolio, Kota Bau-Bau",SULAWESI TENGGARA,93717.0,Indonesia, 04022823896,,,-5.4608048,122.6186853,https://maps.google.com/?cid=0x0:0x4b1822cf64dffdf4,
mall,mall,Ramada by Wyndham Fresno Northwest,"5046 N Barcus Ave, Fresno, CA 93722, Amerika Serikat","Fresno, CA",SULAWESI TENGGARA,93722.0,Indonesia, +15597084880,,,36.8091682,-119.8846389,https://maps.google.com/?cid=0x0:0x9832cf4c688573fa,
mall,mall,Sulawesi Tenggara 93721,Sulawesi Tenggara,Sulawesi Tenggara,SULAWESI TENGGARA,,Indonesia,,,,-5.5209155,122.6164409,https://maps.google.com/?cid=0x0:0x5c44f4a279c46564,
mall,Pusat Perbelanjaan,Mall Plaza,"FHVW+5Q6, Waborobo, Kec. Betoambari, Kota Bau-Bau, Sulawesi Tenggara 93721","Waborobo, Kec. Betoambari, Kota Bau-Bau",SULAWESI TENGGARA,93721.0,Indonesia,,,,-5.507078,122.596901,https://maps.google.com/?cid=0x0:0xb838977c27239e8f,
mall,Pusat Perbelanjaan,Lippo Plaza Baubau,"GJQ9+JR2, Batulo, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93716","Batulo, Kec. Wolio, Kota Bau-Bau",SULAWESI TENGGARA,93716.0,Indonesia,,,,-5.4609875,122.6195156,https://maps.google.com/?cid=0x0:0xa36840a3dba9c932,
mall,Toko bahan makanan,ZAVA MART,"Bukit Wolio Indah, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93713","Kec. Wolio, Kota Bau-Bau",SULAWESI TENGGARA,93713.0,Indonesia,,,,-5.4737723,122.6123315,https://maps.google.com/?cid=0x0:0x5aaa31312f44fafc,
mall,Pusat Perbelanjaan,Sahrun/ria jaya,"FHX6+CRQ, Jl. Sulaa II, Sulaa, Kec. Betoambari, Kota Bau-Bau, Sulawesi Tenggara 93721","Jl. Sulaa II, Sulaa, Kec. Betoambari, Kota Bau-Bau",SULAWESI TENGGARA,93721.0,Indonesia, 085341370517,,,-5.5014141,122.562116,https://maps.google.com/?cid=0x0:0xf547ca70ccd2431a,
mall,Pasar tradisional,Pasar Ikan Malam,"GHMQ+XXG, Bone-Bone, Kec. Murhum, Kota Bau-Bau, Sulawesi Tenggara 93712","Bone-Bone, Kec. Murhum, Kota Bau-Bau",SULAWESI TENGGARA,93712.0,Indonesia,,,,-5.4650696,122.5899416,https://maps.google.com/?cid=0x0:0x20fbf3f7708f5faf,
mall,Pusat Perbelanjaan,Toko Layar Kembang,"GJP6+FPV, Jl. Budi Utomo, Wangkanapi, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93717","Jl. Budi Utomo, Wangkanapi, Kec. Wolio, Kota Bau-Bau",SULAWESI TENGGARA,93717.0,Indonesia,,,,-5.4637664,122.6118033,https://maps.google.com/?cid=0x0:0x9d5544b1cf732b4a,
mall,Toko umum,Kios mafiz,"GH3J+57X, Lipu, Kec. Betoambari, Kota Bau-Bau, Sulawesi Tenggara 93721","Lipu, Kec. Betoambari, Kota Bau-Bau",SULAWESI TENGGARA,93721.0,Indonesia,,,,-5.4970199,122.5807483,https://maps.google.com/?cid=0x0:0x29c33bd0ed3c744d,
mall,Pusat Perbelanjaan,Miniso Lippo Plaza Baubau,"GJQ9+JR2, Batulo, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93716","Batulo, Kec. Wolio, Kota Bau-Bau",SULAWESI TENGGARA,93716.0,Indonesia,,,,-5.4609875,122.6195156,https://maps.google.com/?cid=0x0:0x9b54c80aaa4d2ada,
mall,Grosir,Serbuk sari jahe (MINERBAL),"Jl. Raya Palagimata No.97, Lipu, Kec. Betoambari, Kota Bau-Bau, Sulawesi Tenggara 93721","Lipu, Kec. Betoambari, Kota Bau-Bau",SULAWESI TENGGARA,93721.0,Indonesia, 082292501400,,,-5.4977456,122.5806161,https://maps.google.com/?cid=0x0:0x5a9e69a7f27dc2c,
mall,Toko Kue,Kue Jalanan,"GHJR+83J, Jl. Betoambari, Bone-Bone, Kec. Murhum, Kota Bau-Bau, Sulawesi Tenggara 93714","Jl. Betoambari, Bone-Bone, Kec. Murhum, Kota Bau-Bau",SULAWESI TENGGARA,93714.0,Indonesia, 082193273668,,,-5.4691607,122.5901344,https://maps.google.com/?cid=0x0:0xd0323ff273429b09,
