Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
building materials,building materials,Sulawesi Tenggara 93755,"Kabupaten Buton, Sulawesi Tenggara","Kabupaten Buton, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-5.2652803,122.831015,https://maps.google.com/?cid=0x0:0x698a3c90045603c1,
building materials,Toko Bahan Bangunan,Toko Bangunan Mama Mpou,"RV69+WG, Wambulu, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755","Wambulu, Kec. Kapontori, Kabupaten Buton",SULAWESI TENGGARA,93755.0,Indonesia,82213276297.0,,,-5.1868821,122.8691116,https://maps.google.com/?cid=0x0:0x19a6c4072fea81ed,
building materials,building materials,Toko Tumada Jaya,"VQMM+C4J, Tumada, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara","Kabupaten Buton, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,82291191105.0,,,-5.1164004,122.7827699,https://maps.google.com/?cid=0x0:0x1b9515b00d10e46e,
building materials,Toko Bahan Bangunan,BATU BATA MERAH TODANGA,"Dusun Bakaha , Desa Todanga Jalan Poros, Jl. Bataraguru, Dusun Bakaha, Tuangila, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755","Desa Todanga Jalan Poros, Jl. Bataraguru, Dusun Bakaha, Tuangila, Kec. Kapontori, Kabupaten Buton",SULAWESI TENGGARA,93755.0,Indonesia,81292066059.0,,,-5.0998381,122.7978131,https://maps.google.com/?cid=0x0:0x9c690ec0c6f6bfe8,
building materials,Toko Batu,Batu Bata Mas Joko Todanga,"Desa, Todanga, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755","Todanga, Kec. Kapontori, Kabupaten Buton",SULAWESI TENGGARA,93755.0,Indonesia,82193111191.0,,,-5.1010451,122.7951472,https://maps.google.com/?cid=0x0:0x9f942c763ff9e45,
building materials,Toko Bahan Bangunan,Toko Bangunan Mukhlis,"M5J7+J49, jalan Sulawesi Desa, Ambuau Indah, Lasalimu Selatan, Buton Regency, South East Sulawesi 93756","jalan Sulawesi Desa, Ambuau Indah, Lasalimu Selatan, Buton Regency",SULAWESI TENGGARA,93756.0,Indonesia,,,,-5.3184709,123.1628725,https://maps.google.com/?cid=0x0:0xf58ed61e19c8e691,
building materials,Kios,Toko Azril,"Q4R6+R93, Wasuamba, Kec. Lasalimu, Kabupaten Buton, Sulawesi Tenggara 93756","Wasuamba, Kec. Lasalimu, Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,,,,-5.208424,123.110375,https://maps.google.com/?cid=0x0:0x60fa748321b6e58e,
building materials,Toko Bahan Bangunan,Toko. SM banguna,"M5M8+425, Jl. Bali, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Jl. Bali, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,,,,-5.3172202,123.1651354,https://maps.google.com/?cid=0x0:0x711eb771c6dc2f3c,
building materials,Toko Bahan Bangunan,Jual Batako/Semen (Lailio),"PHXF+R52, Watulea, Kec. Gu, Kabupaten Buton, Sulawesi Tenggara 93761","Watulea, Kec. Gu, Kabupaten Buton",SULAWESI TENGGARA,93761.0,Indonesia,81354000464.0,,,-5.2504853,122.572876,https://maps.google.com/?cid=0x0:0x2bf9cbe58b0cc54e,
building materials,Toko Perlengkapan Rumah,"Toko Alat Pancing, Pertanian, Listrik  Tukang Nada Lasalimu","Desa, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,82360612010.0,,,-5.3184711,123.1621532,https://maps.google.com/?cid=0x0:0xd4b48adfcd1f77bc,
building materials,building materials,Toko bangunan,"Q525+383, Jl. dermaga Lasalimu, Lasalimu, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Jl. dermaga Lasalimu, Lasalimu, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,,,,-5.2498738,123.1583054,https://maps.google.com/?cid=0x0:0xe39888d0b16b41a7,
