Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Sulawesi Tenggara 93755,"Kabupaten Buton, Sulawesi Tenggara","Kabupaten Buton, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-5.2652803,122.831015,https://maps.google.com/?cid=0x0:0x698a3c90045603c1,
mall,Pembangunan Perumahan,Pasar Todanga,"VQXV+44R, Tuangila, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755","Tuangila, Kec. Kapontori, Kabupaten Buton",SULAWESI TENGGARA,93755.0,Indonesia,,,,-5.1021275,122.7927518,https://maps.google.com/?cid=0x0:0x96dfce8ff762c611,
mall,Toko umum,Toko widari,"PPMG+GJC, Boneatiro, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755","Boneatiro, Kec. Kapontori, Kabupaten Buton",SULAWESI TENGGARA,93755.0,Indonesia,,,,-5.2661965,122.7265136,https://maps.google.com/?cid=0x0:0x56b1242f4812a16d,
mall,Toko,Kios kiki,"WQ2X+RW3, Jl. Bataraguru, Tuangila, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755","Jl. Bataraguru, Tuangila, Kec. Kapontori, Kabupaten Buton",SULAWESI TENGGARA,93755.0,Indonesia,,,,-5.0979955,122.7997926,https://maps.google.com/?cid=0x0:0xde4401592cfd96d9,
mall,Pusat Perbelanjaan,Kios Mama Inal,"Jl. Bataraguru, Wakuli, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755","Wakuli, Kec. Kapontori, Kabupaten Buton",SULAWESI TENGGARA,93755.0,Indonesia,82269878365.0,,,-5.128546,122.8228131,https://maps.google.com/?cid=0x0:0x57aca7d9d4597d13,
mall,Pusat Perbelanjaan,Lippo Plaza Baubau,"GJQ9+JR2, Batulo, Kec. Wolio, Kota Bau-Bau, Sulawesi Tenggara 93716","Batulo, Kec. Wolio, Kota Bau-Bau",SULAWESI TENGGARA,93716.0,Indonesia,,,,-5.4609875,122.6195156,https://maps.google.com/?cid=0x0:0xa36840a3dba9c932,
mall,Toko Pakaian,Pasar Lombe,"PHXG+3X9, Pasar Lombe, Bombonawulu, Kec. Gu, Kabupaten Buton, Sulawesi Tenggara 93761","Pasar Lombe, Bombonawulu, Kec. Gu, Kabupaten Buton",SULAWESI TENGGARA,93761.0,Indonesia,,,,-5.252328,122.5774717,https://maps.google.com/?cid=0x0:0x8908c50e37c5e64c,
mall,Pusat Perbelanjaan,elzar store,"4GVR+W2Q, Latugho, Kec. Lawa, Kabupaten Muna, Sulawesi Tenggara","Kabupaten Muna, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,82189266403.0,,,-4.8551566,122.5401025,https://maps.google.com/?cid=0x0:0xd1cd109fc957044,
mall,Balai masyarakat,Mall Laino,"5PJM+XFP, Unnamed Road, Kabupaten Muna, Sulawesi Tenggara 93614","Unnamed Road, Kabupaten Muna",SULAWESI TENGGARA,93614.0,Indonesia,,,,-4.8175492,122.7336999,https://maps.google.com/?cid=0x0:0x86f0fbac6694e081,
mall,Toko,Pasar Sabo,"GVC3+Q46, Saragi, Kec. Ps. Wajo, Kabupaten Buton, Sulawesi Tenggara","Kabupaten Buton, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-5.4780855,122.8527641,https://maps.google.com/?cid=0x0:0xcc2c71af1bb2bb6b,
mall,Toko Pakaian,La Bone Sp. BangkaLi SuLtra,"5MHC+C2H, Bangkali, Kec. Watopute, Kabupaten Muna, Sulawesi Tenggara 93656","Bangkali, Kec. Watopute, Kabupaten Muna",SULAWESI TENGGARA,93656.0,Indonesia,85399445724.0,,,-4.8214432,122.6700954,https://maps.google.com/?cid=0x0:0x93e83bb423e6ae2c,
mall,Toko,Toko sufiati,"FR9W+QGC, Kombeli, Kec. Ps. Wajo, Kabupaten Buton, Sulawesi Tenggara 93754","Kombeli, Kec. Ps. Wajo, Kabupaten Buton",SULAWESI TENGGARA,93754.0,Indonesia,,,,-5.5305697,122.8462714,https://maps.google.com/?cid=0x0:0xd695326763740fc5,
mall,Pasar tradisional,Pasar Kaloko,"FVC3+7QC, Takimpo, Kec. Ps. Wajo, Kabupaten Buton, Sulawesi Tenggara 93754","Takimpo, Kec. Ps. Wajo, Kabupaten Buton",SULAWESI TENGGARA,93754.0,Indonesia,82243386183.0,,,-5.5293007,122.8544051,https://maps.google.com/?cid=0x0:0xa9425318cf17703f,
mall,Minimarket,Koos All,"XR27+F43, Liwumetingki, Kec. Pasir Putih, Kabupaten Muna, Sulawesi Tenggara 93674","Liwumetingki, Kec. Pasir Putih, Kabupaten Muna",SULAWESI TENGGARA,93674.0,Indonesia,,,,-5.048863,122.81281,https://maps.google.com/?cid=0x0:0x536af7bd52a712e2,
mall,Tujuan Wisata,Pasar Kaongkeongkea,"GQJ3+FH6, Wakaokili, Kec. Ps. Wajo, Kabupaten Buton, Sulawesi Tenggara 93757","Wakaokili, Kec. Ps. Wajo, Kabupaten Buton",SULAWESI TENGGARA,93757.0,Indonesia,,,,-5.468845,122.753894,https://maps.google.com/?cid=0x0:0x111b54574764d67b,
mall,Toko bahan makanan,Kios Vano Kamaru,"R3F7+H9W, Kamaru, Kec. Lasalimu, Kabupaten Buton, Sulawesi Tenggara 93756","Kamaru, Kec. Lasalimu, Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,82198928007.0,,,-5.1760064,123.0634383,https://maps.google.com/?cid=0x0:0x5252cd771a3fafcf,
mall,Masjid,Mesjid Haqqul yakin,"MJVR+2P6, dusun uncume,desa, Rahia, Kec. Gu, kab.buton tengah, Sulawesi Tenggara","kab.buton tengah, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,81344477499.0,,,-5.3074685,122.641762,https://maps.google.com/?cid=0x0:0x87db45ef264c8831,
mall,Toko,KIOS LISNA,"QXRF+MW4, Suandala, Kec. Lasalimu, Kabupaten Buton, Sulawesi Tenggara","Kabupaten Buton, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-5.2083692,122.9748377,https://maps.google.com/?cid=0x0:0xe38e0eca6def6237,
mall,Pasar tradisional,Pasar Sore Ompu,"FVF5+45C, Jl. Poros Pasarwajo Wabula, Wagola, Kec. Ps. Wajo, Kabupaten Buton, Sulawesi Tenggara 93754","Jl. Poros Pasarwajo Wabula, Wagola, Kec. Ps. Wajo, Kabupaten Buton",SULAWESI TENGGARA,93754.0,Indonesia,,,,-5.5271857,122.8579033,https://maps.google.com/?cid=0x0:0xb954c6ac5a0a31c3,
mall,Pusat Perbelanjaan,MGM Raha,"5PGF+C47, Jl. Gatot Subroto, Wamponiki, Kec. Katobu, Kabupaten Muna, Sulawesi Tenggara 93614","Jl. Gatot Subroto, Wamponiki, Kec. Katobu, Kabupaten Muna",SULAWESI TENGGARA,93614.0,Indonesia,,,,-4.8239647,122.7227958,https://maps.google.com/?cid=0x0:0x8cf2917e2f109298,
mall,Minimarket,Indomaret Kapontori Buton,"QRJ8+CV9, Jl. Poros Kapontori, Watumotobe, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755","Jl. Poros Kapontori, Watumotobe, Kec. Kapontori, Kabupaten Buton",SULAWESI TENGGARA,93755.0,Indonesia,,,,-5.2186362,122.8171649,https://maps.google.com/?cid=0x0:0x98c51f411f5f4674,
mall,mall,Lasalimu,"Wasuamba, Kec. Lasalimu, Kabupaten Buton, Sulawesi Tenggara","Kabupaten Buton, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-5.224197,123.127403,https://maps.google.com/?cid=0x0:0xb739d9e9697eebf9,
mall,Kios,Depot Air Minum,"M5G8+M47, Desa, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Desa, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,,,,-5.3233402,123.1652835,https://maps.google.com/?cid=0x0:0xde1a66a59c7216ff,
mall,mall,Kios Fadil,"M5J6+HMX, Jl. Poros Lasalimu, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Jl. Poros Lasalimu, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,,,,-5.3185133,123.1617271,https://maps.google.com/?cid=0x0:0xa31e4ba9c1957a35,
mall,Kios,Kios Adit,"M5J7+H2V, Jl. Poros Lasalimu, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Jl. Poros Lasalimu, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,,,,-5.3185085,123.1625503,https://maps.google.com/?cid=0x0:0x52585d5a0f4a669e,
mall,Pusat Perbelanjaan,Toko Rahayu Bali,"M5H9+VJG, Jl. Irian, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Jl. Irian, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,85299434817.0,,,-5.3203083,123.1690922,https://maps.google.com/?cid=0x0:0xcf7014322d24df93,
mall,Toko Kosmetik,Kios Kosmetik Iqbal,"M5J7+G9M, Jl. Sulawesi Kompleks pasar, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Jl. Sulawesi Kompleks pasar, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,85299434817.0,,,-5.3186699,123.1634136,https://maps.google.com/?cid=0x0:0x6e029a9288faa7c4,
mall,Toko bahan makanan,Toko Martono,"M5J7+H7P, Desa, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Desa, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,,,,-5.3185281,123.1631967,https://maps.google.com/?cid=0x0:0xb484e138b875e082,
mall,Kantor Perusahaan,DESA LASALIMU,"Q526+3XH, Lasalimu, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Lasalimu, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,,,,-5.2498203,123.1624749,https://maps.google.com/?cid=0x0:0xcfea27c77fee14f3,
mall,mall,Fadil Cell,"M5J6+HMX, Jl. Sulawesi, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Jl. Sulawesi, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,,,,-5.3185106,123.1617199,https://maps.google.com/?cid=0x0:0x67b54db30b53202,
mall,mall,Kec. Lasalimu Sel.,"Kabupaten Buton, Sulawesi Tenggara","Kabupaten Buton, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-5.2517585,123.1595225,https://maps.google.com/?cid=0x0:0x43dc32910467e706,
mall,Kios,Kios Adit,"M5J7+H2V, Jl. Poros Lasalimu, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Jl. Poros Lasalimu, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,,,,-5.3185085,123.1625503,https://maps.google.com/?cid=0x0:0x52585d5a0f4a669e,
mall,Pusat Perbelanjaan,Toko Pakaian Saban,"M5J7+PF6, Desa, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Desa, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,,,,-5.3182248,123.1636438,https://maps.google.com/?cid=0x0:0xaa2852ae7e913e0e,
mall,Toko Kosmetik,Kios Kosmetik Iqbal,"M5J7+G9M, Jl. Sulawesi Kompleks pasar, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Jl. Sulawesi Kompleks pasar, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,85299434817.0,,,-5.3186699,123.1634136,https://maps.google.com/?cid=0x0:0x6e029a9288faa7c4,
mall,Kios,UD Lembo Jaya,"M5J6+JWH, Desa, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Desa, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,,,,-5.3184478,123.1623739,https://maps.google.com/?cid=0x0:0xebdfb369f0f18def,
mall,Pusat Perbelanjaan,Toko Rahayu Bali,"M5H9+VJG, Jl. Irian, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton, Sulawesi Tenggara 93756","Jl. Irian, Ambuau Indah, Kec. Lasalimu Sel., Kabupaten Buton",SULAWESI TENGGARA,93756.0,Indonesia,85299434817.0,,,-5.3203083,123.1690922,https://maps.google.com/?cid=0x0:0xcf7014322d24df93,
