Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Sulawesi Tenggara 93755";"Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.2652803";"122.831015";"https://maps.google.com/?cid=0x0:0x698a3c90045603c1";""
"komplek housing";"Komplek perumahan";"lakasopi";"PPQM+WPW, Wakalambe, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.2601435";"122.7343244";"https://maps.google.com/?cid=0x0:0xdb03698124777771";""
"komplek housing";"Komplek perumahan";"Rumah adit";"QQ4M+7MG, Lambusango, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755";"Lambusango, Kec. Kapontori, Kabupaten Buton";"SULAWESI TENGGARA";"93755";"Indonesia";"";"";"";"-5.2441002";"122.7850066";"https://maps.google.com/?cid=0x0:0xcc85d36de6b3e98a";""
"komplek housing";"Komplek perumahan";"Di rumah";"PPH5+39M, Lorong Pendidikan, Barangka, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755";"Lorong Pendidikan, Barangka, Kec. Kapontori, Kabupaten Buton";"SULAWESI TENGGARA";"93755";"Indonesia";"";"";"";"-5.2722441";"122.7084107";"https://maps.google.com/?cid=0x0:0xeaca953e9fae8403";""
"komplek housing";"Komplek perumahan";"POSKO KKN- T DESA TUMADA";"VQJG+6F5, Tumada, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755";"Tumada, Kec. Kapontori, Kabupaten Buton";"SULAWESI TENGGARA";"93755";"Indonesia";"";"";"";"-5.1198469";"122.7765016";"https://maps.google.com/?cid=0x0:0x2ce08e46c143c499";""
"komplek housing";"Komplek perumahan";"Desa tumada";"VQJJ+X9, Jl. Bataraguru, Tumada, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755";"Jl. Bataraguru, Tumada, Kec. Kapontori, Kabupaten Buton";"SULAWESI TENGGARA";"93755";"Indonesia";"";"";"";"-5.1172703";"122.7814636";"https://maps.google.com/?cid=0x0:0xefd7fc68a603b36c";""
"komplek housing";"Pembangunan Perumahan";"Desa saya";"PPP7+473, Mabulugo, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755";"Mabulugo, Kec. Kapontori, Kabupaten Buton";"SULAWESI TENGGARA";"93755";"Indonesia";"";"";"";"-5.2646628";"122.7132451";"https://maps.google.com/?cid=0x0:0xc2fe35e71646b73d";""
"komplek housing";"Komplek perumahan";"Rumah Febri/Farhan";"QQ3M+4MX, Jl. Minagasi, Lambusango, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755";"Jl. Minagasi, Lambusango, Kec. Kapontori, Kabupaten Buton";"SULAWESI TENGGARA";"93755";"Indonesia";"";"";"";"-5.2470657";"122.7844638";"https://maps.google.com/?cid=0x0:0xde0f68978bd6b8d6";""
"komplek housing";"Komplek perumahan";"Rumah fizar";"Balai desa kapontori, Lambusango, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.2463356";"122.7840066";"https://maps.google.com/?cid=0x0:0xb1453334d0e4ca0d";""
"komplek housing";"Komplek perumahan";"DAYYAN Family Home";"PQFW+GV3, Lambusango, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara 93755";"Lambusango, Kec. Kapontori, Kabupaten Buton";"SULAWESI TENGGARA";"93755";"Indonesia";"";"";"";"-5.2762368";"122.7971649";"https://maps.google.com/?cid=0x0:0x8f76c91985641ffe";""
"komplek housing";"Komplek perumahan";"POSKO KKN-T X WAKALAMBE";"PPRP+9H, Boneatiro, Kec. Kapontori, Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.2595288";"122.7363407";"https://maps.google.com/?cid=0x0:0x602735b2693a0094";""
