Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Sulawesi Tenggara 93752";"Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.6000771";"122.650351";"https://maps.google.com/?cid=0x0:0x1c436516d6448e13";""
"komplek housing";"Komplek perumahan";"Rumah Igo";"Jl. Gajah Mada No.100, Laompo, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Laompo, Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.5864136";"122.5964253";"https://maps.google.com/?cid=0x0:0x9bbc4474ceeee1ed";""
"komplek housing";"Gedung Apartemen";"BATAUGA PERMAI";"CHCX+23W, Laompo, Batauga, Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.5798879";"122.5977012";"https://maps.google.com/?cid=0x0:0x67d6c1ff671c6a75";""
"komplek housing";"Komplek perumahan";"Kompleks lampu merah dako";"8J6M+MVJ, Jl. Gajah Mada, Bola, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Jl. Gajah Mada, Bola, Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.6882936";"122.634655";"https://maps.google.com/?cid=0x0:0xcda8d968f72d222f";""
"komplek housing";"komplek housing";"My home";"FJ23+C8X, Lawela Sel., Batauga, Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.5488939";"122.6033553";"https://maps.google.com/?cid=0x0:0x67acfac9cc1a580f";""
"komplek housing";"Komplek perumahan";"Rumah Salsya Wahyu Ningsih";"Laompo, Batauga, Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.6150415";"122.6029449";"https://maps.google.com/?cid=0x0:0x66b74ee7bf7e577";""
"komplek housing";"Komplek perumahan";"RumahQu";"Jl. Gajah Mada No.179, Busoa, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Busoa, Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.5837835";"122.596124";"https://maps.google.com/?cid=0x0:0x37e5f3bfe237d20e";""
"komplek housing";"Komplek perumahan";"RUMAH IBU SUPRAPTI";"Jl. Gajah Mada No.107, Laompo, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Laompo, Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.5882745";"122.5964907";"https://maps.google.com/?cid=0x0:0xc1e84776610f2d02";""
"komplek housing";"Komplek perumahan";"Rmhh Audiyaa";"9J77+9QQ, Masiri, Batauga, Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.6364491";"122.6145822";"https://maps.google.com/?cid=0x0:0x2b3a0b8539ed43e0";""
"komplek housing";"Komplek perumahan";"Rumah fatin";"No.129-153, Jl. Gajah Mada, Laompo, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Jl. Gajah Mada, Laompo, Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.5860562";"122.5961388";"https://maps.google.com/?cid=0x0:0xb142368bf9ce9849";""
"komplek housing";"Komplek perumahan";"Wasambua";"9HWW+9P3, Wasambua, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Wasambua, Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.6041072";"122.5967869";"https://maps.google.com/?cid=0x0:0x669346628d02c8df";""
"komplek housing";"Kompleks Apartemen";"Kompleks MANGGA 2";"Poogalampa, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.6887729";"122.6623798";"https://maps.google.com/?cid=0x0:0xf97697097fb307da";""
"komplek housing";"Komplek perumahan";"Risman's House";"9JFF+7R9, Molagina, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Molagina, Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.6268342";"122.6246212";"https://maps.google.com/?cid=0x0:0x6df88a46b1193ebb";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Rumah Nadine";"Molagina, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.6271028";"122.6245357";"https://maps.google.com/?cid=0x0:0xa94bba9a74d446e0";""
"komplek housing";"Otoritas Perumahan";"BTN LIAWONCI";"8J4P+QRV, Jl. Poros, Bola, Batauga, Buton Regency, South East Sulawesi 93752";"Jl. Poros, Bola, Batauga, Buton Regency";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.693023";"122.6370408";"https://maps.google.com/?cid=0x0:0x7aa43773836997da";""
"komplek housing";"Pembangunan Perumahan";"Rehan";"9JM3+74F, Laompo, Batauga, Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.6168237";"122.6028048";"https://maps.google.com/?cid=0x0:0x14d41b83747ac003";""
"komplek housing";"Komplek perumahan";"Lorong Bahagia";"Lawela Sel., Batauga, Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.5320217";"122.6192672";"https://maps.google.com/?cid=0x0:0x9eaee3f3b4df6b93";""
"komplek housing";"Komplek perumahan";"Tiwi home stay";"Kel. Molagina, Jl. Gajah Mada No.2, Majapahit, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Jl. Gajah Mada No.2, Majapahit, Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.627094";"122.6250344";"https://maps.google.com/?cid=0x0:0xc9768a6abfe33bfd";""
"komplek housing";"Komplek perumahan";"Home Putri Ikmal Aleeza";"CH6W+VM5, Busoa, Batauga, Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";" 082290722226";"";"";"-5.5878682";"122.5967368";"https://maps.google.com/?cid=0x0:0x53e80975bcdf44c9";""
"komplek housing";"Komplek perumahan";"Rumah Alfia";"9J77+9QW, Lingkungan Kolowu Morikana, Masiri, Batauga, Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.636518";"122.614467";"https://maps.google.com/?cid=0x0:0xb9f98d9fa6f87e23";""
"komplek housing";"komplek housing";"Batauga";"Masiri, Batauga, Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.610301";"122.6157";"https://maps.google.com/?cid=0x0:0xb59244aa04e5e53e";""
"komplek housing";"Komplek perumahan";"Rumah Acang";"9JQ8+V7G, Masiri, Batauga, Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.610301";"122.6157";"https://maps.google.com/?cid=0x0:0x4e9d3f059af300a4";""
"komplek housing";"Komplek perumahan";"Tania wali";"9JQ8+V7G, Masiri, Batauga, Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.610301";"122.6157";"https://maps.google.com/?cid=0x0:0xfbad00c16b9b8978";""
"komplek housing";"komplek housing";"Batauga";"Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.6000771";"122.650351";"https://maps.google.com/?cid=0x0:0x3b6d61ab79220636";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Perdi";"9JFF+JQ9, Kel, molagina, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Kel, molagina, Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.6260091";"122.6244979";"https://maps.google.com/?cid=0x0:0x1ba7917b70bbd4dd";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Rumah la ode";"CH6V+77Q, Laompo, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Laompo, Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.5888314";"122.59445";"https://maps.google.com/?cid=0x0:0x1142800949c734c3";""
"komplek housing";"Komplek perumahan";"Rumah Fahmat";"CH6V+77Q, Laompo, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Laompo, Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.5886719";"122.5933047";"https://maps.google.com/?cid=0x0:0x717e4860556ea017";""
"komplek housing";"Komplek perumahan";"Rumah Deni";"9JQ2+M44, Jl. Gajah Mada, Masiri, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Jl. Gajah Mada, Masiri, Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.6107466";"122.6003157";"https://maps.google.com/?cid=0x0:0x7fae0ef54dac8b46";""
"komplek housing";"Komplek perumahan";"rumah fadli";"CH6V+77Q, Laompo, Batauga, Kabupaten Buton, Sulawesi Tenggara 93752";"Laompo, Batauga, Kabupaten Buton";"SULAWESI TENGGARA";"93752";"Indonesia";"";"";"";"-5.5888592";"122.5944312";"https://maps.google.com/?cid=0x0:0x4f620a261f3fb938";""
"komplek housing";"komplek housing";"Sulawesi Tenggara 93753";"Kabupaten Buton, Sulawesi Tenggara";"Kabupaten Buton, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-5.5916275";"122.7858791";"https://maps.google.com/?cid=0x0:0x5d5b6b7c1f0a9413";""
"komplek housing";"komplek housing";"Rumah snjni";"8QR7+W9H, Gaya Baru, Kec. Lapandewa, Kabupaten Buton, Sulawesi Tenggara 93753";"Gaya Baru, Kec. Lapandewa, Kabupaten Buton";"SULAWESI TENGGARA";"93753";"Indonesia";"";"";"";"-5.657981";"122.763923";"https://maps.google.com/?cid=0x0:0x7758e17053bc3b1a";""
"komplek housing";"komplek housing";"house of memories";"CP39+3JW, Jl. Poros Batauga, Todombulu, Kec. Sampolawa, Kabupaten Buton, Sulawesi Tenggara 93753";"Jl. Poros Batauga, Todombulu, Kec. Sampolawa, Kabupaten Buton";"SULAWESI TENGGARA";"93753";"Indonesia";"";"";"";"-5.596887";"122.719365";"https://maps.google.com/?cid=0x0:0xe4b96749f52a4705";""
"komplek housing";"Komplek perumahan";"Batas dusun petarung";"8QFP+HG2, Rumbia, Kec. Lapandewa, Kabupaten Buton, Sulawesi Tenggara 93753";"Rumbia, Kec. Lapandewa, Kabupaten Buton";"SULAWESI TENGGARA";"93753";"Indonesia";"";"";"";"-5.6761077";"122.7862724";"https://maps.google.com/?cid=0x0:0x9237a10c05f5f88e";""
"komplek housing";"Komplek perumahan";"Katolemando";"FP4V+58V, RT.Katolemando/RW.Katolemando, Katolemando, Sandang Pangan, Kec. Sampolawa, Kabupaten Buton, Sulawesi Tenggara 93753";"RT.Katolemando/RW.Katolemando, Katolemando, Sandang Pangan, Kec. Sampolawa, Kabupaten Buton";"SULAWESI TENGGARA";"93753";"Indonesia";"";"";"";"-5.5445227";"122.7433061";"https://maps.google.com/?cid=0x0:0x28110841a5f89b91";""
"komplek housing";"Komplek perumahan";"Rumahnya Shinta Mawarni";"8QR7+W9H, Gaya Baru, Kec. Lapandewa, Kabupaten Buton, Sulawesi Tenggara 93753";"Gaya Baru, Kec. Lapandewa, Kabupaten Buton";"SULAWESI TENGGARA";"93753";"Indonesia";"";"";"";"-5.6576802";"122.7634807";"https://maps.google.com/?cid=0x0:0x6b8305605da79135";""
"komplek housing";"Biro Jasa Penyewaan Kondominium";"Lepeka, Beloka";"FP4V+49F, RT.Katolemando/RW.Katolemando, Katolemando, Sandang Pangan, Kec. Sampolawa, Kabupaten Buton, Sulawesi Tenggara 93753";"RT.Katolemando/RW.Katolemando, Katolemando, Sandang Pangan, Kec. Sampolawa, Kabupaten Buton";"SULAWESI TENGGARA";"93753";"Indonesia";"";"";"";"-5.5446803";"122.7434214";"https://maps.google.com/?cid=0x0:0x3607cfe2337aa6f1";""
"komplek housing";"Perumahan rakyat";"Rumah Rapu";"8QHQ+47W, Burangasi, Kec. Lapandewa, Kabupaten Buton, Sulawesi Tenggara 93753";"Burangasi, Kec. Lapandewa, Kabupaten Buton";"SULAWESI TENGGARA";"93753";"Indonesia";"";"";"";"-5.6721375";"122.7882031";"https://maps.google.com/?cid=0x0:0x90a2fc8359700491";""
"komplek housing";"Komplek perumahan";"Uli Yomita";"CQMF+VRW, Gn. Sejuk, Kec. Sampolawa, Kabupaten Buton, Sulawesi Tenggara 93753";"Gn. Sejuk, Kec. Sampolawa, Kabupaten Buton";"SULAWESI TENGGARA";"93753";"Indonesia";"";"";"";"-5.5652746";"122.7745919";"https://maps.google.com/?cid=0x0:0xa730c99fac0b5b91";""
