Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Baula,"Baula, Kec. Baula, Kabupaten Kolaka, Sulawesi Tenggara","Kabupaten Kolaka, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-4.156222,121.684402,https://maps.google.com/?cid=0x0:0x848963d15ef49661,
hotel,hotel,Sutan Raja Hotel Kolaka,"Jl. Khairil Anwar No.1, Lamokato, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara 93514","Lamokato, Kec. Kolaka, Kabupaten Kolaka",SULAWESI TENGGARA,93514.0,Indonesia,4052321185.0,,,-4.0629644,121.5995178,https://maps.google.com/?cid=0x0:0x83c5eaa47ae91f4,
hotel,hotel,,,,SULAWESI TENGGARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x83c5eaa47ae91f4%7C/g/11bwym81s6%7Cen-ID,
hotel,hotel,,,,SULAWESI TENGGARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x2b4900e86f3383af%7C/g/11b6d58_yz%7Cen-ID,
hotel,hotel,Hotel Pratama,"Jl. Repelita No.1, Lamokato, Kec. Latambaga, Kabupaten Kolaka, Sulawesi Tenggara 93511","Lamokato, Kec. Latambaga, Kabupaten Kolaka",SULAWESI TENGGARA,93511.0,Indonesia,2129707601.0,,,-4.051771,121.5922195,https://maps.google.com/?cid=0x0:0x2b4900e86f3383af,
hotel,hotel,Hotel Baruga Mas (Syariah),"Jalan Protokol Pomalaa - Kolaka Desa Pelambua, Kec. Pomalaa, Kab. Kolaka Sulawesi Tenggara Kolaka, Pelambua, Kec. Pomalaa, Sulawesi Tenggara, 93562","Kec. Pomalaa, Kab. Kolaka Sulawesi Tenggara Kolaka, Pelambua, Kec. Pomalaa",SULAWESI TENGGARA,93562.0,Indonesia,8114004814.0,,,-4.1771404,121.6221697,https://maps.google.com/?cid=0x0:0x13ec3dcf5dca37ef,
hotel,hotel,Xpress Hotel,"Jl. Pemuda No.km 3 no, 240, Balandete, Kolaka, Kolaka Regency, South East Sulawesi 93561","240, Balandete, Kolaka, Kolaka Regency",SULAWESI TENGGARA,93561.0,Indonesia,4052325088.0,,,-4.0699954,121.6230627,https://maps.google.com/?cid=0x0:0xa31d18c233c53155,
hotel,hotel,Wisma Hotel 88 Kolaka,"WJJC+26R, Tahoa,Kolaka, Kabupaten Kolaka, Sulawesi Tenggara, Indonesia, Tahoa, Kec. Kolaka, Kaupaten Kolaka, Sulawesi Tenggara 93517","Tahoa,Kolaka, Kabupaten Kolaka, Sulawesi Tenggara, Indonesia, Tahoa, Kec. Kolaka, Kaupaten Kolaka",SULAWESI TENGGARA,93517.0,Indonesia,82293778990.0,,,-4.069893,121.620526,https://maps.google.com/?cid=0x0:0x87239e1677a7bdf3,
hotel,hotel,Hotel Rumah Adat Mekongga Indah,"Jl. Dermaga Pelabuhan Ferry, Kec. Latambaga, Kabupaten Kolaka, Sulawesi Tenggara","Kabupaten Kolaka, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,83838852223.0,,,-4.0608838,121.591963,https://maps.google.com/?cid=0x0:0x5f9e863727dd048e,
hotel,hotel,My Hotel Syariah,"Jl. Mekongga Indah, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara 93561","Kec. Kolaka, Kabupaten Kolaka",SULAWESI TENGGARA,93561.0,Indonesia,82196335999.0,,,-4.063224,121.6078085,https://maps.google.com/?cid=0x0:0xa929b6c5c4644f7,
hotel,hotel,VENUS INN,"Jl. Repelita No.1, Lamokato, Kec. Latambaga, Kabupaten Kolaka, Sulawesi Tenggara 93511","Lamokato, Kec. Latambaga, Kabupaten Kolaka",SULAWESI TENGGARA,93511.0,Indonesia,,,,-4.0526574,121.5930985,https://maps.google.com/?cid=0x0:0xed261c904fe47bec,
hotel,hotel,Hotel Qubah 9 Kendari,"Jl. Martandu No.99A, Kambu, Kec. Kambu, Kota Kendari, Sulawesi Tenggara 93231","Kambu, Kec. Kambu, Kota Kendari",SULAWESI TENGGARA,93231.0,Indonesia,4013136047.0,,,-4.0082509,122.5345007,https://maps.google.com/?cid=0x0:0x16da52124c17b9e7,
hotel,hotel,Wisma Merpati 2,"WJV3+FF8, Jl. Usman Rencong, Lamokato, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara 93561","Jl. Usman Rencong, Lamokato, Kec. Kolaka, Kabupaten Kolaka",SULAWESI TENGGARA,93561.0,Indonesia,,,,-4.0563479,121.6037059,https://maps.google.com/?cid=0x0:0xa84723b70f0801be,
hotel,hotel,Hotel Mulia Kendari,"Jl. Saranani No.95, Korumba, Kec. Mandonga, Kota Kendari, Sulawesi Tenggara 93461","Korumba, Kec. Mandonga, Kota Kendari",SULAWESI TENGGARA,93461.0,Indonesia,895417300072.0,,,-3.97062,122.5201697,https://maps.google.com/?cid=0x0:0x969a857d0b649ea9,
hotel,hotel,Hotel Cempaka,"Jl. Bunga Tj. No.101, Watu-Watu, Kec. Kendari Bar., Kota Kendari, Sulawesi Tenggara 93873","Watu-Watu, Kec. Kendari Bar., Kota Kendari",SULAWESI TENGGARA,93873.0,Indonesia,,,,-3.9642101,122.542674,https://maps.google.com/?cid=0x0:0xca7fe20f7976380c,
hotel,hotel,"Tehachapi, California 93561","Tehachapi, California, Amerika Serikat","Tehachapi, California, Amerika Serikat",SULAWESI TENGGARA,,Indonesia,,,,35.0776145,-118.4396756,https://maps.google.com/?cid=0x0:0x3495ff78f5eab627,
hotel,hotel,,,,SULAWESI TENGGARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x62c46ee9f2f5b1a9%7C/g/11f4wt9r9g%7Cen-ID,
hotel,hotel,Baymont by Wyndham Tehachapi,"500 Steuber Rd, Tehachapi, CA 93561, Amerika Serikat","Tehachapi, CA",SULAWESI TENGGARA,93561.0,Indonesia,16618238000.0,,,35.1265629,-118.4137668,https://maps.google.com/?cid=0x0:0x62c46ee9f2f5b1a9,
hotel,hotel,Holiday Inn Express  Suites Tehachapi Hwy 58/Mill St. by IHG,"901 Capital Hills Pkwy, Tehachapi, CA 93561, Amerika Serikat","Tehachapi, CA",SULAWESI TENGGARA,93561.0,Indonesia,16618229837.0,,,35.1431667,-118.4505703,https://maps.google.com/?cid=0x0:0x3916e5ce429e2f4d,
hotel,hotel,,,,SULAWESI TENGGARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x3916e5ce429e2f4d%7C/g/1v0ll0r9%7Cen-ID,
hotel,hotel,,,,SULAWESI TENGGARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x5743c28eafd35bd0%7C/g/1tfctgt4%7Cen-ID,
hotel,hotel,Best Western Plus Country Park Hotel,"420 W Tehachapi Blvd, Tehachapi, CA 93561, Amerika Serikat","Tehachapi, CA",SULAWESI TENGGARA,93561.0,Indonesia,16618231800.0,,,35.132292,-118.454773,https://maps.google.com/?cid=0x0:0x5743c28eafd35bd0,
hotel,hotel,,,,SULAWESI TENGGARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x97c08e3e662e3637%7C/g/1tdbw_xl%7Cen-ID,
hotel,hotel,Fairfield Inn  Suites Tehachapi,"422 W Tehachapi Blvd, Tehachapi, CA 93561, Amerika Serikat","Tehachapi, CA",SULAWESI TENGGARA,93561.0,Indonesia,16618224800.0,,,35.132097,-118.4559605,https://maps.google.com/?cid=0x0:0x97c08e3e662e3637,
hotel,hotel,Kolaka,"Sakuli, Kec. Latambaga, Kabupaten Kolaka, Sulawesi Tenggara","Kabupaten Kolaka, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-4.0513522,121.5997835,https://maps.google.com/?cid=0x0:0x664cb969301936de,
hotel,hotel,Sutan Raja Hotel Kolaka,"Jl. Khairil Anwar No.1, Lamokato, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara 93514","Lamokato, Kec. Kolaka, Kabupaten Kolaka",SULAWESI TENGGARA,93514.0,Indonesia,4052321185.0,,,-4.0629644,121.5995178,https://maps.google.com/?cid=0x0:0x83c5eaa47ae91f4,
hotel,hotel,,,,SULAWESI TENGGARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x83c5eaa47ae91f4%7C/g/11bwym81s6%7Cen-ID,
hotel,hotel,,,,SULAWESI TENGGARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x2b4900e86f3383af%7C/g/11b6d58_yz%7Cen-ID,
hotel,hotel,Xpress Hotel,"Jl. Pemuda No.km 3 no, 240, Balandete, Kolaka, Kolaka Regency, South East Sulawesi 93561","240, Balandete, Kolaka, Kolaka Regency",SULAWESI TENGGARA,93561.0,Indonesia,4052325088.0,,,-4.0699954,121.6230627,https://maps.google.com/?cid=0x0:0xa31d18c233c53155,
hotel,hotel,Hotel Bendungan,"Jl. Bendungan Balandete, Balandete, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara 93561","Balandete, Kec. Kolaka, Kabupaten Kolaka",SULAWESI TENGGARA,93561.0,Indonesia,8114133169.0,,,-4.0724719,121.6346657,https://maps.google.com/?cid=0x0:0xdfc73888c41f5e31,
hotel,hotel,Hotel Rumah Adat Mekongga Indah,"Jl. Dermaga Pelabuhan Ferry, Kec. Latambaga, Kabupaten Kolaka, Sulawesi Tenggara","Kabupaten Kolaka, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,83838852223.0,,,-4.0608838,121.591963,https://maps.google.com/?cid=0x0:0x5f9e863727dd048e,
hotel,hotel,VENUS INN,"Jl. Repelita No.1, Lamokato, Kec. Latambaga, Kabupaten Kolaka, Sulawesi Tenggara 93511","Lamokato, Kec. Latambaga, Kabupaten Kolaka",SULAWESI TENGGARA,93511.0,Indonesia,,,,-4.0526574,121.5930985,https://maps.google.com/?cid=0x0:0xed261c904fe47bec,
hotel,hotel,My Hotel Syariah,"Jl. Mekongga Indah, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara 93561","Kec. Kolaka, Kabupaten Kolaka",SULAWESI TENGGARA,93561.0,Indonesia,82196335999.0,,,-4.063224,121.6078085,https://maps.google.com/?cid=0x0:0xa929b6c5c4644f7,
hotel,hotel,Wisma Hotel 88 Kolaka,"WJJC+26R, Tahoa,Kolaka, Kabupaten Kolaka, Sulawesi Tenggara, Indonesia, Tahoa, Kec. Kolaka, Kaupaten Kolaka, Sulawesi Tenggara 93517","Tahoa,Kolaka, Kabupaten Kolaka, Sulawesi Tenggara, Indonesia, Tahoa, Kec. Kolaka, Kaupaten Kolaka",SULAWESI TENGGARA,93517.0,Indonesia,82293778990.0,,,-4.069893,121.620526,https://maps.google.com/?cid=0x0:0x87239e1677a7bdf3,
hotel,hotel,Wisma Auliyah Kolaka Utara,"Jl. Amd, Lasusua, Kec. Lasusua, Kabupaten Kolaka Utara, Sulawesi Tenggara 93913","Lasusua, Kec. Lasusua, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93913.0,Indonesia,895417300072.0,,,-3.5108029,120.8803299,https://maps.google.com/?cid=0x0:0x2fe8363bc99ab236,
