Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
building materials,Toko Bahan Bangunan,TOKO LONGORI BANGUNAN,"RMH6+PM8, Jl. Poros Kolaka - Pomalaa, Longori, Kec. Baula, Kabupaten Kolaka, Sulawesi Tenggara 93562","Jl. Poros Kolaka - Pomalaa, Longori, Kec. Baula, Kabupaten Kolaka",SULAWESI TENGGARA,93562.0,Indonesia,8124161484.0,,,-4.1707005,121.6617039,https://maps.google.com/?cid=0x0:0x59fe297449ae997d,
building materials,building materials,Baula,"Baula, Kec. Baula, Kabupaten Kolaka, Sulawesi Tenggara","Kabupaten Kolaka, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-4.156222,121.684402,https://maps.google.com/?cid=0x0:0x848963d15ef49661,
building materials,building materials,Az Batu_Bata (2),"Puulemo, Kec. Baula, Kabupaten Kolaka, Sulawesi Tenggara 93561","Kec. Baula, Kabupaten Kolaka",SULAWESI TENGGARA,93561.0,Indonesia,,,,-4.1636345,121.69589,https://maps.google.com/?cid=0x0:0x89673b60e7931a9a,
building materials,building materials,"Tehachapi, California 93561","Tehachapi, California, Amerika Serikat","Tehachapi, California, Amerika Serikat",SULAWESI TENGGARA,,Indonesia,,,,35.0776145,-118.4396756,https://maps.google.com/?cid=0x0:0x3495ff78f5eab627,
building materials,Pabrik beton,A.R.B (Rajanya Roster Kolaka),"Ponpes A.P.I Alfalah, ARB(Rajanya Roster Kokaka, Jln Teratai Blok B Selatan, Puubunga, Kec. Baula, Kabupaten Kolaka, Sulawesi Tenggara 93561","ARB(Rajanya Roster Kokaka, Jln Teratai Blok B Selatan, Puubunga, Kec. Baula, Kabupaten Kolaka",SULAWESI TENGGARA,93561.0,Indonesia,82293279946.0,,,-4.1462267,121.6437746,https://maps.google.com/?cid=0x0:0x75bde09fb5c531ba,
building materials,building materials,Best Western Plus Country Park Hotel,"420 W Tehachapi Blvd, Tehachapi, CA 93561, Amerika Serikat","Tehachapi, CA",SULAWESI TENGGARA,93561.0,Indonesia,16618231800.0,,,35.132292,-118.454773,https://maps.google.com/?cid=0x0:0x5743c28eafd35bd0,
building materials,building materials,Kolaka,"Sakuli, Kec. Latambaga, Kabupaten Kolaka, Sulawesi Tenggara","Kabupaten Kolaka, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-4.0513522,121.5997835,https://maps.google.com/?cid=0x0:0x664cb969301936de,
building materials,Toko Bahan Bangunan,Toko Sinar Baja Kolaka,"Jl. Pramuka, Lamokato, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara 93561","Lamokato, Kec. Kolaka, Kabupaten Kolaka",SULAWESI TENGGARA,93561.0,Indonesia,,,,-4.0577368,121.605128,https://maps.google.com/?cid=0x0:0x8f2aa31bf37536ad,
building materials,Toko Bahan Bangunan,Toko Sinar Abadi,"Jl. Poros Kolaka - Wolo No.77, Mangolo, Kec. Latambaga, Kabupaten Kolaka, Sulawesi Tenggara 93514","Mangolo, Kec. Latambaga, Kabupaten Kolaka",SULAWESI TENGGARA,93514.0,Indonesia,,,,-4.0205262,121.5505668,https://maps.google.com/?cid=0x0:0xbaaea39c38eef387,
building materials,Toko Bahan Bangunan,TOKO BERAGAM BANGUNAN,"Tahoa, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara 93561","Kec. Kolaka, Kabupaten Kolaka",SULAWESI TENGGARA,93561.0,Indonesia,85255646333.0,,,-4.0670079,121.620245,https://maps.google.com/?cid=0x0:0x1efe5e1f790a47bd,
building materials,Toko,Sisky bangunan toko kayu bahan bangunan,"Lamokato, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara","Kabupaten Kolaka, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,85341111177.0,,,-4.0604861,121.600236,https://maps.google.com/?cid=0x0:0x796c6183317f94db,
building materials,Toko Bahan Bangunan,Toko Bangunan Amal Jaya Keramik,"Jl. Pramuka, Lamokato, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara 93561","Lamokato, Kec. Kolaka, Kabupaten Kolaka",SULAWESI TENGGARA,93561.0,Indonesia,82188788865.0,,,-4.057311,121.6020425,https://maps.google.com/?cid=0x0:0x4eac5208ccfe082b,
building materials,Toko Bahan Bangunan,Toko Tiga Kolaka,"Jl. Repelita, Sea, Kec. Latambaga, Kabupaten Kolaka, Sulawesi Tenggara 93511","Sea, Kec. Latambaga, Kabupaten Kolaka",SULAWESI TENGGARA,93511.0,Indonesia,85241645053.0,,,-4.0519021,121.590116,https://maps.google.com/?cid=0x0:0xb259e543d29a1926,
building materials,Toko Bahan Bangunan,Toko Riski Bangunan,"Jalan Pemuda KM.3 No.415 E, Tahoa, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara 93561","Tahoa, Kec. Kolaka, Kabupaten Kolaka",SULAWESI TENGGARA,93561.0,Indonesia,85299994221.0,,,-4.066216,121.6195107,https://maps.google.com/?cid=0x0:0x9d76712335065c23,
building materials,Toko Bahan Bangunan,Intan motor/bangunan hanya jualan offline,"Jl. Pramuka No.39C, Lamokato, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara 93513","Lamokato, Kec. Kolaka, Kabupaten Kolaka",SULAWESI TENGGARA,93513.0,Indonesia,,,,-4.0571487,121.6002509,https://maps.google.com/?cid=0x0:0x7392a64790905dfd,
building materials,Toko Perlengkapan Rumah,Langgeng Business Kolaka,"BTN Griya Bintang Elegan, Mangolo, Jl. Poros Kolaka - Wolo No.4 Blok. C, Mangolo, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara 93516","Mangolo, Jl. Poros Kolaka - Wolo No.4 Blok. C, Mangolo, Kec. Kolaka, Kabupaten Kolaka",SULAWESI TENGGARA,93516.0,Indonesia,85231334275.0,,,-4.0294901,121.5464889,https://maps.google.com/?cid=0x0:0x82f0af442122e7df,
building materials,Pusat Perbelanjaan,Toko Sinar Terang,"Jl. Repelita No.24, Sea, Kec. Latambaga, Kabupaten Kolaka, Sulawesi Tenggara 93511","Sea, Kec. Latambaga, Kabupaten Kolaka",SULAWESI TENGGARA,93511.0,Indonesia,4052321679.0,,,-4.0519853,121.591184,https://maps.google.com/?cid=0x0:0xacca2b0aaedea1de,
