Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hardware store";"hardware store";"Sulawesi Tenggara 93563";"Kec. Polinggona, Kabupaten Kolaka, Sulawesi Tenggara";"Kabupaten Kolaka, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-4.4159481";"121.6739371";"https://maps.google.com/?cid=0x0:0x9488be185143c520";""
"hardware store";"Toko Elektronik";"Toko Sinar Soppeng Anaiwoi";"JGHC+268, Anaiwoi, Tanggetada, Kabupaten Kolaka, Sulawesi Tenggara 93563";"Anaiwoi, Tanggetada, Kabupaten Kolaka";"SULAWESI TENGGARA";"93563";"Indonesia";" 085333777261";"";"";"-4.3724644";"121.520569";"https://maps.google.com/?cid=0x0:0xcfbd0dbce4fe443b";""
"hardware store";"hardware store";"TOKO BANGUNAN HIKMA JAYA";"HG7C+VQQ, Jl. Poros Pomalaa-Wolulu, Anaiwoi, Tanggetada, Kabupaten Kolaka, Sulawesi Tenggara";"Kabupaten Kolaka, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-4.4352884";"121.5219992";"https://maps.google.com/?cid=0x0:0x477feec04fc394e7";""
"hardware store";"Kios";"Toko Cahaya Bone Pomalaa";"JL. Poros Pomalaa-Tanggetada. Kel. Dawi-dawi Kec. Pomalaa, Kec. Kolaka, Kabupaten Kolaka, Sulawesi Tenggara";"Kabupaten Kolaka, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";" 082187298647";"";"";"-4.1784193";"121.6124513";"https://maps.google.com/?cid=0x0:0xebc365d57fdeead8";""
"hardware store";"Toko Bahan Bangunan";"Toko Gaya Baru";"Jl. Hati Gembira, Tonggoni, Kec. Pomalaa, Kabupaten Kolaka, Sulawesi Tenggara 93562";"Tonggoni, Kec. Pomalaa, Kabupaten Kolaka";"SULAWESI TENGGARA";"93562";"Indonesia";" 085396097388";"";"";"-4.1750233";"121.6148597";"https://maps.google.com/?cid=0x0:0x2314e212ec45e323";""
"hardware store";"Toko Bahan Bangunan";"Toko Bidak Sakti";"CGP4+VX2, jl. Ekonomi No 35, Dusun 1 Harapan Jaya, Desa, Wonua Raya, Kec. Toari, Kabupaten Kolaka, Sulawesi Tenggara 93563";"jl. Ekonomi No 35, Dusun 1 Harapan Jaya, Desa, Wonua Raya, Kec. Toari, Kabupaten Kolaka";"SULAWESI TENGGARA";"93563";"Indonesia";" 085237002984";"";"";"-4.5632721";"121.5073259";"https://maps.google.com/?cid=0x0:0xfe391645d07c3148";""
"hardware store";"Toko Bahan Bangunan";"HIKMAH BANGUNAN";"MWWC+H4X, Lambandia, Kec. Lambandia, Kabupaten Kolaka Timur, Sulawesi Tenggara 93573";"Lambandia, Kec. Lambandia, Kabupaten Kolaka Timur";"SULAWESI TENGGARA";"93573";"Indonesia";" 085394201987";"";"";"-4.3035107";"121.9203628";"https://maps.google.com/?cid=0x0:0xf771590fcb855032";""
"hardware store";"Toko Bahan Bangunan";"Toko Priyo";"WVRQ+539, Tasahea, Kec. Tirawuta, Kabupaten Kolaka, Sulawesi Tenggara 93572";"Tasahea, Kec. Tirawuta, Kabupaten Kolaka";"SULAWESI TENGGARA";"93572";"Indonesia";" 085399448485";"";"";"-4.0595768";"121.8877259";"https://maps.google.com/?cid=0x0:0xac6a254e954e1eaf";""
"hardware store";"Kios";"KIOS PUTRI TANI LOWA";"MXC8+426, Lowa, Kec. Lambandia, Kabupaten Kolaka, Sulawesi Tenggara";"Kabupaten Kolaka, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";" 082394189778";"";"";"-4.3297028";"121.9650034";"https://maps.google.com/?cid=0x0:0xf3925403bfe45434";""
"hardware store";"Pusat Perbelanjaan";"MR.DIY";"Jl. Jend. Sudirman, Dawi-Dawi, Kec. Pomalaa, Kabupaten Kolaka, Sulawesi Tenggara 93562";"Dawi-Dawi, Kec. Pomalaa, Kabupaten Kolaka";"SULAWESI TENGGARA";"93562";"Indonesia";"";"";"";"-4.1792251";"121.6116618";"https://maps.google.com/?cid=0x0:0x61f36782905096e7";""
"hardware store";"Toko";"Foto Copy MC";"GG48+2VH, Unnamed Road, Tandebura, Kec. Watubangga, Kabupaten Kolaka, Sulawesi Tenggara 93571";"Unnamed Road, Tandebura, Kec. Watubangga, Kabupaten Kolaka";"SULAWESI TENGGARA";"93571";"Indonesia";" 082386666398";"";"";"-4.4949269";"121.5172494";"https://maps.google.com/?cid=0x0:0x23540545610da4cd";""
"hardware store";"Toko Bahan Bangunan";"Toko Nurul Vadya Bangunan";"XH3J+Q76, Jl. Abadi, Kolakaasi, Kec. Latambaga, Kabupaten Kolaka, Sulawesi Tenggara 93511";"Jl. Abadi, Kolakaasi, Kec. Latambaga, Kabupaten Kolaka";"SULAWESI TENGGARA";"93511";"Indonesia";" 081341729995";"";"";"-4.0455873";"121.5806317";"https://maps.google.com/?cid=0x0:0xecb17a48f641eda5";""
"hardware store";"Pusat Perbelanjaan";"Pasar Tradisional Anaiwoi";"JGGH+9FW, Anaiwoi, Tanggetada, Kabupaten Kolaka, Sulawesi Tenggara 93563";"Anaiwoi, Tanggetada, Kabupaten Kolaka";"SULAWESI TENGGARA";"93563";"Indonesia";"";"";"";"-4.3740008";"121.5287162";"https://maps.google.com/?cid=0x0:0x6291554d337208ff";""
"hardware store";"Toko Bahan Bangunan";"Toko Bangunan Aneka Baya";"RJG7+6X4, Tonggoni, Kec. Pomalaa, Kabupaten Kolaka, Sulawesi Tenggara 93562";"Tonggoni, Kec. Pomalaa, Kabupaten Kolaka";"SULAWESI TENGGARA";"93562";"Indonesia";" 085241824886";"";"";"-4.1744932";"121.6149507";"https://maps.google.com/?cid=0x0:0x8938d63b80a7ac4";""
"hardware store";"Toko Perlengkapan Rumah";"Toko 237 BANGUNAN";"RW4Q+72J, Gn. Jaya, Kec. Ladongi, Kabupaten Kolaka Timur, Sulawesi Tenggara 93573";"Gn. Jaya, Kec. Ladongi, Kabupaten Kolaka Timur";"SULAWESI TENGGARA";"93573";"Indonesia";" 082346811111";"";"";"-4.1942822";"121.937503";"https://maps.google.com/?cid=0x0:0xb77af64a0ab58cb3";""
