Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Ladongi,"Ladongi, Kec. Ladongi, Kabupaten Kolaka Timur, Sulawesi Tenggara","Kabupaten Kolaka Timur, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-4.142409,121.901901,https://maps.google.com/?cid=0x0:0xf976c8583833e88d,
mall,Toko,Toko Nihla,"VW56+X89, Ladongi, Kec. Ladongi, Kabupaten Kolaka, Sulawesi Tenggara 93573","Ladongi, Kec. Ladongi, Kabupaten Kolaka",SULAWESI TENGGARA,93573.0,Indonesia,,,,-4.1400843,121.9108455,https://maps.google.com/?cid=0x0:0x1b6ce410bc2bca49,
mall,Toko,ZIOLA LADONGI,"RXV4+WW7, Welala, Kec. Ladongi, Kabupaten Kolaka, Sulawesi Tenggara 93573","Welala, Kec. Ladongi, Kabupaten Kolaka",SULAWESI TENGGARA,93573.0,Indonesia, 08114059816,,,-4.1552151,121.9573111,https://maps.google.com/?cid=0x0:0x30a9ab7e459b6b82,
mall,Toko Akuarium,Kios Lela,"RWPC+V5V, Unnamed Road, Welala, Kec. Ladongi, Kabupaten Kolaka Timur, Sulawesi Tenggara 93573","Unnamed Road, Welala, Kec. Ladongi, Kabupaten Kolaka Timur",SULAWESI TENGGARA,93573.0,Indonesia, 082292804981,,,-4.1627524,121.9204334,https://maps.google.com/?cid=0x0:0x3bf64fb0707025db,
mall,Pusat Perbelanjaan,Q7 Sticker Ladongi,"VW95+232, Ladongi, Kec. Ladongi, Kabupaten Kolaka Timur, Sulawesi Tenggara 93573","Ladongi, Kec. Ladongi, Kabupaten Kolaka Timur",SULAWESI TENGGARA,93573.0,Indonesia, 085396996699,,,-4.1324755,121.9076529,https://maps.google.com/?cid=0x0:0x3b1aa9cb5c318d99,
mall,Pusat Perbelanjaan,Asyla Cell,"Jl. Poros, Ladongi, Kec. Ladongi, Kabupaten Kolaka Timur, Sulawesi Tenggara 93573","Ladongi, Kec. Ladongi, Kabupaten Kolaka Timur",SULAWESI TENGGARA,93573.0,Indonesia, 081354917575,,,-4.1324739,121.9076862,https://maps.google.com/?cid=0x0:0x4d12a5f52db7ee1f,
mall,Minimarket,INDOMARET LADONGI,"RWW8+M6F, Atula, Kec. Ladongi, Kabupaten Kolaka Timur, Sulawesi Tenggara 93573","Atula, Kec. Ladongi, Kabupaten Kolaka Timur",SULAWESI TENGGARA,93573.0,Indonesia,,,,-4.1533118,121.915543,https://maps.google.com/?cid=0x0:0xa77b8fc8bcf2ee7a,
mall,Toko Pakaian,Mbak milla collection,"RW7M+8M, Gn. Jaya, Kec. Ladongi, Kabupaten Kolaka, Sulawesi Tenggara","Kabupaten Kolaka, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-4.1866587,121.9341589,https://maps.google.com/?cid=0x0:0x705d549256b36b24,
mall,mall,Melany,"VW94+VJC, Jl. Poros, Ladongi, Kec. Ladongi, Kabupaten Kolaka Timur, Sulawesi Tenggara 93573","Jl. Poros, Ladongi, Kec. Ladongi, Kabupaten Kolaka Timur",SULAWESI TENGGARA,93573.0,Indonesia,,,,-4.1303116,121.9065191,https://maps.google.com/?cid=0x0:0xbcb664587d1742eb,
mall,mall,Suliyanti Shoop,"VW95+WQR, Ladongi, Kec. Ladongi, Kabupaten Kolaka, Sulawesi Tenggara 93573","Ladongi, Kec. Ladongi, Kabupaten Kolaka",SULAWESI TENGGARA,93573.0,Indonesia,,,,-4.1301318,121.9093964,https://maps.google.com/?cid=0x0:0x71a66cab317aee6a,
mall,Pasar,Pasar Welala,"RWV8+RWW, Welala, Kec. Ladongi, Kabupaten Kolaka Timur, Sulawesi Tenggara 93573","Welala, Kec. Ladongi, Kabupaten Kolaka Timur",SULAWESI TENGGARA,93573.0,Indonesia,,,,-4.1553915,121.9173384,https://maps.google.com/?cid=0x0:0xdbd619c8d34941b3,
mall,Pusat Perbelanjaan,ZHOPPENK STICKER LADONGI,"VW94+2X9, Ladongi, Kec. Ladongi, Kabupaten Kolaka, Sulawesi Tenggara 93573","Ladongi, Kec. Ladongi, Kabupaten Kolaka",SULAWESI TENGGARA,93573.0,Indonesia, 085396996699,,,-4.1324624,121.9074858,https://maps.google.com/?cid=0x0:0x3e19a98e0cd9d68c,
mall,mall,Kios Win,"VW84+GQ7, Unnamed Road, Ladongi, Kec. Ladongi, Kabupaten Kolaka Timur, Sulawesi Tenggara 93573","Unnamed Road, Ladongi, Kec. Ladongi, Kabupaten Kolaka Timur",SULAWESI TENGGARA,93573.0,Indonesia,,,,-4.1337671,121.9069613,https://maps.google.com/?cid=0x0:0x299b751d134ffe9d,
mall,mall,Kec. Lalolae,"Kabupaten Kolaka Timur, Sulawesi Tenggara","Kabupaten Kolaka Timur, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-4.0256541,121.7842582,https://maps.google.com/?cid=0x0:0x16745ece4e90ef2b,
mall,Pusat Perbelanjaan,Pasar Lalolae,"XRP6+GP2, Jl. Poros Kolaka - Rate-rate, Lalosingi, Kec. Lalolae, Kabupaten Kolaka Timur, Sulawesi Tenggara 93572","Jl. Poros Kolaka - Rate-rate, Lalosingi, Kec. Lalolae, Kabupaten Kolaka Timur",SULAWESI TENGGARA,93572.0,Indonesia,,,,-4.0137476,121.8117769,https://maps.google.com/?cid=0x0:0xefd08d099a6e7aed,
