Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Kec. Batu Putih,"Kabupaten Kolaka Utara, Sulawesi Tenggara","Kabupaten Kolaka Utara, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-3.074246,121.082312,https://maps.google.com/?cid=0x0:0x212cea78674168b6,
mall,Taman,Pasar rakyat batuputih,"W3FX+9G, Batu Putih, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955","Batu Putih, Kec. Batu Putih, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93955.0,Indonesia,,,,-3.0766061,121.0988583,https://maps.google.com/?cid=0x0:0xfb04276ce5e2128a,
mall,Rumah Kayu,Pasar Madani Saludongka,"V4R5+MHG, Salu Dongka, Kec. Pakue Utara, Kabupaten Kolaka Utara, Sulawesi Tenggara 93954","Salu Dongka, Kec. Pakue Utara, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93954.0,Indonesia,,,,-3.1083134,121.1089547,https://maps.google.com/?cid=0x0:0x2891cf03891f40d8,
mall,Toko,Butik Ibu  Warkop Ayah,"W3FX+MPM depan Rijal Cell, Jl. Trans Jl. Poros Malili - Batuputih, Batu Putih, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955","Jl. Trans Jl. Poros Malili - Batuputih, Batu Putih, Kec. Batu Putih, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93955.0,Indonesia,85242606183.0,,,-3.0757864,121.0992916,https://maps.google.com/?cid=0x0:0x692b18902446b637,
mall,Toko,Toko salsah,"V4MG+P79, Salu Dongka, Kec. Pakue Utara, Kabupaten Kolaka Utara, Sulawesi Tenggara 93954","Salu Dongka, Kec. Pakue Utara, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93954.0,Indonesia,,,,-3.1157044,121.1257456,https://maps.google.com/?cid=0x0:0x3c970773af460b13,
mall,Pusat Perbelanjaan,Pasar Latali,"V36Q+9W7, Latali, Kec. Pakue Tengah, Kabupaten Kolaka Utara, Sulawesi Tenggara 93954","Latali, Kec. Pakue Tengah, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93954.0,Indonesia,,,,-3.1390875,121.0898108,https://maps.google.com/?cid=0x0:0x51f2eb8eb9b87773,
mall,Kantor Pemerintah,Pasar Desa Puundoho,"V4Q4+7JV, Puundoho, Kec. Pakue Utara, Kabupaten Kolaka Utara, Sulawesi Tenggara 93954","Puundoho, Kec. Pakue Utara, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93954.0,Indonesia,,,,-3.1117528,121.1065385,https://maps.google.com/?cid=0x0:0xff21fe7c0f06be4a,
mall,Masjid,Pasar Kosali,"Q2FQ+3H9, Jl. Poros Lapai - Malili, Kosali, Kec. Pakue, Kabupaten Kolaka Utara, Sulawesi Tenggara 93954","Jl. Poros Lapai - Malili, Kosali, Kec. Pakue, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93954.0,Indonesia,,,,-3.2273288,121.0389934,https://maps.google.com/?cid=0x0:0x80c42f87abc007a6,
mall,Pusat Perbelanjaan,Pasar Pasampang,"R39M+566, Jl. Poros Olooloho - Lasusua, Pasampang, Kec. Pakue Tengah, Kabupaten Kolaka Utara, Sulawesi Tenggara 93954","Jl. Poros Olooloho - Lasusua, Pasampang, Kec. Pakue Tengah, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93954.0,Indonesia,,,,-3.1820956,121.083018,https://maps.google.com/?cid=0x0:0x64a7a0d161f0a862,
mall,Kantor Perusahaan,PT KASMAR TIAR RAYA,"X3CQ+GQ9, Lelewawo, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955","Lelewawo, Kec. Batu Putih, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93955.0,Indonesia,,,,-3.0287092,121.0894944,https://maps.google.com/?cid=0x0:0xa80456f14261851b,
mall,Grosir Mebel,ARDI Meubel Aluminium,"kompleks pasar saludongka Pakue Utara, Kabupaten Kolaka Utara, Sulawesi Tenggara","Kabupaten Kolaka Utara, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,82221749479.0,,,-3.1093532,121.1088261,https://maps.google.com/?cid=0x0:0x5793be19087d559c,
mall,Kantor Perusahaan,PT. TMM,"X36F+QFC, Mosiku, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara","Kabupaten Kolaka Utara, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-3.0380688,121.0736389,https://maps.google.com/?cid=0x0:0xc39ce802e94008d4,
mall,mall,"Splendora, Texas 77372","Splendora, Texas, Amerika Serikat","Splendora, Texas, Amerika Serikat",SULAWESI TENGGARA,,Indonesia,,,,30.2301354,-95.1744903,https://maps.google.com/?cid=0x0:0xca0aa016df2e7104,
mall,mall,"Hotel Manhattan, BW Signature Collection","17546 US-59, New Caney, TX 77357, Amerika Serikat",US-59,SULAWESI TENGGARA,17546.0,Indonesia,12813067057.0,,,30.1912156,-95.1934398,https://maps.google.com/?cid=0x0:0x81605ee460ff6d76,
mall,mall,Kec. Batu Putih,"Kabupaten Kolaka Utara, Sulawesi Tenggara","Kabupaten Kolaka Utara, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-3.074246,121.082312,https://maps.google.com/?cid=0x0:0x212cea78674168b6,
mall,Taman,Pasar rakyat batuputih,"W3FX+9G, Batu Putih, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955","Batu Putih, Kec. Batu Putih, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93955.0,Indonesia,,,,-3.0766061,121.0988583,https://maps.google.com/?cid=0x0:0xfb04276ce5e2128a,
mall,Rumah Kayu,Pasar Madani Saludongka,"V4R5+MHG, Salu Dongka, Kec. Pakue Utara, Kabupaten Kolaka Utara, Sulawesi Tenggara 93954","Salu Dongka, Kec. Pakue Utara, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93954.0,Indonesia,,,,-3.1083134,121.1089547,https://maps.google.com/?cid=0x0:0x2891cf03891f40d8,
mall,Toko,Butik Ibu  Warkop Ayah,"W3FX+MPM depan Rijal Cell, Jl. Trans Jl. Poros Malili - Batuputih, Batu Putih, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955","Jl. Trans Jl. Poros Malili - Batuputih, Batu Putih, Kec. Batu Putih, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93955.0,Indonesia,85242606183.0,,,-3.0757864,121.0992916,https://maps.google.com/?cid=0x0:0x692b18902446b637,
mall,Toko,Toko salsah,"V4MG+P79, Salu Dongka, Kec. Pakue Utara, Kabupaten Kolaka Utara, Sulawesi Tenggara 93954","Salu Dongka, Kec. Pakue Utara, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93954.0,Indonesia,,,,-3.1157044,121.1257456,https://maps.google.com/?cid=0x0:0x3c970773af460b13,
mall,Pusat Perbelanjaan,Pasar Latali,"V36Q+9W7, Latali, Kec. Pakue Tengah, Kabupaten Kolaka Utara, Sulawesi Tenggara 93954","Latali, Kec. Pakue Tengah, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93954.0,Indonesia,,,,-3.1390875,121.0898108,https://maps.google.com/?cid=0x0:0x51f2eb8eb9b87773,
mall,Kantor Pemerintah,Pasar Desa Puundoho,"V4Q4+7JV, Puundoho, Kec. Pakue Utara, Kabupaten Kolaka Utara, Sulawesi Tenggara 93954","Puundoho, Kec. Pakue Utara, Kabupaten Kolaka Utara",SULAWESI TENGGARA,93954.0,Indonesia,,,,-3.1117528,121.1065385,https://maps.google.com/?cid=0x0:0xff21fe7c0f06be4a,
mall,Pusat Perbelanjaan,The Woodlands Mall,"1201 Lake Woodlands Dr #700, The Woodlands, TX 77380, Amerika Serikat","The Woodlands, TX",SULAWESI TENGGARA,77380.0,Indonesia,12813633363.0,,,30.1643612,-95.4539757,https://maps.google.com/?cid=0x0:0x7b3321b4a9cecfbb,
mall,Pusat Perbelanjaan,Lake Woodlands Crossing,"1900 Lake Woodlands Dr, The Woodlands, TX 77380, Amerika Serikat","The Woodlands, TX",SULAWESI TENGGARA,77380.0,Indonesia,17134352203.0,,,30.166019,-95.4645085,https://maps.google.com/?cid=0x0:0x88275a61bee9783f,
mall,Pusat Perbelanjaan,Woodlands Shopping Area,"2025 Hughes Landing Blvd, The Woodlands, TX 77381, Amerika Serikat","The Woodlands, TX",SULAWESI TENGGARA,77381.0,Indonesia,,,,30.168915,-95.4717413,https://maps.google.com/?cid=0x0:0x7b882a5476c611f7,
mall,Pusat Perbelanjaan,Lake Woodlands Plaza,"1640 Lake Woodlands Dr, The Woodlands, TX 77380, Amerika Serikat","The Woodlands, TX",SULAWESI TENGGARA,77380.0,Indonesia,,,,30.1674897,-95.4594628,https://maps.google.com/?cid=0x0:0x7e420241e02f7a8d,
mall,Stasiun Pengisian Kendaraan Listrik,Volta Charging Station,"Parking lot, The Woodlands, TX 77380, Amerika Serikat","The Woodlands, TX",SULAWESI TENGGARA,77380.0,Indonesia,18882642208.0,,,30.1644103,-95.4580161,https://maps.google.com/?cid=0x0:0xa5b71ceee05829ac,
mall,Stasiun Pengisian Kendaraan Listrik,Shell Recharge Charging Station,"1201 Lake Woodlands Dr, The Woodlands, TX 77380, Amerika Serikat","The Woodlands, TX",SULAWESI TENGGARA,77380.0,Indonesia,18882642208.0,,,30.1643015,-95.455828,https://maps.google.com/?cid=0x0:0x43193aec675f8831,
mall,Stasiun Pengisian Kendaraan Listrik,Shell Recharge Charging Station,"1201 Lake Woodlands Dr, The Woodlands, TX 77380, Amerika Serikat","The Woodlands, TX",SULAWESI TENGGARA,77380.0,Indonesia,18887518560.0,,,30.163527,-95.4566228,https://maps.google.com/?cid=0x0:0x55ea5c77b2eb5add,
