Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Lawata Batu Putih Kolaka Utara";"W334+7G4, Unnamed Road, Lawata, Kec. Pakue Utara, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955";"Unnamed Road, Lawata, Kec. Pakue Utara, Kabupaten Kolaka Utara";"SULAWESI TENGGARA";"93955";"Indonesia";"";"";"";"-3.096859";"121.056337";"https://maps.google.com/?cid=0x0:0x7118b18e25f9730b";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Perumahan Sdn 001 Batu Putih";"9CGP+4C3, Batu Putih, Kec. Batu Putih, Kabupaten Berau, Kalimantan Timur 77373";"Batu Putih, Kec. Batu Putih, Kabupaten Berau";"SULAWESI TENGGARA";"77373";"Indonesia";"";"";"";"1.3752626";"118.4360379";"https://maps.google.com/?cid=0x0:0x76344c25fc08add9";""
"komplek housing";"komplek housing";"Komplek Housing";"Blok Bojong Nangka I, Jl. Ring Rudal Blok Bojong Nangka I No.68, RT.001/RW.007, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414";"Jl. Ring Rudal Blok Bojong Nangka I No.68, RT.001/RW.007, Jatirahayu, Kec. Pd. Melati, Kota Bks";"SULAWESI TENGGARA";"17414";"Indonesia";"";"";"";"-6.293724";"106.9165114";"https://maps.google.com/?cid=0x0:0x9c50464976dee674";""
"komplek housing";"komplek housing";"Kec. Batu Putih";"Kabupaten Kolaka Utara, Sulawesi Tenggara";"Kabupaten Kolaka Utara, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-3.074246";"121.082312";"https://maps.google.com/?cid=0x0:0x212cea78674168b6";""
"komplek housing";"komplek housing";"Batu Putih";"Kec. Mallawa, Kabupaten Maros, Sulawesi Selatan";"Kabupaten Maros, Sulawesi Selatan";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-4.7916713";"119.9335779";"https://maps.google.com/?cid=0x0:0x284bd9be2c16c151";""
"komplek housing";"Komplek perumahan";"Sunrise River Muktijaya";"H2WP+3JH, Jl. Muktijaya - Cigelam, Muktijaya, Kec. Setu, Kabupaten Bekasi, Jawa Barat 17320";"Jl. Muktijaya - Cigelam, Muktijaya, Kec. Setu, Kabupaten Bekasi";"SULAWESI TENGGARA";"17320";"Indonesia";" 081290277288";"";"";"-6.4048186";"107.0366116";"https://maps.google.com/?cid=0x0:0x4531fe10b04fec4c";""
"komplek housing";"Komplek perumahan";"Puri Gading Village";"Jl. Desa Jatiluhur No.58, RT.001/RW.006, Jatiluhur, Kec. Jatiasih, Kota Bks, Jawa Barat 17425";"RT.001/RW.006, Jatiluhur, Kec. Jatiasih, Kota Bks";"SULAWESI TENGGARA";"17425";"Indonesia";"";"";"";"-6.3211186";"106.9441376";"https://maps.google.com/?cid=0x0:0x66d58b152a910595";""
"komplek housing";"komplek housing";"Komplek Housing";"Blok Bojong Nangka I, Jl. Ring Rudal Blok Bojong Nangka I No.68, RT.001/RW.007, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17414";"Jl. Ring Rudal Blok Bojong Nangka I No.68, RT.001/RW.007, Jatirahayu, Kec. Pd. Melati, Kota Bks";"SULAWESI TENGGARA";"17414";"Indonesia";"";"";"";"-6.293724";"106.9165114";"https://maps.google.com/?cid=0x0:0x9c50464976dee674";""
"komplek housing";"komplek housing";"Kec. Batu Putih";"Kabupaten Kolaka Utara, Sulawesi Tenggara";"Kabupaten Kolaka Utara, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-3.074246";"121.082312";"https://maps.google.com/?cid=0x0:0x212cea78674168b6";""
"komplek housing";"Komplek perumahan";"Artha Kencana";"PW4P+PF7, Jl. Kav. Artha Kencana, RT.9/RW.2, Cilangkap, Kec. Pd. Gede, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta";"Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-6.2932195";"106.9361767";"https://maps.google.com/?cid=0x0:0x7c758e5a0c03748e";""
"komplek housing";"Pembangunan Perumahan";"Perumahan Kota Serang Baru";"Jl. Apel VI No.9, Sukaragam, Kec. Serang Baru, Kabupaten Bekasi, Jawa Barat 17330";"Sukaragam, Kec. Serang Baru, Kabupaten Bekasi";"SULAWESI TENGGARA";"17330";"Indonesia";"";"";"";"-6.3966303";"107.1144077";"https://maps.google.com/?cid=0x0:0x95158fcc56ffcc00";""
"komplek housing";"komplek housing";"Sulawesi Tenggara 93955";"Kabupaten Kolaka Utara, Sulawesi Tenggara";"Kabupaten Kolaka Utara, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-3.0486929";"121.1481284";"https://maps.google.com/?cid=0x0:0xf1a9ea3d80230301";""
"komplek housing";"Komplek perumahan";"Perumahan Wawan Sapring";"X3CV+C8G, Lelewawo, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara";"Kabupaten Kolaka Utara, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-3.0289275";"121.0933132";"https://maps.google.com/?cid=0x0:0xe046f3d84322ca93";""
"komplek housing";"Komplek perumahan";"Aidil Home";"Jl. Pendidikan No.30, Mosiku, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara";"Kabupaten Kolaka Utara, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-3.0380688";"121.0736389";"https://maps.google.com/?cid=0x0:0x17a9cd3e188dc457";""
"komplek housing";"Komplek perumahan";"Baru putih atas";"W3GJ+8W3, Latowu, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara";"Kabupaten Kolaka Utara, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-3.074246";"121.082312";"https://maps.google.com/?cid=0x0:0x99d844d55c8ae85b";""
"komplek housing";"Komplek perumahan";"Alifff";"X36W+4F, Mosiku, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara";"Kabupaten Kolaka Utara, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";" 082193682080";"";"";"-3.0396928";"121.0962398";"https://maps.google.com/?cid=0x0:0xbe66a697a494ed82";""
"komplek housing";"Komplek perumahan";"Rumah fikri";"X3RW+F27, Jl. Poros Malili - Batuputih, Lelewawo, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955";"Jl. Poros Malili - Batuputih, Lelewawo, Kec. Batu Putih, Kabupaten Kolaka Utara";"SULAWESI TENGGARA";"93955";"Indonesia";"";"";"";"-3.0089597";"121.0945631";"https://maps.google.com/?cid=0x0:0x1607c24459f9e0c8";""
"komplek housing";"Komplek perumahan";"Rumah AI";"W4G2+4JC, Jl. Poros Malili - Batuputih, Batu Putih, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955";"Jl. Poros Malili - Batuputih, Batu Putih, Kec. Batu Putih, Kabupaten Kolaka Utara";"SULAWESI TENGGARA";"93955";"Indonesia";"";"";"";"-3.0744473";"121.1010256";"https://maps.google.com/?cid=0x0:0xba19f94261f3c89c";""
"komplek housing";"Pembangunan Perumahan";"Jubair.t";"X3QV+C7P, Lelewawo, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955";"Lelewawo, Kec. Batu Putih, Kabupaten Kolaka Utara";"SULAWESI TENGGARA";"93955";"Indonesia";"";"";"";"-3.0113432";"121.0930942";"https://maps.google.com/?cid=0x0:0x3ea745403084ec12";""
"komplek housing";"Komplek perumahan";"Rumah lenhy";"X453+PVR, Mosiku, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara";"Kabupaten Kolaka Utara, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-3.0409216";"121.1055307";"https://maps.google.com/?cid=0x0:0xefee70302a4fa99b";""
"komplek housing";"Komplek perumahan";"Winda hasbullah";"W426+5CX, Jl. Poros Batuputih - Olooloho, Bukit Baru, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955";"Jl. Poros Batuputih - Olooloho, Bukit Baru, Kec. Batu Putih, Kabupaten Kolaka Utara";"SULAWESI TENGGARA";"93955";"Indonesia";"";"";"";"-3.0995097";"121.1111231";"https://maps.google.com/?cid=0x0:0x5d3c23b27f6abe56";""
"komplek housing";"Kantor Pemerintah";"Perumahan Desa Patikala";"43FJ+3C8, Patikala, Kec. Tolala, Kabupaten Kolaka Utara, Sulawesi Tenggara";"Kabupaten Kolaka Utara, Sulawesi Tenggara";"SULAWESI TENGGARA";"";"Indonesia";"";"";"";"-2.8762613";"121.0806772";"https://maps.google.com/?cid=0x0:0x440baf6dcf347eb0";""
"komplek housing";"Komplek perumahan";"Kantor Desa Batu api";"W37R+9JM, Batu Api, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955";"Batu Api, Kec. Batu Putih, Kabupaten Kolaka Utara";"SULAWESI TENGGARA";"93955";"Indonesia";"";"";"";"-3.086546";"121.0915507";"https://maps.google.com/?cid=0x0:0xec7c731438745bbc";""
"komplek housing";"Komplek perumahan";"Rumah Pak Manti";"W4F3+GWC, Jl. Poros Malili - Batuputih, Batu Putih, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara 93955";"Jl. Poros Malili - Batuputih, Batu Putih, Kec. Batu Putih, Kabupaten Kolaka Utara";"SULAWESI TENGGARA";"93955";"Indonesia";"";"";"";"-3.0751015";"121.1047629";"https://maps.google.com/?cid=0x0:0x46ac3c99a0081cf2";""
"komplek housing";"Komplek perumahan";"Sultani.R Home";"W3FJ+VV6, Latowu, Kec. Batu Putih, Kabupaten Kolaka Utara, Sulawesi Tenggara 95055";"Latowu, Kec. Batu Putih, Kabupaten Kolaka Utara";"SULAWESI TENGGARA";"95055";"Indonesia";"";"";"";"-3.0760291";"121.0818898";"https://maps.google.com/?cid=0x0:0x742ee58756b14d96";""
