Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
mall,mall,Sulawesi Tenggara 93452,"Kabupaten Konawe, Sulawesi Tenggara","Kabupaten Konawe, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-3.6324121,121.856261,https://maps.google.com/?cid=0x0:0x6957837804e8ec0e,
mall,Pasar,pasar sambeani,"6WVC+2FF, Sambeani, Kec. Abuki, Kabupaten Konawe, Sulawesi Tenggara 93452","Sambeani, Kec. Abuki, Kabupaten Konawe",SULAWESI TENGGARA,93452.0,Indonesia,,,,-3.757431,121.9211662,https://maps.google.com/?cid=0x0:0x56e4c890d4dacf23,
mall,Toko,TOKO PUNCAK SARI,"Unnamed Road, Sambaosu, Kec. Abuki, Kabupaten Konawe, Sulawesi Tenggara 93452","Sambaosu, Kec. Abuki, Kabupaten Konawe",SULAWESI TENGGARA,93452.0,Indonesia,82337574000.0,,,-3.6884948,121.8929595,https://maps.google.com/?cid=0x0:0x9985809e42324adf,
mall,Komplek perumahan,Pasar Puriala,"X449+66X, Watundehoa, Kec. Puriala, Kabupaten Konawe, Sulawesi Tenggara 93452","Watundehoa, Kec. Puriala, Kabupaten Konawe",SULAWESI TENGGARA,93452.0,Indonesia,,,,-4.0443896,122.1181055,https://maps.google.com/?cid=0x0:0xc9ad802436484ba,
mall,Toko,KIOS ABI,"XF7M+HVF, Jl. Sanggoleo, RT.004/RW.002, Watubangga, Kec. Baruga, Kota Kendari, Sulawesi Tenggara 93116","Jl. Sanggoleo, RT.004/RW.002, Watubangga, Kec. Baruga, Kota Kendari",SULAWESI TENGGARA,93116.0,Indonesia,82318389444.0,,,-4.0360565,122.4846712,https://maps.google.com/?cid=0x0:0xb33c102825a8d581,
mall,Toko bahan makanan,Kios Mujiono,"7VRG+57Q, Desa Padangguni, Kec. Padangguni, Kab.Konawe Kode Pos, Lasada, Kec. Asinua, Kabupaten Konawe, Sulawesi Tenggara 93453","Desa Padangguni, Kec. Padangguni, Kab.Konawe Kode Pos, Lasada, Kec. Asinua, Kabupaten Konawe",SULAWESI TENGGARA,93453.0,Indonesia,85241807317.0,,,-3.7095367,121.8757458,https://maps.google.com/?cid=0x0:0x64feca9d1d503e11,
mall,Toko Komputer,Colok Clink,"Perum Bumi Cikarang Makmur BLOK D14, Sukadami, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530","Sukadami, Cikarang Sel., Kabupaten Bekasi",SULAWESI TENGGARA,17530.0,Indonesia,8561703382.0,,,-6.3532731,107.1072208,https://maps.google.com/?cid=0x0:0xa12bf8c7a0a7ac43,
mall,Toko Kue,CV ABUNMART INDO PRIMA (Abun Aneka Plastik OLSHOP),"GERBANG ABUN, Jl. Kubur Islam No.12A, RT.9/RW.10, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220","Jl. Kubur Islam No.12A, RT.9/RW.10, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan",SULAWESI TENGGARA,12220.0,Indonesia,8119412179.0,,,-6.2306881,106.7826985,https://maps.google.com/?cid=0x0:0x28facb10163a1603,
mall,mall,Abudy,"2HPC+GXP, Jl. Sadang, Margahayu Tengah, Kec. Margahayu, Kabupaten Bandung, Jawa Barat 40225","Jl. Sadang, Margahayu Tengah, Kec. Margahayu, Kabupaten Bandung",SULAWESI TENGGARA,40225.0,Indonesia,,,,-6.9636645,107.5724608,https://maps.google.com/?cid=0x0:0xe6451ac5e577e4ba,
mall,mall,Sulawesi Tenggara 93463,"Kabupaten Konawe, Sulawesi Tenggara","Kabupaten Konawe, Sulawesi Tenggara",SULAWESI TENGGARA,,Indonesia,,,,-4.0188372,122.2427,https://maps.google.com/?cid=0x0:0x197801a4ff84f808,
