Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"building materials";"building materials";"Sumatera Utara 20857";"Kabupaten Langkat, Sumatera Utara";"Kabupaten Langkat, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"3.9660976";"98.3307468";"https://maps.google.com/?cid=0x0:0xe12f13f087c14401";""
"building materials";"Toko Bahan Bangunan";"Tunggal Jaya";"27GR+GM3, Jl. Sei Bilah, Sei Bilah, Kec. Babalan, Kabupaten Langkat, Sumatera Utara 20881";"Jl. Sei Bilah, Sei Bilah, Kec. Babalan, Kabupaten Langkat";"SUMATERA UTARA";"20881";"Indonesia";" 081264549502";"";"";"4.0262504";"98.2916738";"https://maps.google.com/?cid=0x0:0x8a1a2c7bf9a9b195";""
"building materials";"Toko Perlengkapan Rumah";"TB sinar Jaya";"27FW+7GQ, Brandan Bar., Kec. Babalan, Kabupaten Langkat, Sumatera Utara 20881";"Brandan Bar., Kec. Babalan, Kabupaten Langkat";"SUMATERA UTARA";"20881";"Indonesia";" 081371472967";"";"";"4.0231124";"98.2970486";"https://maps.google.com/?cid=0x0:0xa90ba612a77f6c55";""
"building materials";"Toko Elektronik";"Toko ALAY JAYA";"X995+2M3, Jalan Lintas Medan - Banda Aceh, Pekan Gebang, Kec. Gebang, Kabupaten Langkat, Sumatera Utara 20857";"Jalan Lintas Medan - Banda Aceh, Pekan Gebang, Kec. Gebang, Kabupaten Langkat";"SUMATERA UTARA";"20857";"Indonesia";"";"";"";"3.967502";"98.3591618";"https://maps.google.com/?cid=0x0:0x9e8b4d987c1b3e99";""
"building materials";"Toko bahan makanan";"Laris jaya";"Gg. Pelita, Pelawi Utara, Kec. Babalan, Kabupaten Langkat, Sumatera Utara 20881";"Pelawi Utara, Kec. Babalan, Kabupaten Langkat";"SUMATERA UTARA";"20881";"Indonesia";" 085362947399";"";"";"4.0101575";"98.2939029";"https://maps.google.com/?cid=0x0:0xc4a70d30f471353e";""
"building materials";"";"Toko Roda mas";"Jl. Mesjid No.142, Brandan Tim. Baru, Kec. Babalan, Kabupaten Langkat, Sumatera Utara 20881";"Brandan Tim. Baru, Kec. Babalan, Kabupaten Langkat";"SUMATERA UTARA";"20881";"Indonesia";" 082363384848";"";"";"4.0230334";"98.2868231";"https://maps.google.com/?cid=0x0:0x972c30167af29766";""
"building materials";"Pembangunan Perumahan";"PT. Asia Forestama Raya";"Jl. Medan - Banda Aceh No.68, Alur Dua, Kec. Sei Lepan, Kabupaten Langkat, Sumatera Utara 20881";"Alur Dua, Kec. Sei Lepan, Kabupaten Langkat";"SUMATERA UTARA";"20881";"Indonesia";" 0620350001";"";"";"4.0088304";"98.2756911";"https://maps.google.com/?cid=0x0:0xc1165f618830fe5e";""
"building materials";"Toko Perlengkapan Rumah";"Ud Tani Mulyo";"X7GF+23M, Jl. Paya Mala, Alur Dua, Kec. Sei Lepan, Kabupaten Langkat, Sumatera Utara 20881";"Jl. Paya Mala, Alur Dua, Kec. Sei Lepan, Kabupaten Langkat";"SUMATERA UTARA";"20881";"Indonesia";"";"";"";"3.9750952";"98.2726638";"https://maps.google.com/?cid=0x0:0x2cc67e0a490cfc9a";""
"building materials";"Dealer Sepeda Motor";"Alfan motor";"X9C3+4M4, Paluh Manis, Kec. Gebang, Kabupaten Langkat, Sumatera Utara 20857";"Paluh Manis, Kec. Gebang, Kabupaten Langkat";"SUMATERA UTARA";"20857";"Indonesia";"";"";"";"3.9706591";"98.3538986";"https://maps.google.com/?cid=0x0:0xe5e9b68becfe72f6";""
"building materials";"Toko Bahan Bangunan";"Tb.Muslim";"36QV+5GF, Jl. Pangkalan Susu - Brandan, Paya Tampak, Kec. Pangkalan Susu, Kabupaten Langkat, Sumatera Utara 20858";"Jl. Pangkalan Susu - Brandan, Paya Tampak, Kec. Pangkalan Susu, Kabupaten Langkat";"SUMATERA UTARA";"20858";"Indonesia";"";"";"";"4.0879266";"98.2437859";"https://maps.google.com/?cid=0x0:0x8492267b3ff0f04f";""
"building materials";"Toko Bahan Bangunan";"Toko Razali Bis";"Jl. Pangkalan Susu - Brandan No.104, Sungai Siur, Kec. Pangkalan Susu, Kabupaten Langkat, Sumatera Utara 20858";"Sungai Siur, Kec. Pangkalan Susu, Kabupaten Langkat";"SUMATERA UTARA";"20858";"Indonesia";" 081361681584";"";"";"4.095714";"98.238655";"https://maps.google.com/?cid=0x0:0x2a22c349969d3fde";""
"building materials";"Toko Bahan Bangunan";"Panglong teluk haru";"274C+R2J, Alur Dua, Kec. Sei Lepan, Kabupaten Langkat, Sumatera Utara";"Kabupaten Langkat, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"4.0070806";"98.2700233";"https://maps.google.com/?cid=0x0:0x336172bb1a2b6c8f";""
"building materials";"Toko Bahan Bangunan";"Kayu opin";"W9VF+4JX, Jl. Medan Banda Aceh, Pekan Gebang, Kec. Gebang, Kabupaten Langkat, Sumatera Utara 20856";"Jl. Medan Banda Aceh, Pekan Gebang, Kec. Gebang, Kabupaten Langkat";"SUMATERA UTARA";"20856";"Indonesia";" 081375816636";"";"";"3.9426985";"98.374162";"https://maps.google.com/?cid=0x0:0xfd3affbcb3dabed7";""
"building materials";"Toko Bahan Bangunan";"Tb Sumber jaya brandan timur medan";"27GP+G85, Jl. Mesjid, Brandan Tim. Baru, Kec. Babalan, Kabupaten Langkat, Sumatera Utara 20881";"Jl. Mesjid, Brandan Tim. Baru, Kec. Babalan, Kabupaten Langkat";"SUMATERA UTARA";"20881";"Indonesia";"";"";"";"4.0262044";"98.2857047";"https://maps.google.com/?cid=0x0:0xb4666f7deb6b5b53";""
"building materials";"Toko Bahan Bangunan";"Panglong Kayu UD.Berkah";"Air Hitam Dus.VI Gg.Manggis Gebang, Kec. Tj. Pura, Kabupaten Langkat, Sumatera Utara 20856";"Kec. Tj. Pura, Kabupaten Langkat";"SUMATERA UTARA";"20856";"Indonesia";" 085372242429";"";"";"3.91406";"98.3968063";"https://maps.google.com/?cid=0x0:0xf31b7d59dfb81868";""
"building materials";"Toko Bahan Bangunan";"Alfi Jaya Bangunan";"26WR+25G, Bar., Pangkalan Batu, Kec. Brandan Bar., Kabupaten Langkat, Sumatera Utara 20858";"Bar., Pangkalan Batu, Kec. Brandan Bar., Kabupaten Langkat";"SUMATERA UTARA";"20858";"Indonesia";"";"";"";"4.0450703";"98.2404434";"https://maps.google.com/?cid=0x0:0x2416985f5a951686";""
"building materials";"Toko Kaca >>u0026 Cermin";"BRANDAN ALUMANIUM";"27CP+VH3, Jl. Kartini, Sei Bilah, Kec. Sei Lepan, Kabupaten Langkat, Sumatera Utara";"Kabupaten Langkat, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";" 082368684455";"";"";"4.0221386";"98.2864253";"https://maps.google.com/?cid=0x0:0x354360b2f6594a0c";""
"building materials";"Toko Bahan Bangunan";"Subur Baru";"Jl. Lintas Sumatra No.66, Paya Perupuk, Kec. Tj. Pura, Kabupaten Langkat, Sumatera Utara 20856";"Paya Perupuk, Kec. Tj. Pura, Kabupaten Langkat";"SUMATERA UTARA";"20856";"Indonesia";" 0618960124";"";"";"3.8994894";"98.4154983";"https://maps.google.com/?cid=0x0:0x1ccd3aa50218a0cd";""
