Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
komplek housing;komplek housing;Batahan 1;"96VP+Q83, Banjar Aur, Kec. Batahan, Kabupaten Mandailing Natal, Sumatera Utara 22988";"Banjar Aur, Kec. Batahan, Kabupaten Mandailing Natal";SUMATERA UTARA;22988;Indonesia;;;;0.3941463;992.354.535;https://maps.google.com/?cid=0x0:0xb6bcc9a2b9dc7d6f;
komplek housing;komplek housing;Kec. Tebet;"Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta";"Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta";SUMATERA UTARA;;Indonesia;;;;-62.251.223;1.068.549.881;https://maps.google.com/?cid=0x0:0xd575e31c807295f9;
komplek housing;komplek housing;Batahan;"Sari Kenanga, Kec. Batahan, Kabupaten Mandailing Natal, Sumatera Utara";"Kabupaten Mandailing Natal, Sumatera Utara";SUMATERA UTARA;;Indonesia;;;;0.396003;99.141.617;https://maps.google.com/?cid=0x0:0x27081349cdba551e;
komplek housing;komplek housing;Sumatera Utara 22983;"Kabupaten Mandailing Natal, Sumatera Utara";"Kabupaten Mandailing Natal, Sumatera Utara";SUMATERA UTARA;;Indonesia;;;;0.7058278;993.229.213;https://maps.google.com/?cid=0x0:0x2cc041769b34cd56;
komplek housing;Balai Pertemuan Desa;Mess Muarasoma;"Jl. Lintas Natal No.141, Muara Soma, Kec. Batang Natal, Kabupaten Mandailing Natal, Sumatera Utara 22983";"Muara Soma, Kec. Batang Natal, Kabupaten Mandailing Natal";SUMATERA UTARA;22983;Indonesia;;;;0.6934141;993.684.873;https://maps.google.com/?cid=0x0:0x6e770b7b8b365133;
komplek housing;Perhimpunan Pengembang Perumahan;Tangsi Atas;"H8G2+FRV, Tangsi Atas, Kec. Lingga Bayu, Kabupaten Mandailing Natal, Sumatera Utara 22983";"Tangsi Atas, Kec. Lingga Bayu, Kabupaten Mandailing Natal";SUMATERA UTARA;22983;Indonesia;;;;0.5762329;99.302.056;https://maps.google.com/?cid=0x0:0x619c714cafa55d59;
komplek housing;Komplek perumahan;Bg_loebis;"MF57+XWR, Ampung Julu, Kec. Batang Natal, Kabupaten Mandailing Natal, Sumatera Utara 22912";"Ampung Julu, Kec. Batang Natal, Kabupaten Mandailing Natal";SUMATERA UTARA;22912;Indonesia;;;;0.6599253;994.648.066;https://maps.google.com/?cid=0x0:0x831e8344a61156b5;
komplek housing;Komplek perumahan;Kampung Tarutung;"MC88+R4H, Bangkelang, Kec. Batang Natal, Kabupaten Mandailing Natal, Sumatera Utara";"Kabupaten Mandailing Natal, Sumatera Utara";SUMATERA UTARA;;Indonesia;;;;0.6670513;994.153.725;https://maps.google.com/?cid=0x0:0xd68c06f436bf608f;
komplek housing;komplek housing;Lubuk barangan julu;"P93M+X6, Muara Soma, Kec. Batang Natal, Kabupaten Mandailing Natal, Sumatera Utara";"Kabupaten Mandailing Natal, Sumatera Utara";SUMATERA UTARA;;Indonesia;;;;0.7049154;993.831.217;https://maps.google.com/?cid=0x0:0x90d8562439a2617f;
komplek housing;Komplek perumahan;Dodi house;"H8G2+88M, Aek Manyuruk, Kec. Lingga Bayu, Kabupaten Mandailing Natal, Sumatera Utara 22983";"Aek Manyuruk, Kec. Lingga Bayu, Kabupaten Mandailing Natal";SUMATERA UTARA;22983;Indonesia;;;;0.5752253;993.009.654;https://maps.google.com/?cid=0x0:0xd00d83136ee073db;
komplek housing;Pembangunan Perumahan;Lubuk Barangan;"M9V9+C82, Lubuk Barangan, Kec. Batang Natal, Kabupaten Mandailing Natal, Sumatera Utara";"Kabupaten Mandailing Natal, Sumatera Utara";SUMATERA UTARA;;Indonesia;;;;0.6935105;993.682.743;https://maps.google.com/?cid=0x0:0xb34fda7526a21bfa;
