Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"mall";"mall";"Jl. Lahömi";"Lologundre, Kec. Lahomi, Kabupaten Nias Barat, Sumatera Utara 22864";"Kec. Lahomi, Kabupaten Nias Barat";"SUMATERA UTARA";"22864";"Indonesia";"";"";"";"0.986949";"97.5036587";"https://maps.google.com/?cid=0x0:0x6409da5bc64f976c";""
"mall";"Pasar";"Harimbale Miga, Gunungsitoli";"7J4Q+2WG, Fodo, Kec. Gunungsitoli, Kota Gunungsitoli, Sumatera Utara";"Kota Gunungsitoli, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";" 081268250773";"";"";"1.2550578";"97.6398204";"https://maps.google.com/?cid=0x0:0x4d04a4f9f73c8f97";""
"mall";"Pasar";"Pasar Gomo";"7JQ8+RW7, Jl. Gomo, Saombo, Kec. Gunungsitoli, Kota Gunungsitoli, Sumatera Utara";"Kota Gunungsitoli, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"1.2895364";"97.6172875";"https://maps.google.com/?cid=0x0:0x50ef939c84cf05b4";""
"mall";"mall";"Rido Laowo";"Jl. Helefanikha Desa, Sifalaete, Kec. GunungSitoli Idanoi, Kota Gunungsitoli, Sumatera Utara 22870";"Sifalaete, Kec. GunungSitoli Idanoi, Kota Gunungsitoli";"SUMATERA UTARA";"22870";"Indonesia";" 085363221641";"";"";"1.2023743";"97.653342";"https://maps.google.com/?cid=0x0:0xb91f5367b98a917e";""
"mall";"Pasar";"Pekan So'onogeu Hilisimaetano";"MPCM+3M4, Desa Pekan, Hilisimaetano, Kec. Maniamolo, Kabupaten Nias Selatan, Sumatera Utara 22866";"Desa Pekan, Hilisimaetano, Kec. Maniamolo, Kabupaten Nias Selatan";"SUMATERA UTARA";"22866";"Indonesia";"";"";"";"0.6701341";"97.7342094";"https://maps.google.com/?cid=0x0:0xe183ccc071d8e3a4";""
"mall";"Tujuan Wisata";"Hiligeo Majinge, Fadoro";"CC3X+2HG, Umbubalodano, Kec. Sitolu Ori, Kabupaten Nias Utara, Sumatera Utara 22852";"Umbubalodano, Kec. Sitolu Ori, Kabupaten Nias Utara";"SUMATERA UTARA";"22852";"Indonesia";" 081372351165";"";"";"1.4025503";"97.4489531";"https://maps.google.com/?cid=0x0:0xf2c9d1a8888daf9b";""
"mall";"mall";"Sumatera Utara 22875";"Kec. Lolofitu Moi, Kabupaten Nias Barat, Sumatera Utara";"Kabupaten Nias Barat, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"1.0588624";"97.5788975";"https://maps.google.com/?cid=0x0:0x9c54d35d78ab160f";""
"mall";"mall";"Kec. Lolofitu Moi";"Kabupaten Nias Barat, Sumatera Utara";"Kabupaten Nias Barat, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"1.1004325";"97.5801753";"https://maps.google.com/?cid=0x0:0x955959013251a8d";""
"mall";"Kantor Catatan Sipil";"Kantor Kecamatan Lolofitu Moi";"jln. nias tengah km. 34, desa lolofitu, kec, Lolofitu, kab, Kabupaten Nias Barat, Sumatera Utara 22875";"desa lolofitu, kec, Lolofitu, kab, Kabupaten Nias Barat";"SUMATERA UTARA";"22875";"Indonesia";"";"";"";"1.1008905";"97.5781896";"https://maps.google.com/?cid=0x0:0x24e1d054cfc1f602";""
"mall";"Pasar tradisional";"Harimbale Duria";"2JJ4+GR4, Jl. Lōlōwa'u, Ehosakhozi, Lolowau, Kabupaten Nias Selatan, Sumatera Utara 22852";"Jl. Lōlōwa'u, Ehosakhozi, Lolowau, Kabupaten Nias Selatan";"SUMATERA UTARA";"22852";"Indonesia";" 083879305604";"";"";"1.0312725";"97.6070851";"https://maps.google.com/?cid=0x0:0x6a6b9f47203b7d0e";""
