Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Jl. Lahömi";"Lologundre, Kec. Lahomi, Kabupaten Nias Barat, Sumatera Utara 22864";"Kec. Lahomi, Kabupaten Nias Barat";"SUMATERA UTARA";"22864";"Indonesia";"";"";"";"0.986949";"97.5036587";"https://maps.google.com/?cid=0x0:0x6409da5bc64f976c";""
"komplek housing";"Komplek perumahan";"Home";"4HJP+7HJ, Jl. Gunungsitoli, Fadoro Hunogoa, Kec. HiliSerangkai, Kabupaten Nias Barat, Sumatera Utara 22815";"Jl. Gunungsitoli, Fadoro Hunogoa, Kec. HiliSerangkai, Kabupaten Nias Barat";"SUMATERA UTARA";"22815";"Indonesia";"";"";"";"1.1307074";"97.5863881";"https://maps.google.com/?cid=0x0:0xbb9c109655820ffa";""
"komplek housing";"komplek housing";"Kec. Lahomi";"Kabupaten Nias Barat, Sumatera Utara";"Kabupaten Nias Barat, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"0.9829723";"97.5021778";"https://maps.google.com/?cid=0x0:0x27f98a91d94e74be";""
"komplek housing";"Pembangunan Perumahan";"Lahomi";"873J+2HQ, Sisobahili, Kec. Afulu, Kabupaten Nias Utara, Sumatera Utara";"Kabupaten Nias Utara, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"1.3025995";"97.2814718";"https://maps.google.com/?cid=0x0:0x70452986b3ba4e46";""
"komplek housing";"Komplek perumahan";"Rumah ama alfa laowo";"5MX2+9XW, Jl. Hiligara, Sifalaete, Kec. GunungSitoli Idanoi, Kota Gunungsitoli, Sumatera Utara 22871";"Jl. Hiligara, Sifalaete, Kec. GunungSitoli Idanoi, Kota Gunungsitoli";"SUMATERA UTARA";"22871";"Indonesia";"";"";"";"1.198499";"97.6524615";"https://maps.google.com/?cid=0x0:0x2bd1f239989ede19";""
"komplek housing";"Komplek perumahan";"Hezisokhi Laoli";"4QQQ+V2Q, Dusun III Netemburune Desa somi, botogo'o, Kec. Gido, Kabupaten Nias, Sumatera Utara";"Kabupaten Nias, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"1.1397143";"97.7876154";"https://maps.google.com/?cid=0x0:0xfee1beec3dd31c45";""
"komplek housing";"Komplek perumahan";"Fesilimus Hia";"XGH7+FPC, Jl. Hiligeo, Bawozamaiwo, Kec. Lahomi, Kabupaten Nias Barat, Sumatera Utara 22864";"Jl. Hiligeo, Bawozamaiwo, Kec. Lahomi, Kabupaten Nias Barat";"SUMATERA UTARA";"22864";"Indonesia";"";"";"";"0.9786932";"97.5142752";"https://maps.google.com/?cid=0x0:0x65416a42bbd8c438";""
"komplek housing";"Pembangunan Perumahan";"A/I SAFAT HIA";"XGJ8+GPM, Jl. Hiligeo, Bawozamaiwo, Kec. Lahomi, Kabupaten Nias Barat, Sumatera Utara 22864";"Jl. Hiligeo, Bawozamaiwo, Kec. Lahomi, Kabupaten Nias Barat";"SUMATERA UTARA";"22864";"Indonesia";"";"";"";"0.98134";"97.5167949";"https://maps.google.com/?cid=0x0:0xd40e94209cdd763b";""
"komplek housing";"Komplek perumahan";"Rumah Ama Emi Halawa";"XH74+PF9, Umbuasi, Kec. Hilisalawa'ahe, Kabupaten Nias Selatan, Sumatera Utara 22864";"Umbuasi, Kec. Hilisalawa'ahe, Kabupaten Nias Selatan";"SUMATERA UTARA";"22864";"Indonesia";"";"";"";"0.9642851";"97.5562312";"https://maps.google.com/?cid=0x0:0x19515fa4d974d44a";""
"komplek housing";"Komplek perumahan";"Rumah Krisman Hia";"XFCV+384, Iraonogaila, Kec. Lahomi, Kabupaten Nias Barat, Sumatera Utara 22864";"Iraonogaila, Kec. Lahomi, Kabupaten Nias Barat";"SUMATERA UTARA";"22864";"Indonesia";"";"";"";"0.97047";"97.493229";"https://maps.google.com/?cid=0x0:0x5499386de8eac818";""
