Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
mall;mall;Afulu;Lauru I Afulu, Kec. Afulu, Kabupaten Nias Utara, Sumatera Utara;Kabupaten Nias Utara, Sumatera Utara;SUMATERA UTARA;;Indonesia;;;;1.275.923;97.228.146;https://maps.google.com/?cid=0x0:0x19123ccab5436978;
mall;Pusat Perbelanjaan;Medan Mall;Jl. M. T. Haryono No.8, Pusat Ps., Kec. Medan Kota, Kota Medan, Sumatera Utara 20212;Pusat Ps., Kec. Medan Kota, Kota Medan;SUMATERA UTARA;20212;Indonesia;614531800;;;358.767;986.867.939;https://maps.google.com/?cid=0x0:0x19be424c62eb0f57;
mall;mall;LESTARI TAFONAO;VRRC+8PF, Hilimbowo, Kec. Gomo, Kabupaten Nias Selatan, Sumatera Utara 22873;Hilimbowo, Kec. Gomo, Kabupaten Nias Selatan;SUMATERA UTARA;22873;Indonesia;8126411456;;;0.8907764;978.218.448;https://maps.google.com/?cid=0x0:0x7f9629167487315c;
mall;Toko Swalayan;Ararasa BSD;Jl. BSD Raya Utama, Lengkong Kulon, Kec. Pagedangan, Kabupaten Tangerang, Banten 15331;Lengkong Kulon, Kec. Pagedangan, Kabupaten Tangerang;SUMATERA UTARA;15331;Indonesia;;;;-62.817.841;1.066.370.657;https://maps.google.com/?cid=0x0:0x2372a05b061d99f8;
mall;Toko;UD. HAGA;Afulu, Kec. Afulu, Kabupaten Nias Utara, Sumatera Utara 22857;Kec. Afulu, Kabupaten Nias Utara;SUMATERA UTARA;22857;Indonesia;85352383839;;;12.546.733;972.524.317;https://maps.google.com/?cid=0x0:0xef38820322abc830;
mall;Pusat Perbelanjaan;UD. RENI;Jl. Dusun II No.Desa, Lauru Fadoro, Kec. Afulu, Kabupaten Nias Utara, Sumatera Utara 22851;Lauru Fadoro, Kec. Afulu, Kabupaten Nias Utara;SUMATERA UTARA;22851;Indonesia;81263401322;;;12.438.017;9.726.382;https://maps.google.com/?cid=0x0:0xbfce79b6f4ece710;
mall;mall;Sumatera Utara 22857;Kec. Afulu, Kabupaten Nias Utara, Sumatera Utara;Kabupaten Nias Utara, Sumatera Utara;SUMATERA UTARA;;Indonesia;;;;12.548.965;972.598.913;https://maps.google.com/?cid=0x0:0x7b808d1bfbbe7383;
mall;Toko;UD. HAGA;Afulu, Kec. Afulu, Kabupaten Nias Utara, Sumatera Utara 22857;Kec. Afulu, Kabupaten Nias Utara;SUMATERA UTARA;22857;Indonesia;85352383839;;;12.546.733;972.524.317;https://maps.google.com/?cid=0x0:0xef38820322abc830;
mall;Pusat Perbelanjaan;UD. RENI;Jl. Dusun II No.Desa, Lauru Fadoro, Kec. Afulu, Kabupaten Nias Utara, Sumatera Utara 22851;Lauru Fadoro, Kec. Afulu, Kabupaten Nias Utara;SUMATERA UTARA;22851;Indonesia;81263401322;;;12.438.017;9.726.382;https://maps.google.com/?cid=0x0:0xbfce79b6f4ece710;
mall;Agen Gas Elpiji;UD. RAIH;Jl. Lauru Fadoro, Lauru Fadoro, Kec. Afulu, Kabupaten Nias Utara, Sumatera Utara 22857;Lauru Fadoro, Kec. Afulu, Kabupaten Nias Utara;SUMATERA UTARA;22857;Indonesia;81263401322;;;12.438.659;972.638.894;https://maps.google.com/?cid=0x0:0x3b93fde89ea14345;
mall;mall;Kec. Afulu;Kabupaten Nias Utara, Sumatera Utara;Kabupaten Nias Utara, Sumatera Utara;SUMATERA UTARA;;Indonesia;;;;12.638.546;972.450.477;https://maps.google.com/?cid=0x0:0x37ed228075273cba;
mall;mall;Sumatera Utara 22861;Kabupaten Nias Utara, Sumatera Utara;Kabupaten Nias Utara, Sumatera Utara;SUMATERA UTARA;;Indonesia;;;;11.639.401;97.394.882;https://maps.google.com/?cid=0x0:0x146e7c32a97f723;
