Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Latitude;Longitude;Map Link
"perumahan";"Perhimpunan Pengembang Perumahan";"Rumah";"3C93+548, Pangaribuan, Kec. Andam Dewi, Kabupaten Tapanuli Tengah, Sumatera Utara";"Kabupaten Tapanuli Tengah, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"2.067923";"98.4028265";"https://maps.google.com/?cid=0x0:0xa86d3be66978e"
"perumahan";"perumahan";"Sumatera Utara 22651";"Kec. Sirandorung, Kabupaten Tapanuli Tengah, Sumatera Utara";"Kabupaten Tapanuli Tengah, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"2.0933245";"98.3197946";"https://maps.google.com/?cid=0x0:0x28bb302527ccfbc9"
"perumahan";"Pembangunan Perumahan";"Ladang tengah";"29HJ+FHM, Ladang Tengah, Kec. Andam Dewi, Kabupaten Tapanuli Tengah, Sumatera Utara";"Kabupaten Tapanuli Tengah, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"2.0287077";"98.3814217";"https://maps.google.com/?cid=0x0:0x3bdd0a6308edcb"
"perumahan";"Komplek perumahan";"Rumah Tempat Tinggal";"29X5+Q7C, Lobu Tua, Kec. Andam Dewi, Kabupaten Tapanuli Tengah, Sumatera Utara 22564";"Lobu Tua, Kec. Andam Dewi, Kabupaten Tapanuli Tengah";"SUMATERA UTARA";"22564";"Indonesia";"";"2.0494402";"98.3581344";"https://maps.google.com/?cid=0x0:0xcded11072a57b71e"
"perumahan";"Komplek perumahan";"rumah marpaung";"29R5+H8F, Lobu Tua, Kec. Andam Dewi, Kabupaten Tapanuli Tengah, Sumatera Utara 22564";"Lobu Tua, Kec. Andam Dewi, Kabupaten Tapanuli Tengah";"SUMATERA UTARA";"22564";"Indonesia";"";"2.0414267";"98.358295";"https://maps.google.com/?cid=0x0:0x988064c7b11c1bc5"
"perumahan";"Pembangunan Perumahan";"Simanullang";"29HJ+FHM, Ladang Tengah, Kec. Andam Dewi, Kabupaten Tapanuli Tengah, Sumatera Utara 22564";"Ladang Tengah, Kec. Andam Dewi, Kabupaten Tapanuli Tengah";"SUMATERA UTARA";"22564";"Indonesia";"";"2.0287077";"98.3814217";"https://maps.google.com/?cid=0x0:0x6f58e9c8acfaaae4"
"perumahan";"perumahan";"Kec. Andam Dewi";"Kabupaten Tapanuli Tengah, Sumatera Utara";"Kabupaten Tapanuli Tengah, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"2.0505722";"98.3752639";"https://maps.google.com/?cid=0x0:0x2f85c3d940427526"
"perumahan";"Komplek perumahan";"Rumah Hendri Marpaung";"3C85+63W, Pangaribuan, Kec. Andam Dewi, Kabupaten Tapanuli Tengah, Sumatera Utara";"Kabupaten Tapanuli Tengah, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"2.0656094";"98.4077";"https://maps.google.com/?cid=0x0:0xc1682899ada841f4"
"perumahan";"Komplek perumahan";"DONA RUMAH";"29WR+2JC, Uratan, Kec. Andam Dewi, Kabupaten Tapanuli Tengah, Sumatera Utara 22564";"Uratan, Kec. Andam Dewi, Kabupaten Tapanuli Tengah";"SUMATERA UTARA";"22564";"Indonesia";"";"2.0450562";"98.3915139";"https://maps.google.com/?cid=0x0:0x7a71c115bfbdd2b1"
"perumahan";"Komplek perumahan";"Rumah oppung.lukman Sihombing";"29RC+C93, Jalan, Lobu Tua, Kec. Andam Dewi, Kabupaten Tapanuli Tengah, Sumatera Utara 22564";"Jalan, Lobu Tua, Kec. Andam Dewi, Kabupaten Tapanuli Tengah";"SUMATERA UTARA";"22564";"Indonesia";"";"2.0408785";"98.370662";"https://maps.google.com/?cid=0x0:0x99bc1981ffbc6e6f"
