Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
komplek housing;komplek housing;Sumatera Utara 21256;"Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara";"Kabupaten Batu Bara, Sumatera Utara";SUMATERA UTARA;;Indonesia;;;;33.038.803;994.228.263;https://maps.google.com/?cid=0x0:0x859a198a23ab8dc8;
komplek housing;komplek housing;Perumahan Putri Indah Permai No. 38;"79GC+52W, Jl. Datuk Umar Palangki, Tanah Merah, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara";"Kabupaten Batu Bara, Sumatera Utara";SUMATERA UTARA;;Indonesia;;;;32.754.869;99.370.093;https://maps.google.com/?cid=0x0:0x27dfac4bb4ce16fd;
komplek housing;Komplek perumahan;Perumahan;"79J7+49V, Ps. Lapan, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara 21256";"Ps. Lapan, Kec. Air Putih, Kabupaten Batu Bara";SUMATERA UTARA;21256;Indonesia;;;;32.803.665;993.634.142;https://maps.google.com/?cid=0x0:0x7670fecaf20c4b42;
komplek housing;Pembangunan Perumahan;Perumahan Mutiara Asri;"79HG+89V, Aras, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara 21256";"Aras, Kec. Air Putih, Kabupaten Batu Bara";SUMATERA UTARA;21256;Indonesia;;;;32.787.662;993.756.459;https://maps.google.com/?cid=0x0:0x9a0d94276fb07db1;
komplek housing;Komplek perumahan;Komplek Tanjung Gading Inalum;"886Q+FQG, Indrapura, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara 21256";"Indrapura, Kec. Air Putih, Kabupaten Batu Bara";SUMATERA UTARA;21256;Indonesia;081262856457;;;33.111.882;993.394.411;https://maps.google.com/?cid=0x0:0xe64b073e5e911723;
komplek housing;Komplek perumahan;Perumahan Te Amo City;"79C8+MPJ, Tanah Merah, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara 21256";"Tanah Merah, Kec. Air Putih, Kabupaten Batu Bara";SUMATERA UTARA;21256;Indonesia;;;;32.717.128;993.667.687;https://maps.google.com/?cid=0x0:0xa8fc04c9c9c30929;
komplek housing;;Perumahan Leo;"795Q+V6, Sukaraja, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara";"Kabupaten Batu Bara, Sumatera Utara";SUMATERA UTARA;;Indonesia;;;;32.589.398;99.388.151;https://maps.google.com/?cid=0x0:0x1f5efc80f377f85f;
komplek housing;Komplek perumahan;Hilfa house;"79FF+R43, Tanah Merah, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara 21256";"Tanah Merah, Kec. Air Putih, Kabupaten Batu Bara";SUMATERA UTARA;21256;Indonesia;;;;32.745.226;993.727.822;https://maps.google.com/?cid=0x0:0x285df923b24bdfd2;
komplek housing;Pembangunan Perumahan;PERUMAHAN VILA SEGI TIGA INDAH;"79X9+2CC, Dusun I, Desa Tanjung Mulya, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara";"Kabupaten Batu Bara, Sumatera Utara";SUMATERA UTARA;;Indonesia;;;;32.975.704;993.685.259;https://maps.google.com/?cid=0x0:0xb1c7df991b1b53eb;
komplek housing;Komplek perumahan;PERUMAHAN INDAH PERMAI;"7997+X7F, Tanah Merah, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara";"Kabupaten Batu Bara, Sumatera Utara";SUMATERA UTARA;;Indonesia;;;;32.699.283;993.631.683;https://maps.google.com/?cid=0x0:0xde5a9c02946dea46;
komplek housing;Komplek perumahan;Rumah;"79G9+2X5, Perum. Putri Indah Permai Jl. Datuk Umar Palangki, Tanah Merah, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara 21256";"Perum. Putri Indah Permai Jl. Datuk Umar Palangki, Tanah Merah, Kec. Air Putih, Kabupaten Batu Bara";SUMATERA UTARA;21256;Indonesia;;;;32.750.519;993.699.567;https://maps.google.com/?cid=0x0:0x59e28e8a285911ec;
komplek housing;Komplek perumahan;ITO SINAGA;"8FG5+GP8, Suka Ramai, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara 21256";"Suka Ramai, Kec. Air Putih, Kabupaten Batu Bara";SUMATERA UTARA;21256;Indonesia;;;;33.263.494;994.592.352;https://maps.google.com/?cid=0x0:0xeba3da2c952a78c7;
komplek housing;Komplek perumahan;Perumahan permai;"79CC+R2P, Gang kede perumahan permai, Tanah Merah, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara 21256";"Gang kede perumahan permai, Tanah Merah, Kec. Air Putih, Kabupaten Batu Bara";SUMATERA UTARA;21256;Indonesia;;;;32.720.789;993.700.834;https://maps.google.com/?cid=0x0:0x47901d7d5739525c;
komplek housing;Komplek perumahan;Kompleks Madani;"7987+R5V, Tanah Merah, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara 21256";"Tanah Merah, Kec. Air Putih, Kabupaten Batu Bara";SUMATERA UTARA;21256;Indonesia;;;;32.671.116;993.629.121;https://maps.google.com/?cid=0x0:0x77031f857d073222;
komplek housing;Pembangunan Perumahan;Theo Sianturi;"798H+R2, Tanah Tinggi, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara";"Kabupaten Batu Bara, Sumatera Utara";SUMATERA UTARA;;Indonesia;;;;32.671.507;99.377.532;https://maps.google.com/?cid=0x0:0x90626ff269c9f2d9;
komplek housing;Pembangunan Perumahan;Sumatera utara;"79QC+7HQ, Indrapura, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara";"Kabupaten Batu Bara, Sumatera Utara";SUMATERA UTARA;;Indonesia;;;;32.882.149;99.371.471;https://maps.google.com/?cid=0x0:0x39b0e7a147e8c60c;
komplek housing;Komplek perumahan;Depot isi ulang air;"Sumatera Utara, Kabupaten Batu Bara, Kec. Air Putih, Tanah Merahjalan datuk umar pelangki????: 21256";"Kabupaten Batu Bara, Kec. Air Putih";SUMATERA UTARA;21256;Indonesia;;;;32.842.122;994.006.146;https://maps.google.com/?cid=0x0:0x6cb47c2edaf79bf0;
komplek housing;Pembangunan Perumahan;Perumahan Titi Payung Permai Indah 2;"79V6+8HX, JL. T. Rahmadsyah, Sipare-Pare, Air Putih, Batu Bara Regency, North Sumatra 21257";"JL. T. Rahmadsyah, Sipare-Pare, Air Putih, Batu Bara Regency";SUMATERA UTARA;21257;Indonesia;;;;32.933.669;993.614.898;https://maps.google.com/?cid=0x0:0x10991787cec6842;
komplek housing;komplek housing;PDT.H.SARAGI.Sth;"7C65+V3J, Pematang Panjang, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara 21255";"Pematang Panjang, Kec. Air Putih, Kabupaten Batu Bara";SUMATERA UTARA;21255;Indonesia;;;;32.622.017;994.076.546;https://maps.google.com/?cid=0x0:0xdab04fbcf71e624d;
komplek housing;Komplek perumahan;Dusun mahoni;"79QW+M2W, Aras, Kec. Air Putih, Kabupaten Batu Bara, Sumatera Utara 21256";"Aras, Kec. Air Putih, Kabupaten Batu Bara";SUMATERA UTARA;21256;Indonesia;;;;3.289.234;993.950.626;https://maps.google.com/?cid=0x0:0xa3e97f1445df9106;
komplek housing;komplek housing;Kec. Air Putih;"Kabupaten Batu Bara, Sumatera Utara";"Kabupaten Batu Bara, Sumatera Utara";SUMATERA UTARA;;Indonesia;;;;32.812.404;99.370.312;https://maps.google.com/?cid=0x0:0xd7eca3484db6e3d6;
komplek housing;Komplek perumahan;Hunian;"PWC9+39R, Jl. Bojong Tua, RT.009/RW.008, Jatimakmur, Kec. Pd. Gede, Kota Bks, Jawa Barat 17411";"Jl. Bojong Tua, RT.009/RW.008, Jatimakmur, Kec. Pd. Gede, Kota Bks";SUMATERA UTARA;17411;Indonesia;08116145185;;;-6.279.762;106.918.378;https://maps.google.com/?cid=0x0:0x677c66a269a60ad1;
komplek housing;Agen Sewa Ruangan Eksekutif;Rumah123;"Level 37 EightyEight @ Kasablanka, Jl. Raya Casablanca No.Kav.88, RT.16/RW.5, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870";"Jl. Raya Casablanca No.Kav.88, RT.16/RW.5, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan";SUMATERA UTARA;12870;Indonesia;02130496123;;;-62.243.351;1.068.418.884;https://maps.google.com/?cid=0x0:0xf630aa910b38c808;
