Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Sumatera Utara 21331";"Kota Tanjung Balai, Sumatera Utara";"Kota Tanjung Balai, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"2.9762964";"99.776234";"https://maps.google.com/?cid=0x0:0x795022b70a62788e";""
"komplek housing";"komplek housing";"Komplek Sudirman Residence E1";"Komplek Sudirman Residence, Jl. R.A. Kartini No.2, Sijambi, Kec. Datuk Bandar, Kota Tanjung Balai, Sumatera Utara 21341";"Jl. R.A. Kartini No.2, Sijambi, Kec. Datuk Bandar, Kota Tanjung Balai";"SUMATERA UTARA";"21341";"Indonesia";"";"";"";"2.944264";"99.7710968";"https://maps.google.com/?cid=0x0:0xab8ae03e017259bc";""
"komplek housing";"Komplek perumahan";"Rumah buk kenang";"XRX5+84R, Jln HKSN No.LK 1, Pematang Pasir, Kec. Tlk. Nibung, Kota Tanjung Balai, Sumatera Utara 21352";"Jln HKSN No.LK 1, Pematang Pasir, Kec. Tlk. Nibung, Kota Tanjung Balai";"SUMATERA UTARA";"21352";"Indonesia";"";"";"";"2.9983625";"99.8077656";"https://maps.google.com/?cid=0x0:0xe6e50f82daf6a20b";""
"komplek housing";"Komplek perumahan";"Komplek Puri indah blok f";"WQQQ+RX8, Pahang, Kec. Datuk Bandar, Kota Tanjung Balai, Sumatera Utara 21331";"Pahang, Kec. Datuk Bandar, Kota Tanjung Balai";"SUMATERA UTARA";"21331";"Indonesia";"";"";"";"2.9395307";"99.7899428";"https://maps.google.com/?cid=0x0:0xa0dcf506777c48f7";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"teluk nibung";"XRX7+XFP, Perjuangan, Kec. Tlk. Nibung, Kota Tanjung Balai, Sumatera Utara 21352";"Perjuangan, Kec. Tlk. Nibung, Kota Tanjung Balai";"SUMATERA UTARA";"21352";"Indonesia";"";"";"";"2.9999665";"99.8137015";"https://maps.google.com/?cid=0x0:0x80b8139761e8e9bf";""
"komplek housing";"Kompleks Bangunan Perusahaan";"Komplek Guru";"WQXX+638, Jl. Anwar Idris, Bunga Tj., Kec. Datuk Bandar Tim., Kota Tanjung Balai, Sumatera Utara 21332";"Jl. Anwar Idris, Bunga Tj., Kec. Datuk Bandar Tim., Kota Tanjung Balai";"SUMATERA UTARA";"21332";"Indonesia";"";"";"";"2.9480269";"99.7976935";"https://maps.google.com/?cid=0x0:0x8be1e5be7152c3f2";""
"komplek housing";"Kompleks Townhouse";"Perumahan Komplek PNS Pasar Baru Block F";"Ira PERUMAHAN KOMPLEK PNS, GG KE 3 No.21 BLOK F, Pasar Baru, Sei Tualang Raso, Asahan Regency, North Sumatra";"Kabupaten Asahan, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"2.9749738";"99.7859751";"https://maps.google.com/?cid=0x0:0x9c06f35f95086ad5";""
"komplek housing";"Komplek perumahan";"Rumah Ustadz Ro'uf";"XRJ2+69C, Jl. Garuda, Beting Kuala Kapias, Kec. Tlk. Nibung, Kota Tanjung Balai, Sumatera Utara 21352";"Jl. Garuda, Beting Kuala Kapias, Kec. Tlk. Nibung, Kota Tanjung Balai";"SUMATERA UTARA";"21352";"Indonesia";"";"";"";"2.9805683";"99.8008922";"https://maps.google.com/?cid=0x0:0xc48b98d068e2f6ff";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Cemerlang Asri 2 Tanjung Balai";"WQMM+P85, Pahang, Kec. Datuk Bandar, Kota Tanjung Balai, Sumatera Utara 21331";"Pahang, Kec. Datuk Bandar, Kota Tanjung Balai";"SUMATERA UTARA";"21331";"Indonesia";"";"";"";"2.9343566";"99.7833996";"https://maps.google.com/?cid=0x0:0x8881de6e3f99ccd5";""
"komplek housing";"Pembangunan Perumahan";"Perumahan Sungai Dua Indah";"WRJ3+36G, Jl. Anwar Idris, Bunga Tj., Kec. Datuk Bandar Tim., Kota Tanjung Balai, Sumatera Utara";"Kota Tanjung Balai, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"2.9298276";"99.8025201";"https://maps.google.com/?cid=0x0:0xd73cd3dd1b9d3040";""
