Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Berampu";"Kec. Berampu, Kabupaten Dairi, Sumatera Utara";"Kabupaten Dairi, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"2.7516936";"98.256851";"https://maps.google.com/?cid=0x0:0xed36a859a470a2b6";""
"komplek housing";"Komplek perumahan";"Rumah sinamo";"Q733+944, Gang keluarga, Berampu, Kec. Berampu, Kabupaten Dairi, Sumatera Utara";"Kabupaten Dairi, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"2.7533779";"98.2528296";"https://maps.google.com/?cid=0x0:0x312692bdb1295468";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"JUMAPETAK";"Q744+84C, Jl. Parongil, Berampu, Kec. Berampu, Kabupaten Dairi, Sumatera Utara 22251";"Jl. Parongil, Berampu, Kec. Berampu, Kabupaten Dairi";"SUMATERA UTARA";"22251";"Indonesia";"";"";"";"2.7556269";"98.2550489";"https://maps.google.com/?cid=0x0:0x5821de068144304a";""
"komplek housing";"Komplek perumahan";"Rumah kesogihen";"P6VW+66V, Pasi, Kec. Berampu, Kabupaten Dairi, Sumatera Utara";"Kabupaten Dairi, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"2.7437176";"98.2454679";"https://maps.google.com/?cid=0x0:0x7b8891b8ecfd2260";""
"komplek housing";"Komplek perumahan";"Rumah jathi manik";"P6RV+858, Jln. Gapa, Pasi, Kec. Berampu, Kabupaten Dairi, Sumatera Utara 22251";"Jln. Gapa, Pasi, Kec. Berampu, Kabupaten Dairi";"SUMATERA UTARA";"22251";"Indonesia";"";"";"";"2.7405047";"98.2431485";"https://maps.google.com/?cid=0x0:0x1affb91447f20e3d";""
"komplek housing";"komplek housing";"RUMAH PAK MAHA";"Q65P+FR9 Bantun Kerbo, Sumbul, Kec. Lae Parira, Kabupaten Dairi, Sumatera Utara";"Kabupaten Dairi, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"2.7586621";"98.2370953";"https://maps.google.com/?cid=0x0:0xfa6424b1b329c89a";""
"komplek housing";"Komplek perumahan";"Opg Reja Pardede";"P7W5+63W, Desa, Banjar Toba, Kec. Berampu, Kabupaten Dairi, Sumatera Utara 22251";"Desa, Banjar Toba, Kec. Berampu, Kabupaten Dairi";"SUMATERA UTARA";"22251";"Indonesia";"";"";"";"2.7458284";"98.2578406";"https://maps.google.com/?cid=0x0:0xb23c25fe33763664";""
"komplek housing";"";"Berampu";"Q747+GP, Huta Imbaru, Kec. Siempat Nempu, Kabupaten Dairi, Sumatera Utara";"Kabupaten Dairi, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"2.7563125";"98.2643125";"https://maps.google.com/?cid=0x0:0x37d84444acd41806";""
"komplek housing";"Komplek perumahan";"Penarik";"P6VV+4M7, Pasi, Kec. Berampu, Kabupaten Dairi, Sumatera Utara";"Kabupaten Dairi, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"2.7427986";"98.2441722";"https://maps.google.com/?cid=0x0:0xab56f32f2e1b0808";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Rumah Pak Kando";"P6QV+XCP, Banjar Toba, Kec. Berampu, Kabupaten Dairi, Sumatera Utara 22251";"Banjar Toba, Kec. Berampu, Kabupaten Dairi";"SUMATERA UTARA";"22251";"Indonesia";"";"";"";"2.7399672";"98.2435642";"https://maps.google.com/?cid=0x0:0x43bd74bfc356fcab";""
"komplek housing";"Komplek perumahan";"A. Manik";"P6RW+33X, Dusun II, Pasi, Kec. Berampu, Kabupaten Dairi, Sumatera Utara 22251";"Dusun II, Pasi, Kec. Berampu, Kabupaten Dairi";"SUMATERA UTARA";"22251";"Indonesia";"";"";"";"2.7402337";"98.2456154";"https://maps.google.com/?cid=0x0:0x9f359d9af95f79f9";""
"komplek housing";"Komplek perumahan";"Rumah Op.Mulia Sihombing";"Q75J+WJR, Jl. Buntu Raja, Huta Imbaru, Kec. Siempat Nempu, Kabupaten Dairi, Sumatera Utara 22213";"Jl. Buntu Raja, Huta Imbaru, Kec. Siempat Nempu, Kabupaten Dairi";"SUMATERA UTARA";"22213";"Indonesia";"";"";"";"2.7604541";"98.2814179";"https://maps.google.com/?cid=0x0:0x1a194db2b2079c48";""
"komplek housing";"komplek housing";"Kec. Berampu";"Kabupaten Dairi, Sumatera Utara";"Kabupaten Dairi, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"2.7405014";"98.2437915";"https://maps.google.com/?cid=0x0:0x3a85f8b78f468c59";""
"komplek housing";"Komplek perumahan";"Rumahsandysiregar";"Q75J+WJR, Jl. Buntu Raja, Huta Imbaru, Kec. Siempat Nempu, Kabupaten Dairi, Sumatera Utara 22213";"Jl. Buntu Raja, Huta Imbaru, Kec. Siempat Nempu, Kabupaten Dairi";"SUMATERA UTARA";"22213";"Indonesia";"";"";"";"2.7610736";"98.2813901";"https://maps.google.com/?cid=0x0:0x9b04ffb134daf1a";""
