Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
hotel;hotel;Sumatera Utara 20357;"Kec. Sibolangit, Kabupaten Deli Serdang, Sumatera Utara";"Kabupaten Deli Serdang, Sumatera Utara";SUMATERA UTARA;;Indonesia;;;;32.815.654;985.940.814;https://maps.google.com/?cid=0x0:0xecb59c29846c3e14;
hotel;hotel;The Hill Hotel  Resort Sibolangit;"Jalan Letjend Jamin Ginting No.Km. 45.3 Suka Makmur, Sikeben, Kec. Sibolangit, Kabupaten Deli Serdang, Sumatera Utara 20357";"Sikeben, Kec. Sibolangit, Kabupaten Deli Serdang";SUMATERA UTARA;20357;Indonesia;062897111;;;32.784.553;985.484.858;https://maps.google.com/?cid=0x0:0xaeb04a029f08d774;
hotel;hotel;N/A;;;SUMATERA UTARA;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0xaeb04a029f08d774%7C/g/1tcy_z20%7Cen-ID;
hotel;hotel;N/A;;;SUMATERA UTARA;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x242459a6582d7c14%7C/g/11b6dfqmxh%7Cen-ID;
hotel;hotel;Mikie Holiday Resort  Hotel;"Jl. Jamin Ginting, Sempajaya, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22152";"Sempajaya, Kec. Berastagi, Kabupaten Karo";SUMATERA UTARA;22152;Indonesia;062891650;;;32.016.041;98.525.178;https://maps.google.com/?cid=0x0:0x409bcb36163036b6;
hotel;hotel;N/A;;;SUMATERA UTARA;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x409bcb36163036b6%7C/g/11btvg8f2j%7Cen-ID;
hotel;hotel;Sinabung Hills Berastagi;"Jl. Kolam Renang, Gundaling I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22156";"Gundaling I, Kec. Berastagi, Kabupaten Karo";SUMATERA UTARA;22156;Indonesia;062891400;;;3.202.316;98.507.699;https://maps.google.com/?cid=0x0:0x5280f7130c4306ac;
hotel;hotel;N/A;;;SUMATERA UTARA;;Indonesia;;;;;;https://maps.google.com/?cid=0x0:0x5280f7130c4306ac%7C/g/1tg09vbp%7Cen-ID;
hotel;hotel;Hotel Kalang Ulu - Berastagi;"Jln mimpin tua, desa Sempajaya peceren, berastagi, (Kearah Berastagi resort / vihara dharma shanti), Jl. Mimpin Tua No.98, Sempajaya, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22152";"desa Sempajaya peceren, berastagi, (Kearah Berastagi resort / vihara dharma shanti), Jl. Mimpin Tua No.98, Sempajaya, Kec. Berastagi, Kabupaten Karo";SUMATERA UTARA;22152;Indonesia;085225481162;;;31.991.329;985.170.091;https://maps.google.com/?cid=0x0:0xfa8bb07b2e0b8f;
hotel;hotel;Hotel Sibayak Internasional;"Jl. Merdeka, Gundaling I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22156";"Gundaling I, Kec. Berastagi, Kabupaten Karo";SUMATERA UTARA;22156;Indonesia;085207770017;;;3.200.599;98.505.139;https://maps.google.com/?cid=0x0:0x872cabcc4b2bd4d0;
