Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"hotel";"hotel";"Kec. Bakti Raja";"Kabupaten Humbang Hasundutan, Sumatera Utara";"Kabupaten Humbang Hasundutan, Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";"";"";"";"2.3235404";"98.8207391";"https://maps.google.com/?cid=0x0:0x475a50a12c00c787";""
"hotel";"hotel";"Senior Bakara Hotel";"Jl. Muara, Kabupaten Humbang Hasundutan, Sumatera Utara 22457";"Kabupaten Humbang Hasundutan";"SUMATERA UTARA";"22457";"Indonesia";" 081362268286";"";"";"2.3186427";"98.8351544";"https://maps.google.com/?cid=0x0:0x998c075598393f34";""
"hotel";"hotel";"N/A";"";"";"SUMATERA UTARA";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0x998c075598393f34%7C/g/11jjqhgk78%7Cen-ID";""
"hotel";"hotel";"N/A";"";"";"SUMATERA UTARA";"";"Indonesia";"";"";"";"";"";"https://maps.google.com/?cid=0x0:0xbc95c1f2fbec6208%7C/g/11hdwqhsqk%7Cen-ID";""
"hotel";"hotel";"Martin Anugrah Hotel  Restaurant";"Jalan Raya Bakkara Sosorgonting, Pasaribu, Dolok sanggul, Humbang Hasundutan Regency, North Sumatra 22457";"Pasaribu, Dolok sanggul, Humbang Hasundutan Regency";"SUMATERA UTARA";"22457";"Indonesia";" 08116261820";"";"";"2.2727265";"98.7656981";"https://maps.google.com/?cid=0x0:0x3917ea7963e729d8";""
"hotel";"hotel";"Hotel Wisma Mangurna";"Sumatera, Utara, Bonani Onan, Kec. Dolok sanggul, Kabupaten Humbang Hasundutan, Sumatera Utara 22457";"Utara, Bonani Onan, Kec. Dolok sanggul, Kabupaten Humbang Hasundutan";"SUMATERA UTARA";"22457";"Indonesia";" 085361594583";"";"";"2.2696231";"98.7460622";"https://maps.google.com/?cid=0x0:0x227c03897cf2dfbf";""
"hotel";"hotel";"Porlak Hebron (Homestay)";"Jl. Silangit, Silando, Kec. Muara, Kabupaten Tapanuli Utara, Sumatera Utara 22312";"Silando, Kec. Muara, Kabupaten Tapanuli Utara";"SUMATERA UTARA";"22312";"Indonesia";" 085770000167";"";"";"2.2659238";"99.002192";"https://maps.google.com/?cid=0x0:0x559f1b5f92cb0c72";""
"hotel";"hotel";"LOPO Hotel  Resort";"Jl. Horas No.1, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395";"Tomok, Simanindo, Kabupaten Samosir";"SUMATERA UTARA";"22395";"Indonesia";" 085186062243";"";"";"2.6490273";"98.8662984";"https://maps.google.com/?cid=0x0:0x44f525d921768032";""
"hotel";"hotel";"Abe Hotel Convention  Tonggi Coffee (Hotel 3 Star)";"Jl. Sadar No.KM 1, RW.5, Lobu Siregar II, Kec. Siborongborong, Kabupaten Tapanuli Utara, Sumatera Utara 22474";"RW.5, Lobu Siregar II, Kec. Siborongborong, Kabupaten Tapanuli Utara";"SUMATERA UTARA";"22474";"Indonesia";" 081255667797";"";"";"2.2136835";"98.9950418";"https://maps.google.com/?cid=0x0:0xb5e6d7cb0e86fc7b";""
"hotel";"hotel";"HOTEL  RESTO WATER BOOM ANUGERAH SOAMBATON";"Jl. Muara, Sumatera Utara 22457";"Sumatera Utara";"SUMATERA UTARA";"";"Indonesia";" 082211503439";"";"";"2.319319";"98.8387039";"https://maps.google.com/?cid=0x0:0xc2f685008525fbfb";""
"hotel";"hotel";"Queen Parrona Hotel by Sativa";"Jl. Sisingamangaraja No.254, Siborong Borong I, Kec. Siborongborong, Kabupaten Tapanuli Utara, Sumatera Utara 22474";"Siborong Borong I, Kec. Siborongborong, Kabupaten Tapanuli Utara";"SUMATERA UTARA";"22474";"Indonesia";" 085270087244";"";"";"2.2095547";"98.9707206";"https://maps.google.com/?cid=0x0:0x55b55f211dbb4fc2";""
"hotel";"hotel";"Noah Hotel Silangit";"Jl. Balige- Tarutung Jl. Silangit No.77, Silando, Kec. Siborongborong, Kabupaten Tapanuli Utara, Sumatera Utara 22474";"Silando, Kec. Siborongborong, Kabupaten Tapanuli Utara";"SUMATERA UTARA";"22474";"Indonesia";" 085147341477";"";"";"2.2677737";"99.0020735";"https://maps.google.com/?cid=0x0:0x46b5cd9003407cdb";""
