Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Sulawesi Selatan 92985";"Kec. Angkona, Kabupaten Luwu Timur, Sulawesi Selatan";"Kabupaten Luwu Timur, Sulawesi Selatan";"SULAWESI SELATAN";"";"Indonesia";"";"";"";"-2.6065836";"120.9187827";"https://maps.google.com/?cid=0x0:0xcfd0121aeff9096a";""
"komplek housing";"Komplek perumahan";"Rumah RESTU";"FWQF+H9R, Balirejo, Kec. Angkona, Kabupaten Luwu Timur, Sulawesi Selatan 92973";"Balirejo, Kec. Angkona, Kabupaten Luwu Timur";"SULAWESI SELATAN";"92973";"Indonesia";"";"";"";"-2.5095383";"120.9228541";"https://maps.google.com/?cid=0x0:0x6e7e01b28295b221";""
"komplek housing";"Komplek perumahan";"Berna kingdom";"CX25+5PC, Tampinna, Kec. Angkona, Kabupaten Luwu Timur, Sulawesi Selatan 92981";"Tampinna, Kec. Angkona, Kabupaten Luwu Timur";"SULAWESI SELATAN";"92981";"Indonesia";"";"";"";"-2.6006958";"120.9589974";"https://maps.google.com/?cid=0x0:0xfa93db31e926e172";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"JLN BATU HARAPAN";"CW43+5P5, Maliwowo, Kec. Angkona, Kabupaten Luwu Timur, Sulawesi Selatan 92985";"Maliwowo, Kec. Angkona, Kabupaten Luwu Timur";"SULAWESI SELATAN";"92985";"Indonesia";"";"";"";"-2.5946186";"120.9043467";"https://maps.google.com/?cid=0x0:0xcc8b2b4e22a5b0b7";""
"komplek housing";"Komplek perumahan";"Ybr house";"CXWC+XX, Tawakua, Kec. Angkona, Kabupaten Luwu Timur, Sulawesi Selatan";"Kabupaten Luwu Timur, Sulawesi Selatan";"SULAWESI SELATAN";"";"Indonesia";"";"";"";"-2.5525605";"120.9723904";"https://maps.google.com/?cid=0x0:0x536566ebda3d405e";""
"komplek housing";"Komplek perumahan";"Pondok Charon";"CXRF+V3, Tawakua, Kec. Angkona, Kabupaten Luwu Timur, Sulawesi Selatan";"Kabupaten Luwu Timur, Sulawesi Selatan";"SULAWESI SELATAN";"";"Indonesia";"";"";"";"-2.5578479";"120.9726775";"https://maps.google.com/?cid=0x0:0xfb38a021b62ae0af";""
"komplek housing";"Komplek perumahan";"PONDOK YOGI";"FXH9+PPP, Tawakua, Kec. Angkona, Kabupaten Luwu Timur, Sulawesi Selatan 92985";"Tawakua, Kec. Angkona, Kabupaten Luwu Timur";"SULAWESI SELATAN";"92985";"Indonesia";" 085231442485";"";"";"-2.5206611";"120.9693169";"https://maps.google.com/?cid=0x0:0x1107d8aff1f826d2";""
"komplek housing";"Komplek perumahan";"Home Rauf";"9WWV+3X3, Maliwowo, Kec. Angkona, Kabupaten Luwu Timur, Sulawesi Selatan 92985";"Maliwowo, Kec. Angkona, Kabupaten Luwu Timur";"SULAWESI SELATAN";"92985";"Indonesia";"";"";"";"-2.6058359";"120.9451312";"https://maps.google.com/?cid=0x0:0xa1f91e4e69cc7cd3";""
"komplek housing";"Perumahan";"Tendi home";"FXF9+8JF, Tawakua, Kec. Angkona, Kabupaten Luwu Timur, Sulawesi Selatan";"Kabupaten Luwu Timur, Sulawesi Selatan";"SULAWESI SELATAN";"";"Indonesia";"";"";"";"-2.5266879";"120.9690458";"https://maps.google.com/?cid=0x0:0xec56ec58a035d689";""
"komplek housing";"komplek housing";"Nila Ayu Kumala";"CXC5+JQJ, Lamaeto, Kec. Angkona, Kabupaten Luwu Timur, Sulawesi Selatan 92981";"Lamaeto, Kec. Angkona, Kabupaten Luwu Timur";"SULAWESI SELATAN";"92981";"Indonesia";" 085825021690";"";"";"-2.5784417";"120.9593503";"https://maps.google.com/?cid=0x0:0xd7f45a636d7d838e";""
"komplek housing";"Pembangunan Perumahan";"Joseph's house";"9WRH+V7V, Jl. Poros Wotu - Malili, Maliwowo, Kec. Angkona, Kabupaten Luwu Timur, Sulawesi Selatan 92985";"Jl. Poros Wotu - Malili, Maliwowo, Kec. Angkona, Kabupaten Luwu Timur";"SULAWESI SELATAN";"92985";"Indonesia";"";"";"";"-2.607754";"120.9281636";"https://maps.google.com/?cid=0x0:0xa3968dfbc40cc13e";""
"komplek housing";"Pembangunan Perumahan";"Rumah icha";"9WWV+3X3, Maliwowo, Kec. Angkona, Kabupaten Luwu Timur, Sulawesi Selatan 92985";"Maliwowo, Kec. Angkona, Kabupaten Luwu Timur";"SULAWESI SELATAN";"92985";"Indonesia";"";"";"";"-2.605562";"120.9449519";"https://maps.google.com/?cid=0x0:0xb27658814807547c";""
"komplek housing";"Perhimpunan Pengembang Perumahan";"Anisah";"CXC6+F4G, Lamaeto, Kec. Angkona, Kabupaten Luwu Timur, Sulawesi Selatan";"Kabupaten Luwu Timur, Sulawesi Selatan";"SULAWESI SELATAN";"";"Indonesia";"";"";"";"-2.5788192";"120.9603199";"https://maps.google.com/?cid=0x0:0xbc96a7669265004e";""
"komplek housing";"Komplek perumahan";"Ical";"CXC5+GH8, Lamaeto, Kec. Angkona, Kabupaten Luwu Timur, Sulawesi Selatan 92981";"Lamaeto, Kec. Angkona, Kabupaten Luwu Timur";"SULAWESI SELATAN";"92981";"Indonesia";"";"";"";"-2.5787237";"120.9589664";"https://maps.google.com/?cid=0x0:0x232f17884ce56c0c";""
