Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
"komplek housing";"komplek housing";"Sulawesi Selatan 90913";"Kabupaten Wajo, Sulawesi Selatan";"Kabupaten Wajo, Sulawesi Selatan";"SULAWESI SELATAN";"";"Indonesia";"";"";"";"-4.1232201";"120.0636349";"https://maps.google.com/?cid=0x0:0x6eb0f85207b52208";""
"komplek housing";"komplek housing";"Kec. Tebet";"Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta";"Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta";"SULAWESI SELATAN";"";"Indonesia";"";"";"";"-6.2251223";"106.8549881";"https://maps.google.com/?cid=0x0:0xd575e31c807295f9";""
"komplek housing";"komplek housing";"Belawa";"Limporilau, Kec. Belawa, Kabupaten Wajo, Sulawesi Selatan";"Kabupaten Wajo, Sulawesi Selatan";"SULAWESI SELATAN";"";"Indonesia";"";"";"";"-4.045459";"119.953903";"https://maps.google.com/?cid=0x0:0x8d83915a96ff014c";""
"komplek housing";"Komplek perumahan";"Kampung HALAMAN";"XX33+RH6, Limporilau, Kec. Belawa, Kabupaten Wajo, Sulawesi Selatan 90953";"Limporilau, Kec. Belawa, Kabupaten Wajo";"SULAWESI SELATAN";"90953";"Indonesia";"";"";"";"-4.045459";"119.953903";"https://maps.google.com/?cid=0x0:0x816f686dcbb74418";""
"komplek housing";"Rumah Kayu";"Store";"Jl. Pabbalete No.2, Wele, Kec. Belawa, Kabupaten Wajo, Sulawesi Selatan 90953";"Wele, Kec. Belawa, Kabupaten Wajo";"SULAWESI SELATAN";"90953";"Indonesia";"";"";"";"-3.9573379";"119.9930678";"https://maps.google.com/?cid=0x0:0x40e2f37a5a9013e5";""
"komplek housing";"komplek housing";"Kec. Bola";"Kabupaten Wajo, Sulawesi Selatan";"Kabupaten Wajo, Sulawesi Selatan";"SULAWESI SELATAN";"";"Indonesia";"";"";"";"-4.201295";"120.2389274";"https://maps.google.com/?cid=0x0:0xa1d2f55cd0d69141";""
"komplek housing";"Komplek perumahan";"bolade";"MW5H+GV5, Jl. Poros Cabenge, Maccile, Kec. Lalabata, Kabupaten Soppeng, Sulawesi Selatan 90861";"Jl. Poros Cabenge, Maccile, Kec. Lalabata, Kabupaten Soppeng";"SULAWESI SELATAN";"90861";"Indonesia";"";"";"";"-4.3408854";"119.9301216";"https://maps.google.com/?cid=0x0:0x239c8272b56ed37f";""
"komplek housing";"Komplek perumahan";"Bolae";"JVMW+2CG, Lalabata Rilau, Kec. Lalabata, Kabupaten Soppeng, Sulawesi Selatan 90812";"Lalabata Rilau, Kec. Lalabata, Kabupaten Soppeng";"SULAWESI SELATAN";"90812";"Indonesia";"";"";"";"-4.367441";"119.8960842";"https://maps.google.com/?cid=0x0:0xcfdc84ba196d31e4";""
"komplek housing";"Komplek perumahan";"Pondokan kec. Bola";"XWWM+PFM, Belawa, Kec. Belawa, Kabupaten Wajo, Sulawesi Selatan 90953";"Belawa, Kec. Belawa, Kabupaten Wajo";"SULAWESI SELATAN";"90953";"Indonesia";"";"";"";"-4.0031907";"119.9336409";"https://maps.google.com/?cid=0x0:0xe8de131122af6c46";""
"komplek housing";"Komplek perumahan";"Bolae";"5H32+8C9, Massulowalie, Kec. Mattiro Sompe, Kabupaten Pinrang, Sulawesi Selatan 91261";"Massulowalie, Kec. Mattiro Sompe, Kabupaten Pinrang";"SULAWESI SELATAN";"91261";"Indonesia";"";"";"";"-3.846383";"119.5512133";"https://maps.google.com/?cid=0x0:0x1aafcc433dcb1a73";""
