Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
komplek housing;komplek housing;Sulawesi Selatan 91914;Kota Palopo, Sulawesi Selatan;Kota Palopo, Sulawesi Selatan;SULAWESI SELATAN;;Indonesia;;;;-29.659.383;1.201.704.766;https://maps.google.com/?cid=0x0:0xf1565ecdbfe32ae;
komplek housing;komplek housing;Palopo Beach Hotel;Jl. Andi Tenriadjeng, Kota Palopo, Sulawesi Selatan 91911;Kota Palopo;SULAWESI SELATAN;91911;Indonesia;811451217;;;-29.897.298;1.202.022.612;https://maps.google.com/?cid=0x0:0xa564305a632e4fb4;
komplek housing;komplek housing;Kec. Bara;Kota Palopo, Sulawesi Selatan;Kota Palopo, Sulawesi Selatan;SULAWESI SELATAN;;Indonesia;;;;-29.622.373;1.201.825.535;https://maps.google.com/?cid=0x0:0x18e7a25c287d750f;
komplek housing;Komplek perumahan;Perumahan Amalia Garden Blok A/12;Perumahan Amalia Garden Blok A/12, Rampoang, Kec. Bara, Kota Palopo, Sulawesi Selatan 91914;Rampoang, Kec. Bara, Kota Palopo;SULAWESI SELATAN;91914;Indonesia;;;;-2.953.474;1.201.821.161;https://maps.google.com/?cid=0x0:0xec42ec2fd44f02b5;
komplek housing;Komplek perumahan;Kompleks Perumahan BPP RSS Balandai Palopo;25JJ+VM3, Balandai, Kec. Bara, Kota Palopo, Sulawesi Selatan 91914;Balandai, Kec. Bara, Kota Palopo;SULAWESI SELATAN;91914;Indonesia;;;;-29.678.724;1.201.816.571;https://maps.google.com/?cid=0x0:0xed17050b428fbf43;
komplek housing;Komplek perumahan;Perumahan graha Mutiara Indah Blok E 14;25WH+2GV, Temmalebba, Kec. Bara, Kota Palopo, Sulawesi Selatan 91914;Temmalebba, Kec. Bara, Kota Palopo;SULAWESI SELATAN;91914;Indonesia;85299533919;;;-29.548.799;1.201.788.018;https://maps.google.com/?cid=0x0:0x221a2503a3555d4a;
komplek housing;Komplek perumahan;Hasanuddin Kala;25JH+PR8, Balandai, Kec. Bara, Kota Palopo, Sulawesi Selatan 91914;Balandai, Kec. Bara, Kota Palopo;SULAWESI SELATAN;91914;Indonesia;;;;-29.679;12.017.942;https://maps.google.com/?cid=0x0:0xb9ff0057cb514eb9;
komplek housing;Perumahan;Perumahan graha mutiara indah blok C no 4;25VH+R34, Temmalebba, Kec. Bara, Kota Palopo, Sulawesi Selatan 91914;Temmalebba, Kec. Bara, Kota Palopo;SULAWESI SELATAN;91914;Indonesia;;;;-29.554.809;1.201.777.174;https://maps.google.com/?cid=0x0:0xa4ca16359dab03ad;
komplek housing;Pondok;Perumahan Manganna Permai Blok G9;Jl. Cendana, Tobulung, Kec. Bara, Kota Palopo, Sulawesi Selatan 91958, Kota Palopo, Sulawesi Selatan 91914;Tobulung, Kec. Bara, Kota Palopo, Sulawesi Selatan;SULAWESI SELATAN;91958;Indonesia;;;;-29.465.043;1.201.759.925;https://maps.google.com/?cid=0x0:0xd80780ca5923bc2d;
komplek housing;komplek housing;Perumahan Amelia Garden Blok A/8;Perumahan Amalia Garden Blok A/8, Rampoang, Kec. Bara, Kota Palopo, Sulawesi Selatan 91914;Rampoang, Kec. Bara, Kota Palopo;SULAWESI SELATAN;91914;Indonesia;;;;-29.533.088;1.201.820.896;https://maps.google.com/?cid=0x0:0x5d8191cd81dfffc8;
