Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
komplek housing;komplek housing;Kec. Benteng;Kab. Kepulauan Selayar, Sulawesi Selatan;Kab. Kepulauan Selayar, Sulawesi Selatan;SULAWESI SELATAN;;Indonesia;;;;-61.189.357;1.204.582.695;https://maps.google.com/?cid=0x0:0xf76ccca975aae4ab;
komplek housing;Komplek perumahan;Felix Home;Jl. Moh. Karaeng Bonto No.44, Benteng, Kec. Benteng, Kab. Kepulauan Selayar, Sulawesi Selatan 92812;Benteng, Kec. Benteng, Kab. Kepulauan Selayar;SULAWESI SELATAN;92812;Indonesia;;;;-61.161.786;1.204.640.739;https://maps.google.com/?cid=0x0:0x5d36a4687be268a3;
komplek housing;Komplek perumahan;BLUE HOUSE;VFG6+HM9, Jl. DI Panjaitan, Benteng, Kec. Benteng, Kab. Kepulauan Selayar, Sulawesi Selatan;Kab. Kepulauan Selayar, Sulawesi Selatan;SULAWESI SELATAN;;Indonesia;;;;-61.235.861;1.204.617.234;https://maps.google.com/?cid=0x0:0x5af2849a8eeddee;
komplek housing;Pembangunan Perumahan;AFIL HOME;VFP7+QJQ, Jl. Jenderal Sudirman, Benteng, Kec. Benteng, Kab. Kepulauan Selayar, Sulawesi Selatan 92812;Jl. Jenderal Sudirman, Benteng, Kec. Benteng, Kab. Kepulauan Selayar;SULAWESI SELATAN;92812;Indonesia;;;;-61.130.284;1.204.641.205;https://maps.google.com/?cid=0x0:0x8a21c93092e4244a;
komplek housing;Pembangunan Perumahan;Jalan AP. Pettarani lorong sehati (Dpn.mesjid Nurul Jihad);VFF6+R7C, Benteng Sel., Kec. Benteng, Kab. Kepulauan Selayar, Sulawesi Selatan;Kab. Kepulauan Selayar, Sulawesi Selatan;SULAWESI SELATAN;;Indonesia;;;;-61.254.375;1.204.606.406;https://maps.google.com/?cid=0x0:0x1c8e2276be9f106f;
komplek housing;Komplek perumahan;Home Nurul badriyah;VFF4+FW9, Benteng Sel., Kec. Benteng, Kab. Kepulauan Selayar, Sulawesi Selatan;Kab. Kepulauan Selayar, Sulawesi Selatan;SULAWESI SELATAN;;Indonesia;82324911111;;;-61.263.361;1.204.573.507;https://maps.google.com/?cid=0x0:0xeee0e89bda3d161c;
komplek housing;Komplek perumahan;Rumahna Qiqi;Jl. Mappatoba No.33, Benteng Utara, Kec. Benteng, Kab. Kepulauan Selayar, Sulawesi Selatan 92812;Benteng Utara, Kec. Benteng, Kab. Kepulauan Selayar;SULAWESI SELATAN;92812;Indonesia;;;;-61.105.892;120.465.747;https://maps.google.com/?cid=0x0:0x7e5984530d2f8635;
komplek housing;Komplek perumahan;Saya sayang Refal Hady;VFG5+G8Q, Jl. Sunu, Benteng Sel., Kec. Benteng, Kab. Kepulauan Selayar, Sulawesi Selatan;Kab. Kepulauan Selayar, Sulawesi Selatan;SULAWESI SELATAN;;Indonesia;;;;-61.236.749;1.204.583.571;https://maps.google.com/?cid=0x0:0x37c5d5389b8aaf22;
komplek housing;Komplek perumahan;Muh. Aswandi. A;VFC6+8F2, Lorong bambu, Benteng Sel., Kec. Benteng, Kab. Kepulauan Selayar, Sulawesi Selatan;Kab. Kepulauan Selayar, Sulawesi Selatan;SULAWESI SELATAN;;Indonesia;;;;-6.129.405;120.460.506;https://maps.google.com/?cid=0x0:0x73c72357abc6e0b5;
komplek housing;Komplek perumahan;Mattangarang;VFH5+8M9, Jl. Aroeppala, Benteng Sel., Kec. Benteng, Kab. Kepulauan Selayar, Sulawesi Selatan 92812;Jl. Aroeppala, Benteng Sel., Kec. Benteng, Kab. Kepulauan Selayar;SULAWESI SELATAN;92812;Indonesia;;;;-61.218.157;1.204.591.508;https://maps.google.com/?cid=0x0:0xe55746915345bc45;
