Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Latitude,Longitude,Map Link
toko bangunan,Toko Bahan Bangunan,Toko Besi Wijaya,"35P5+PV2, Bumi Restu, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.0867645,128.159656,https://maps.google.com/?cid=0x0:0xd7c1b34e7d44903
toko bangunan,toko bangunan,Kec. Wasile,"Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.0775041,128.133943,https://maps.google.com/?cid=0x0:0x21de040486bfe03f
toko bangunan,Toko,Toko Dian Abadi,"Jl. Trans Hal-Tim, Bumi Restu, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,85396530703.0,1.0896467,128.1693105,https://maps.google.com/?cid=0x0:0xed1b8b206c604dc2
toko bangunan,Toko,TOKO SATRIO ALIT BANGUNAN,"Toboino, Kec. Wasile Tim., Kabupaten Halmahera Timur, Maluku Utara 98671","Kec. Wasile Tim., Kabupaten Halmahera Timur",MALUKU UTARA,98671.0,Indonesia,81246064606.0,1.1566953,128.2161807,https://maps.google.com/?cid=0x0:0x5dc311711f38564d
toko bangunan,Toko Bahan Bangunan,Toko Kartika Jaya,"Jln BlokY No.Rt 06, Dusun2, Desa Dakaino, Kec. Wasile Tim., Kabupaten Halmahera Timur, Maluku Utara 97863","Dusun2, Desa Dakaino, Kec. Wasile Tim., Kabupaten Halmahera Timur",MALUKU UTARA,97863.0,Indonesia,81356159711.0,1.0942852,128.1838364,https://maps.google.com/?cid=0x0:0x1cb9a6c64271c64e
toko bangunan,Toko Perlengkapan Rumah,"Percetakan ,Batu Angin,,Baturaja Beton","34HP+W44, Batu Raja, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.0797505,128.1344512,https://maps.google.com/?cid=0x0:0x5c5cb3d57326a990
toko bangunan,Toko Bahan Bangunan,Toko Bangunan SENTOSA,"P266+52G O.Sasingan, Wosia, Kec. Tobelo Tengah, Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,82144648989.0,1.7104491,128.0100684,https://maps.google.com/?cid=0x0:0xe043f9c8ba78bb16
toko bangunan,Toko Bahan Bangunan,UD TATA SUBAIM,"Depan rumah makan lamongan, Jl. Trans halmahera timur. Sp3, Daka Ino, Maluku Utara 97865","Jl. Trans halmahera timur. Sp3, Daka Ino",MALUKU UTARA,97865.0,Indonesia,85325245464.0,1.0953613,128.187064,https://maps.google.com/?cid=0x0:0x79a870e6d98c6b0d
toko bangunan,Toko,Toko Maba Bangunan,"M7WM+MHQ, Unnamed Road, Maba Sangaji, Kec. Kota Maba, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,82187925434.0,0.6967101,128.2839897,https://maps.google.com/?cid=0x0:0xb5997f32a3da9b72
toko bangunan,Toko Bahan Bangunan,Toko Sejati Bangunan,"Jalan Raya Wosia, Depan Saro Nifero, Samping Dealer Honda CV.Lion, Mahia, Kec. Tobelo, Maluku Utara 97762","Depan Saro Nifero, Samping Dealer Honda CV.Lion, Mahia, Kec. Tobelo",MALUKU UTARA,97762.0,Indonesia,82195215789.0,1.7063845,128.0084905,https://maps.google.com/?cid=0x0:0xe07acc47d25781c8
toko bangunan,Pasar bahan bangunan,Toko Sumber Bangunan,"P2G6+2MM, Gamsungi, Kec. Tobelo, Kabupaten Halmahera Utara, Maluku Utara","Kabupaten Halmahera Utara, Maluku Utara",MALUKU UTARA,,Indonesia,9242621455.0,1.7250967,128.0116677,https://maps.google.com/?cid=0x0:0x14835095227102f4
toko bangunan,toko bangunan,Maba,"Maba Sangaji, Kec. Kota Maba, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,0.689218,128.277206,https://maps.google.com/?cid=0x0:0xadf03d8fc22db37a
toko bangunan,Toko,Toko Maba Bangunan,"M7WM+MHQ, Unnamed Road, Maba Sangaji, Kec. Kota Maba, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,82187925434.0,0.6967101,128.2839897,https://maps.google.com/?cid=0x0:0xb5997f32a3da9b72
toko bangunan,Toko Perlengkapan Rumah,TOKO Bahan Bangunan Bobohoo,"Unnamed Road, Soa Gimalaha, Kec. Kota Maba, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,82344091888.0,0.6902266,128.2950041,https://maps.google.com/?cid=0x0:0x4372c85023912b79
toko bangunan,Toko,Toko Cahaya Baru,"Singajaya, Kec. Jonggol, Kabupaten Bogor, Jawa Barat","Kabupaten Bogor, Jawa Barat",MALUKU UTARA,,Indonesia,,-6.4539806,107.0371027,https://maps.google.com/?cid=0x0:0x808f4375a9b835f8
toko bangunan,toko bangunan,Kec. Maba Sel.,"Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,0.6311669,128.4249841,https://maps.google.com/?cid=0x0:0x8622114f0d1a22ac
toko bangunan,Toko Perlengkapan Rumah,TOKO Bahan Bangunan Bobohoo,"Unnamed Road, Soa Gimalaha, Kec. Kota Maba, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,82344091888.0,0.6902266,128.2950041,https://maps.google.com/?cid=0x0:0x4372c85023912b79
toko bangunan,Toko,Toko Maba Bangunan,"M7WM+MHQ, Unnamed Road, Maba Sangaji, Kec. Kota Maba, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,82187925434.0,0.6967101,128.2839897,https://maps.google.com/?cid=0x0:0xb5997f32a3da9b72
toko bangunan,Pemasok Bahan Bangunan,Toko Bangunan Galala Jaya,"9FCH+VVQ, Unnamed Road, Labuha, Kec. Bacan, Kabupaten Halmahera Selatan, Maluku Utara","Kabupaten Halmahera Selatan, Maluku Utara",MALUKU UTARA,,Indonesia,82144648989.0,-0.6277816,127.479737,https://maps.google.com/?cid=0x0:0x5b501b3fc834679d
toko bangunan,Toko Bahan Bangunan,Toko Metro Bangunan,"9FFH+2HP, Jl. Molunjunga, Labuha, Kec. Bacan, Kabupaten Halmahera Selatan, Maluku Utara","Kabupaten Halmahera Selatan, Maluku Utara",MALUKU UTARA,,Indonesia,82282044150.0,-0.6274024,127.4789549,https://maps.google.com/?cid=0x0:0x664e0bc768839c0
toko bangunan,Toko Bahan Bangunan,Toko putri zareen,"V7GM+F4J, Buli Karya, Kec. Maba, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,81226208378.0,0.8760883,128.2830593,https://maps.google.com/?cid=0x0:0xf69ef21fb3019077
toko bangunan,Toko Bahan Bangunan,Toko Besi Wijaya,"35P5+PV2, Bumi Restu, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.0867645,128.159656,https://maps.google.com/?cid=0x0:0xd7c1b34e7d44903
toko bangunan,Toko Bahan Bangunan,toko bangunan ko hen,"56W9+R29, Unnamed Road, Tutuling Jaya, Kec. Wasile Tim., Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,82282044150.0,1.1970495,128.2176185,https://maps.google.com/?cid=0x0:0xbfcecb96ec1aeb86
toko bangunan,toko bangunan,Kec. Wasile Sel.,"Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,0.8641952,128.0208151,https://maps.google.com/?cid=0x0:0x476106d8340eeedb
toko bangunan,Toko Bahan Bangunan,TOKO BANGUNAN SINAR ALWA,"FW9F+G42, Lelilef Waibulan, Kec. Weda Tengah, Kabupaten Halmahera Tengah, Maluku Utara","Kabupaten Halmahera Tengah, Maluku Utara",MALUKU UTARA,,Indonesia,85167702404.0,0.4688305,127.9229748,https://maps.google.com/?cid=0x0:0xb8137106c2556d8a
toko bangunan,Toko,TOKO SATRIO ALIT BANGUNAN,"Toboino, Kec. Wasile Tim., Kabupaten Halmahera Timur, Maluku Utara 98671","Kec. Wasile Tim., Kabupaten Halmahera Timur",MALUKU UTARA,98671.0,Indonesia,81246064606.0,1.1566953,128.2161807,https://maps.google.com/?cid=0x0:0x5dc311711f38564d
toko bangunan,toko bangunan,Toko bangunan sinar alwa,"HX65+V8J, Lelilef Sawai, Kec. Weda Tengah, Kabupaten Halmahera Tengah, Maluku Utara","Kabupaten Halmahera Tengah, Maluku Utara",MALUKU UTARA,,Indonesia,82296829698.0,0.5622014,127.9582736,https://maps.google.com/?cid=0x0:0x905c757d3ecc424a
toko bangunan,Toko Bahan Bangunan,Sinar Beton Trans,"QR77+5VV, Binagara, Kec. Wasile Sel., Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,81341536995.0,0.7626433,127.8148802,https://maps.google.com/?cid=0x0:0x8b1126e9d5027813
toko bangunan,Toko Bahan Bangunan,Toko Kartika Jaya,"Jln BlokY No.Rt 06, Dusun2, Desa Dakaino, Kec. Wasile Tim., Kabupaten Halmahera Timur, Maluku Utara 97863","Dusun2, Desa Dakaino, Kec. Wasile Tim., Kabupaten Halmahera Timur",MALUKU UTARA,97863.0,Indonesia,81356159711.0,1.0942852,128.1838364,https://maps.google.com/?cid=0x0:0x1cb9a6c64271c64e
toko bangunan,Toko bahan makanan,TOKO PUTRA UTAMA,"QR98+PX7, Binagara, ino jaya, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,85394973833.0,0.7692861,127.8174154,https://maps.google.com/?cid=0x0:0xb7af813817ec5f1f
toko bangunan,Toko Perlengkapan Rumah,"Percetakan ,Batu Angin,,Baturaja Beton","34HP+W44, Batu Raja, Kec. Wasile, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,,1.0797505,128.1344512,https://maps.google.com/?cid=0x0:0x5c5cb3d57326a990
toko bangunan,Toko Perlengkapan Rumah,TOKO Bahan Bangunan Bobohoo,"Unnamed Road, Soa Gimalaha, Kec. Kota Maba, Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,82344091888.0,0.6902266,128.2950041,https://maps.google.com/?cid=0x0:0x4372c85023912b79
toko bangunan,Toko Bahan Bangunan,Toko Sejati Bangunan,"Jalan Raya Wosia, Depan Saro Nifero, Samping Dealer Honda CV.Lion, Mahia, Kec. Tobelo, Maluku Utara 97762","Depan Saro Nifero, Samping Dealer Honda CV.Lion, Mahia, Kec. Tobelo",MALUKU UTARA,97762.0,Indonesia,82195215789.0,1.7063845,128.0084905,https://maps.google.com/?cid=0x0:0xe07acc47d25781c8
toko bangunan,Toko Bahan Bangunan,toko bangunan ko hen,"56W9+R29, Unnamed Road, Tutuling Jaya, Kec. Wasile Tim., Kabupaten Halmahera Timur, Maluku Utara","Kabupaten Halmahera Timur, Maluku Utara",MALUKU UTARA,,Indonesia,82282044150.0,1.1970495,128.2176185,https://maps.google.com/?cid=0x0:0xbfcecb96ec1aeb86
